option_id,option_type,name,source_content,source_section,location,prerequisite_or_condition,related_property_or_role,flags,route_treatment,citations,notes
NPCOPT-000034,spouse_candidate,Athis,multiple,Marriage - Male NPCs,Whiterun ( Jorrvaskr ),Complete the Companions Questline,,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000035,spouse_candidate,Balimund,multiple,Marriage - Male NPCs,Riften,Complete his favor: Stoking the Flames,The Scorched Hammer,follower=No | merchant=Blacksmith,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000036,spouse_candidate,Belrand,multiple,Marriage - Male NPCs,Solitude ( The Winking Skeever ),Hire him at least once,,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000037,spouse_candidate,Benor,multiple,Marriage - Male NPCs,Morthal,Challenge him to a brawl and win,Bed ( Morthal Guardhouse ),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000038,spouse_candidate,Calder,multiple,Marriage - Male NPCs,Windhelm ( Hjerim ),Become Thane of Eastmarch,Bed (Hjerim),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000039,spouse_candidate,Cosnach,multiple,Marriage - Male NPCs,Markarth ( Silver-Blood Inn ),Challenge him to a brawl and win,Bed (Silver-Blood Inn),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000040,spouse_candidate,Derkeethus,multiple,Marriage - Male NPCs,Darkwater Crossing,Find and rescue him,,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000041,spouse_candidate,Farkas,multiple,Marriage - Male NPCs,Whiterun ( Jorrvaskr ),Complete the Companions Questline,Bed (Jorrvaskr),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000042,spouse_candidate,Filnjar,multiple,Marriage - Male NPCs,Shor's Stone,Complete Mine or Yours,Filnjar's House,follower=No | merchant=Blacksmith,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000043,spouse_candidate,Gat gro-Shargakh,multiple,Marriage - Male NPCs,Left Hand Mine / Kolskeggr Mine,Clear Kolskeggr Mine for Pavo Attius,,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000044,spouse_candidate,Ghorbash the Iron Hand,multiple,Marriage - Male NPCs,Dushnikh Yal,Convince him to become a follower,,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000045,spouse_candidate,Gregor HF,multiple,Marriage - Male NPCs,Heljarchen Hall,Become thane of the Pale ( HF ),,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000046,spouse_candidate,Halbarn Iron-Fur DB,multiple,Marriage - Male NPCs,Thirsk Mead Hall,Complete his favor: Halbarn Favor Quest,Bed ( Thirsk Mead Hall ),follower=No | merchant=Blacksmith,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000047,spouse_candidate,Marcurio,multiple,Marriage - Male NPCs,Riften ( The Bee and Barb ),Hire him at least once,Bed ( The Bee and Barb ),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000048,spouse_candidate,Moth gro-Bagol,multiple,Marriage - Male NPCs,Markarth ( Understone Keep ),Complete his favor: Coated in Blood,Bed ( Understone Keep ),follower=No | merchant=Blacksmith,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000049,spouse_candidate,Octieve San,multiple,Marriage - Male NPCs,Solitude,Complete his favor: A Few Words...,,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000050,spouse_candidate,Omluag,multiple,Marriage - Male NPCs,Markarth ( Smelter ),Complete his favor: A Few Words...,Bed ( The Warrens ),follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000051,spouse_candidate,Onmund,multiple,Marriage - Male NPCs,Winterhold ( College of Winterhold ),Complete his favor: Onmund's Request,Bed ( Hall of Attainment ),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000052,spouse_candidate,Pavo Attius,multiple,Marriage - Male NPCs,Left Hand Mine / Kolskeggr Mine,Clear Kolskeggr Mine for him,Pavo's House,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000053,spouse_candidate,Perth,multiple,Marriage - Male NPCs,Soljund's Sinkhole,Clear Soljund's Sinkhole for him,Bed ( Miner's House ),follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000054,spouse_candidate,Quintus Navale,multiple,Marriage - Male NPCs,Windhelm ( The White Phial ),Complete Repairing the Phial,,follower=No | merchant=Apothecary*,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000055,spouse_candidate,Revyn Sadri,multiple,Marriage - Male NPCs,Windhelm ( Sadri's Used Wares ),Complete his favor: Plant a stolen item,Sadri's Used Wares,follower=No | merchant=General,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000056,spouse_candidate,Roggi Knot-Beard,multiple,Marriage - Male NPCs,Kynesgrove,Retrieve Roggi's Ancestral Shield,,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000057,spouse_candidate,Romlyn Dreth,multiple,Marriage - Male NPCs,Riften ( Black-Briar Meadery ),Complete his favor: Under the Table,Romlyn Dreth's House,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000058,spouse_candidate,Rulnik Wind-Strider CC,multiple,Marriage - Male NPCs,Whiterun ( Temple of Kynareth ),Choose the Altar of Nothing during A Dying Wish,,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000059,spouse_candidate,Scouts-Many-Marshes,multiple,Marriage - Male NPCs,Windhelm ( Argonian Assemblage ),Complete his favor: A Few Words...,,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000060,spouse_candidate,Sondas Drenim,multiple,Marriage - Male NPCs,Darkwater Crossing,Complete his favor: Deliver a note,,follower=No,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000061,spouse_candidate,Sorex Vinius,multiple,Marriage - Male NPCs,Solitude ( The Winking Skeever ),Complete his favor: Deliver a bottle of rum,The Winking Skeever,follower=No | merchant=Innkeeper*,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000062,spouse_candidate,Stenvar,multiple,Marriage - Male NPCs,Windhelm ( Candlehearth Hall ),Hire him at least once,,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000063,spouse_candidate,Torvar,multiple,Marriage - Male NPCs,Whiterun ( Jorrvaskr ),Complete the Companions Questline,,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000064,spouse_candidate,Valdimar HF,multiple,Marriage - Male NPCs,Windstad Manor,Become thane of Hjaalmarch ( HF ),,follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000065,spouse_candidate,Vilkas,multiple,Marriage - Male NPCs,Whiterun ( Jorrvaskr ),Complete the Companions Questline,Bed (Jorrvaskr),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000066,spouse_candidate,Vorstag,multiple,Marriage - Male NPCs,Markarth ( Silver-Blood Inn ),Hire him at least once,Bed (Silver-Blood Inn),follower=Yes,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000067,spouse_candidate,Wilhelm,multiple,Marriage - Male NPCs,Ivarstead ( Vilemyr Inn ),Complete Lifting the Shroud,,follower=No | merchant=Innkeeper,option_list,SN-000067-household-role-options.md,Source-listed marriage candidate; default recommendation deferred.
NPCOPT-000068,adoptable_child,Alesan ( HF ),hearthfire,Adoption - Honorhall Orphanage,None | Dawnstar,Adoption-ready home and adoption capacity,,race=Redguard,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000069,adoptable_child,Blaise ( HF ),hearthfire,Adoption - Honorhall Orphanage,Katla's Farm | Solitude,Adoption-ready home and adoption capacity,,race=Breton,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000070,adoptable_child,Francois Beaufort,hearthfire,Adoption - Honorhall Orphanage,Honorhall Orphanage | Riften,Adoption-ready home and adoption capacity,,race=Imperial,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000071,adoptable_child,Lucia ( HF ),hearthfire,Adoption - Honorhall Orphanage,None | Whiterun,Adoption-ready home and adoption capacity,,race=Imperial,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000072,adoptable_child,Runa Fair-Shield,hearthfire,Adoption - Honorhall Orphanage,Honorhall Orphanage | Riften,Adoption-ready home and adoption capacity,,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000073,adoptable_child,Hroar,hearthfire,Adoption - Honorhall Orphanage,Honorhall Orphanage | Riften,Adoption-ready home and adoption capacity,,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000074,adoptable_child,Samuel,hearthfire,Adoption - Honorhall Orphanage,Honorhall Orphanage | Riften,Adoption-ready home and adoption capacity,,race=Imperial,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000075,adoptable_child,Sofie ( HF ),hearthfire,Adoption - Honorhall Orphanage,None | Windhelm,Adoption-ready home and adoption capacity,,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000076,adoptable_child,Aeta ( DB ),hearthfire,Adoption - Other Children,Oslaf's House | Skaal Village,Adoption-ready home and adoption capacity,Oslaf | Finna,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000077,adoptable_child,Braith,hearthfire,Adoption - Other Children,Amren's House | Whiterun,Adoption-ready home and adoption capacity,Amren | Saffir,race=Redguard,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000078,adoptable_child,Britte,hearthfire,Adoption - Other Children,Lemkil's Farmhouse | Rorikstead,Adoption-ready home and adoption capacity,Lemkil,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000079,adoptable_child,Clinton Lylvieve,hearthfire,Adoption - Other Children,Lylvieve Family's House | Dragon Bridge,Adoption-ready home and adoption capacity,Azzada Lylvieve | Michel Lylvieve,race=Breton,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000080,adoptable_child,Dorthe,hearthfire,Adoption - Other Children,Alvor and Sigrid's House | Riverwood,Adoption-ready home and adoption capacity,Alvor | Sigrid,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000081,adoptable_child,Eirid,hearthfire,Adoption - Other Children,The Frozen Hearth | Winterhold,Adoption-ready home and adoption capacity,Dagur | Haran,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000082,adoptable_child,Erith,hearthfire,Adoption - Other Children,Left Hand Mine | Markarth,Adoption-ready home and adoption capacity,Daighre,race=Breton,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000083,adoptable_child,Frodnar,hearthfire,Adoption - Other Children,Hod and Gerdur's House | Riverwood,Adoption-ready home and adoption capacity,Hod | Gerdur,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000084,adoptable_child,Gralnach,hearthfire,Adoption - Other Children,Heartwood Mill | The Rift,Adoption-ready home and adoption capacity,Leifnarr * | Grosta,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000085,adoptable_child,Hrefna,hearthfire,Adoption - Other Children,Goldenrock Mine | Darkwater Crossing,Adoption-ready home and adoption capacity,Tormir,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000086,adoptable_child,Knud,hearthfire,Adoption - Other Children,Katla's Farm | Solitude,Adoption-ready home and adoption capacity,Snilling | Katla,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000087,adoptable_child,Minette Vinius,hearthfire,Adoption - Other Children,The Winking Skeever | Solitude,Adoption-ready home and adoption capacity,Corpulus Vinius,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000088,adoptable_child,Skuli,hearthfire,Adoption - Other Children,Old Hroldan Inn | The Reach,Adoption-ready home and adoption capacity,Eydis,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000089,adoptable_child,Sissel,hearthfire,Adoption - Other Children,Lemkil's Farmhouse | Rorikstead,Adoption-ready home and adoption capacity,Lemkil,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000090,adoptable_child,Svari,hearthfire,Adoption - Other Children,Addvar's House | Solitude,Adoption-ready home and adoption capacity,Addvar | Greta,race=Nord,option_list,SN-000067-household-role-options.md,Source-listed adoptable child; default child recommendation deferred.
NPCOPT-000091,child_pet_option,Biter,hearthfire,Adoption - Pets,,Child may ask to keep a pet after adoption conditions are met,Household pet,species=Skeever | child_gender=Male,option_list,SN-000068-follower-pet-mount-options.md,Household pet option; route default deferred.
NPCOPT-000092,child_pet_option,Cotton,hearthfire,Adoption - Pets,,Child may ask to keep a pet after adoption conditions are met,Household pet,species=Rabbit | child_gender=Female,option_list,SN-000068-follower-pet-mount-options.md,Household pet option; route default deferred.
NPCOPT-000093,child_pet_option,Kit,hearthfire,Adoption - Pets,,Child may ask to keep a pet after adoption conditions are met,Household pet,species=Fox | child_gender=Female,option_list,SN-000068-follower-pet-mount-options.md,Household pet option; route default deferred.
NPCOPT-000094,child_pet_option,Pincer,hearthfire,Adoption - Pets,,Child may ask to keep a pet after adoption conditions are met,Household pet,species=Mudcrab | child_gender=Male,option_list,SN-000068-follower-pet-mount-options.md,Household pet option; route default deferred.
NPCOPT-000095,child_pet_option,Vix,hearthfire,Adoption - Pets,,Child may ask to keep a pet after adoption conditions are met,Household pet,species=Snow Fox | child_gender=Female,option_list,SN-000068-follower-pet-mount-options.md,Household pet option; route default deferred.
NPCOPT-000096,personal_steward_candidate,Adelaisa Vendicci,base_game,Personal Steward - Skyrim,,Rise in the East,Hearthfire homestead or Goldenhills steward candidate,type=Misc. | gender=Female | race=Imperial | marry=No,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000097,personal_steward_candidate,Aela the Huntress,base_game,Personal Steward - Skyrim,,Glory of the Dead,Hearthfire homestead or Goldenhills steward candidate,type=Companion | gender=Female | race=Nord | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000098,personal_steward_candidate,Annekke Crag-Jumper,base_game,Personal Steward - Skyrim,,Kill the Bandit Leader † ( radiant ),Hearthfire homestead or Goldenhills steward candidate,type=Misc. | gender=Female | race=Nord | marry=No,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000099,personal_steward_candidate,Belrand,base_game,Personal Steward - Skyrim,,None,Hearthfire homestead or Goldenhills steward candidate,type=Hireling | gender=Male | race=Nord | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000100,personal_steward_candidate,Brelyna Maryon,base_game,Personal Steward - Skyrim,,Brelyna's Practice,Hearthfire homestead or Goldenhills steward candidate,type=College | gender=Female | race=Dark Elf | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000101,personal_steward_candidate,Calder,base_game,Personal Steward - Skyrim,,Become Thane of Eastmarch,Hearthfire homestead or Goldenhills steward candidate,type=Housecarl | gender=Male | race=Nord | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000102,personal_steward_candidate,Erik the Slayer,base_game,Personal Steward - Skyrim,,Erik the Slayer,Hearthfire homestead or Goldenhills steward candidate,type=Hireling | gender=Male | race=Nord | marry=No,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000103,personal_steward_candidate,Eola,base_game,Personal Steward - Skyrim,,Obtain the Ring of Namira in The Taste of Death .,Hearthfire homestead or Goldenhills steward candidate,type=Misc. | gender=Female | race=Breton | marry=No,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000104,personal_steward_candidate,Faendal,base_game,Personal Steward - Skyrim,,A Lovely Letter (in his favor),Hearthfire homestead or Goldenhills steward candidate,type=Misc. | gender=Male | race=Wood Elf | marry=No,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000105,personal_steward_candidate,Ghorbash the Iron Hand,base_game,Personal Steward - Skyrim,,"Convince him (via brawl, persuade check, or bribe).",Hearthfire homestead or Goldenhills steward candidate,type=Misc. | gender=Male | race=Orc | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000106,personal_steward_candidate,Golldir,base_game,Personal Steward - Skyrim,,Ancestral Worship,Hearthfire homestead or Goldenhills steward candidate,type=Dungeon | gender=Male | race=Nord | marry=No,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000107,personal_steward_candidate,Illia,base_game,Personal Steward - Skyrim,,Repentance,Hearthfire homestead or Goldenhills steward candidate,type=Dungeon | gender=Female | race=Imperial | marry=No,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
NPCOPT-000108,personal_steward_candidate,Iona,base_game,Personal Steward - Skyrim,,Become Thane of the Rift,Hearthfire homestead or Goldenhills steward candidate,type=Housecarl | gender=Female | race=Nord | marry=Yes,option_list,SN-000067-household-role-options.md,Source-listed steward candidate; final homestead/farm assignment deferred.
