checklist_id,checklist_tab,checklist_entry,category,mapping_type,guide_location,branch_name,exclusion_reason,source_note_refs,status,notes,objective_id,matched_objective_name,route_block,disposition,prototype_status,deferred_to,match_status,match_source,raw_sheet_row,raw_cell,raw_group,raw_status,raw_detail
CHK-QUESTS-0011,Quests,The Throat of the World,quest,Main-route prototype block,TB-034,,,SN-000001-main-quest-structure.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000011,The Throat of the World,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,15,B15,Main Quest,N,Receive a lesson from Paarthurnax.
CHK-QUESTS-0012,Quests,Elder Knowledge,quest,Main-route prototype block,TB-034,,,SN-000001-main-quest-structure.md | SN-000002-main-quest-trophies.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000012,Elder Knowledge,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,16,B16,Main Quest,N,Locate an Elder Scroll.
CHK-QUESTS-0013,Quests,Alduin's Bane,quest,Main-route prototype block,TB-034,,,SN-000001-main-quest-structure.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000013,Alduin's Bane,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,17,B17,Main Quest,N,Exploit the Time Wound to learn Dragonrend.
CHK-QUESTS-0014,Quests,The Fallen,quest,Main-route prototype block,TB-028/TB-032,,,SN-000001-main-quest-structure.md | SN-000002-main-quest-trophies.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000014,The Fallen,,anchored_window,anchored_window,TB-028/TB-032,matched,objective_alias,18,B18,Main Quest,N,Capture and interrogate one of Alduin's allies.
CHK-QUESTS-0015,Quests,Paarthurnax (optional),quest,Branch-route prototype,BR-004 Paarthurnax / Blades,BR-004 Paarthurnax / Blades,,SN-000001-main-quest-structure.md,mapped_to_branch_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000019,Paarthurnax,,branch_deferred,held_branch_deferred,TB-029/TB-033,matched,objective_alias,19,B19,Main Quest,N,Deal with a potential threat.
CHK-QUESTS-0016,Quests,Season Unending (optional),quest,Main-route prototype block,route_anchor_window,,,SN-000001-main-quest-structure.md | SN-000010-civil-war-trophies-season-unending.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000018,Season Unending,,anchored_window,anchored_window,route_anchor_window,matched,objective_alias,20,B20,Main Quest,N,Enforce a ceasefire to secure Dragonsreach.
CHK-QUESTS-0017,Quests,The World-Eater's Eyrie,quest,Main-route prototype block,TB-034,,,SN-000001-main-quest-structure.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000015,The World-Eater's Eyrie,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,21,B21,Main Quest,N,Battle through Skuldafn Temple to reach Alduin's portal to Sovngarde.
CHK-QUESTS-0018,Quests,Sovngarde,quest,Main-route prototype block,TB-034,,,SN-000001-main-quest-structure.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000016,Sovngarde,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,22,B22,Main Quest,N,Seek out Alduin within Sovngarde.
CHK-QUESTS-0019,Quests,Dragonslayer,quest,Main-route prototype block,TB-034,,,SN-000001-main-quest-structure.md | SN-000002-main-quest-trophies.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000017,Dragonslayer,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,23,B23,Main Quest,N,Put an end to the World Eater.
CHK-QUESTS-0020,Quests,College Objective Quest,quest,Main-route prototype block,TB-034,,,SN-000004-college-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000027,College Objective Quest,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,29,B29,Main Quests,N,Visit the College of Winterhold. | Giver: Sergius Turrianus
CHK-QUESTS-0021,Quests,Enchanting Pick-Up,quest,Main-route prototype block,TB-031F,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000122,Enchanting Pick-Up,,dependency_anchor,dependency_anchor_pending,TB-031F,matched,objective_alias,29,G29,Radiant Quests,N,Sergius wants you to pick-up an item from a client for enchanting. | Giver: Sergius Turrianus
CHK-QUESTS-0022,Quests,First Lessons,quest,Main-route prototype block,TB-034,,,SN-000004-college-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000028,First Lessons,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,30,B30,Main Quests,N,Join the College of Winterhold. | Giver: Sergius Turrianus
CHK-QUESTS-0023,Quests,Restocking Soul Gems,quest,Main-route prototype block,TB-031F,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000123,Restocking Soul Gems,,dependency_anchor,dependency_anchor_pending,TB-031F,matched,objective_alias,30,G30,Radiant Quests,N,Help Sergius Turrianus to fill his stock with soul gems. | Giver: Sergius Turrianus
CHK-QUESTS-0024,Quests,Under Saarthal,quest,Main-route prototype block,G09,,,SN-000004-college-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000029,Under Saarthal,G09,route_block,held_hard_gate,level_36_linked_dungeon_loop,matched,objective_alias,31,B31,Main Quests,N,Uncover the mysteries beneath this ancient ruin. | Giver: Tolfdir
CHK-QUESTS-0025,Quests,Tolfdir The Absent-Minded,quest,Main-route prototype block,TB-031F,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000126,Tolfdir the Absent-Minded,,dependency_anchor,dependency_anchor_pending,TB-031F,matched,objective_alias,31,G31,Radiant Quests,N,Help Tolfdir find his missing alembic. | Giver: Tolfdir
CHK-QUESTS-0026,Quests,Hitting the Books,quest,Main-route prototype block,G08,,,SN-000004-college-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000030,Hitting the Books,G08,route_block,held_hard_gate,college_winterhold_depth,matched,objective_alias,32,B32,Main Quests,N,Find the books needed to identify the artifact found in Saarthal. | Giver: Savos Aren
CHK-QUESTS-0027,Quests,Aftershock,quest,Main-route prototype block,TB-031F,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000124,Aftershock,,dependency_anchor,dependency_anchor_pending,TB-031F,matched,objective_alias,32,G32,Radiant Quests,N,Put an end to the rupture caused by the Eye of Magnus. | Giver: Tolfdir
CHK-QUESTS-0028,Quests,Good Intentions,quest,Main-route prototype block,G08,,,SN-000004-college-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000031,Good Intentions,G08,route_block,held_hard_gate,level_25_mages_circlet,matched,objective_alias,33,B33,Main Quests,N,Find and consult the Augur of Dunlain. | Giver: Tolfdir
CHK-QUESTS-0029,Quests,Fetch me that Book!,quest,Main-route prototype block,TB-031F,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000127,Fetch me that Book!,,dependency_anchor,dependency_anchor_pending,TB-031F,matched,objective_alias,33,G33,Radiant Quests,N,Fetch a book for Urag gro-Shub. | Giver: Urag gro-Shub
CHK-QUESTS-0030,Quests,Revealing the Unseen,quest,Main-route prototype block,G08,,,SN-000004-college-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000032,Revealing the Unseen,G08,route_block,held_hard_gate,college_winterhold_depth,matched,objective_alias,34,B34,Main Quests,N,Discover the location of Magnus' staff. | Giver: Mirabelle Ervine
CHK-QUESTS-0031,Quests,Shalidor's Insights,quest,Main-route prototype block,TB-031F,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000128,Shalidor's Insights,,dependency_anchor,dependency_anchor_pending,TB-031F,matched,objective_alias,34,G34,Radiant Quests,N,Discover the writings of Shalidor and benefit from his wisdom. | Giver: Urag gro-Shub
CHK-QUESTS-0032,Quests,Containment,quest,Main-route prototype block,G08,,,SN-000004-college-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000033,Containment,G08,route_block,held_hard_gate,college_winterhold_depth,matched,objective_alias,35,B35,Main Quests,N,Deal with the aftermath of the Eye's power surge.
CHK-QUESTS-0033,Quests,The Staff of Magnus,quest,Main-route prototype block,G08,,,SN-000004-college-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000034,The Staff of Magnus,G08,route_block,held_hard_gate,college_winterhold_depth,matched,objective_alias,36,B36,Main Quests,N,Retrieve the Staff of Magnus. | Giver: Mirabelle Ervine
CHK-QUESTS-0034,Quests,Alteration Ritual Spell,quest,Main-route prototype block,fixed_late_anchor,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000129,Alteration Ritual Spell,,later_pass,held_hard_gate,fixed_late_anchor,matched,objective_alias,36,G36,Master Skill Quests,N,Find the Fang and use it to get Heartscales from a dragon. | Giver: Tolfdir
CHK-QUESTS-0035,Quests,The Eye of Magnus,quest,Main-route prototype block,G08,,,SN-000004-college-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000035,The Eye of Magnus,G08,route_block,held_hard_gate,college_winterhold_depth,matched,objective_alias,37,B37,Main Quests,N,Reclaim the College and contain the Eye. | Giver: Phinis Gestor
CHK-QUESTS-0036,Quests,Conjuration Ritual Spell,quest,Main-route prototype block,fixed_late_anchor,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000130,Conjuration Ritual Spell,,later_pass,held_hard_gate,fixed_late_anchor,matched,objective_alias,37,G37,Master Skill Quests,N,Find a Sigil Stone by summoning a Daedra. | Giver: Phinis Gestor
CHK-QUESTS-0037,Quests,Destruction Ritual Spell,quest,Main-route prototype block,fixed_late_anchor,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000131,Destruction Ritual Spell,,later_pass,held_hard_gate,fixed_late_anchor,matched,objective_alias,38,G38,Master Skill Quests,N,Learn the most powerful Destruction spells in Skyrim. | Giver: Faralda
CHK-QUESTS-0038,Quests,Arniel's Endeavor,quest,Main-route prototype block,TB-034,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000117,Arniel's Endeavor,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,39,B39,Optional Quests,N,Uncover an ancient Dwemer secret. | Giver: Arniel Gane
CHK-QUESTS-0039,Quests,Illusion Ritual Spell,quest,Main-route prototype block,fixed_late_anchor,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000132,Illusion Ritual Spell,,later_pass,held_hard_gate,fixed_late_anchor,matched,objective_alias,39,G39,Master Skill Quests,N,Find some books about Illusion Magic to learn Master Spells. | Giver: Drevis Neloren
CHK-QUESTS-0040,Quests,Brelyna's Practice,quest,Main-route prototype block,TB-034,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000118,Brelyna's Practice,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,40,B40,Optional Quests,N,Help Brelyna Maryon test spells. | Giver: Brelyna Maryon
CHK-QUESTS-0041,Quests,Restoration Ritual Spell,quest,Main-route prototype block,fixed_late_anchor,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000133,Restoration Ritual Spell,,later_pass,held_hard_gate,fixed_late_anchor,matched,objective_alias,40,G40,Master Skill Quests,N,Find the Augur of Dunlain and learn more about Restoration Magic. | Giver: Colette Marence
CHK-QUESTS-0042,Quests,J'zargo's Experiment,quest,Main-route prototype block,TB-034,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000119,J'zargo's Experiment,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,41,B41,Optional Quests,N,Help J'zargo test out a fiery new spell. | Giver: J'zargo
CHK-QUESTS-0043,Quests,Onmund's Request,quest,Main-route prototype block,TB-034,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000120,Onmund's Request,,dependency_anchor,dependency_anchor_pending,TB-034,matched,objective_alias,42,B42,Optional Quests,N,Help Onmund negotiate the return of a family amulet. | Giver: Onmund
CHK-QUESTS-0044,Quests,Out of Balance,quest,Main-route prototype block,TB-031F,,,SN-000012-college-side-repeatable-ritual-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000121,Out of Balance,,dependency_anchor,dependency_anchor_pending,TB-031F,matched,objective_alias,43,B43,Optional Quests,N,Purify the focus points for magical energy around the College. | Giver: Drevis Neloren
CHK-QUESTS-0045,Quests,Rejoining the College,quest,Explicit exclusion,excluded,,Failure-state College repeatable placeholder; routing or exclusion deferred to TB-018,SN-000012-college-side-repeatable-ritual-quests.md,excluded_with_justification,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000125,Rejoining the College,,excluded,excluded_nonroute,none,matched,objective_alias,44,B44,Optional Quests,N,Make amends for breaking the College of Winterhold rules. | Giver: Kill a member of the college
CHK-QUESTS-0046,Quests,Tending the Flames,quest,Main-route prototype block,TB-028/TB-032,,,SN-000017-bards-college-quest-inventory.md | SN-000018-bards-college-ordering-and-bug-risks.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000183,Tending the Flames,,anchored_window,anchored_window,TB-028/TB-032,matched,objective_alias,48,B48,Side Quests,N,Unveil the truth about a King; become a member of Bards College. | Giver: Viarmo
CHK-QUESTS-0047,Quests,Take Up Arms,quest,Main-route prototype block,route_anchor_window,,,SN-000003-companions-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000020,Take Up Arms,,anchored_window,anchored_window,route_anchor_window,matched,objective_alias,48,G48,Quest Line,N,Prove you are worthy to join the Companions.
CHK-QUESTS-0048,Quests,Investigate the Bards College,quest,Main-route prototype block,TB-028/TB-032,,,SN-000017-bards-college-quest-inventory.md | SN-000018-bards-college-ordering-and-bug-risks.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000182,Investigate the Bards College,,anchored_window,anchored_window,TB-028/TB-032,matched,objective_alias,50,B50,Miscellaneous Quests,N,Investigate the Bards College. | Giver: Any Bard
CHK-QUESTS-0049,Quests,Finn's Lute,quest,Main-route prototype block,TB-028/TB-032,,,SN-000017-bards-college-quest-inventory.md | SN-000018-bards-college-ordering-and-bug-risks.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000184,Finn's Lute,,anchored_window,anchored_window,TB-028/TB-032,matched,objective_alias,51,B51,Miscellaneous Quests,N,Return an invaluable lute to Inge Six Fingers. | Giver: Inge Six Fingers
CHK-QUESTS-0050,Quests,Pantea's Flute,quest,Main-route prototype block,TB-028/TB-032,,,SN-000017-bards-college-quest-inventory.md | SN-000018-bards-college-ordering-and-bug-risks.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000185,Pantea's Flute,,anchored_window,anchored_window,TB-028/TB-032,matched,objective_alias,52,B52,Miscellaneous Quests,N,Find a missing flute for Pantea. | Giver: Pantea Ateia
CHK-QUESTS-0051,Quests,The Silver Hand,quest,Main-route prototype block,route_anchor_window,,,SN-000003-companions-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000022,The Silver Hand,,anchored_window,anchored_window,route_anchor_window,matched,objective_alias,52,G52,Complete one radiant quest.,N,Join the Circle and clear Gallows Rock of werewolf hunters. | Giver: Skjor
CHK-QUESTS-0052,Quests,Rjorn's Drum,quest,Main-route prototype block,TB-028/TB-032,,,SN-000017-bards-college-quest-inventory.md | SN-000018-bards-college-ordering-and-bug-risks.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000186,Rjorn's Drum,,anchored_window,anchored_window,TB-028/TB-032,matched,objective_alias,53,B53,Miscellaneous Quests,N,Retrieve a drum for Giraud Gemane. | Giver: Giraud Gemane
CHK-QUESTS-0053,Quests,Blood's Honor,quest,Main-route prototype block,route_anchor_window,,,SN-000003-companions-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000023,Blood's Honor,,anchored_window,anchored_window,route_anchor_window,matched,objective_alias,54,G54,Complete two radiant quests. At least one from Aela.,N,Claim the head of a Glenmoril Witch for Kodlak Whitemane. | Giver: Kodlak Whitemane
CHK-QUESTS-0054,Quests,Purity of Revenge,quest,Main-route prototype block,route_anchor_window,,,SN-000003-companions-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000024,Purity of Revenge,,anchored_window,anchored_window,route_anchor_window,matched,objective_alias,55,G55,Complete two radiant quests. At least one from Aela.,N,Retrieve the Fragments of Wuuthrad. | Giver: Vilkas
CHK-QUESTS-0055,Quests,Rebuilding the Blades,quest,Branch-route prototype,BR-004 Paarthurnax / Blades,BR-004 Paarthurnax / Blades,,SN-000127-checklist-counter-route-mechanics.md,mapped_to_branch_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-002785,Rebuilding the Blades,,branch_deferred,held_branch_deferred,TB-029/TB-033,matched,objective_alias,56,B56,Miscellaneous Quests,N,Recruit new members for the Blades. | Giver: Delphine
CHK-QUESTS-0056,Quests,Glory of the Dead,quest,Main-route prototype block,route_anchor_window,,,SN-000003-companions-primary-quests.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000025,Glory of the Dead,,anchored_window,anchored_window,route_anchor_window,matched,objective_alias,56,G56,Complete two radiant quests. At least one from Aela.,N,Cure Kodlak's spirit and prove yourself as a true Companion. | Giver: Vilkas
CHK-QUESTS-0057,Quests,Dragon Hunting,quest,Branch-route prototype,BR-004 Paarthurnax / Blades,BR-004 Paarthurnax / Blades,,SN-000127-checklist-counter-route-mechanics.md,mapped_to_branch_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-002786,Dragon Hunting,,branch_deferred,held_branch_deferred,TB-029/TB-033,matched,objective_alias,57,B57,Miscellaneous Quests,N,Kill a dragon at its lair. | Giver: Esbern
CHK-QUESTS-0058,Quests,Dragon Research,quest,Main-route prototype block,TB-031E/TB-033,,,SN-000049-permanent-quest-ability-and-power-sets.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000805,Dragon Infusion Ability,,later_pass,held_progression_layer,TB-031E/TB-033,matched,checklist_manual_objective_alias,58,B58,Miscellaneous Quests,N,Help Esbern complete his research on dragons. | Giver: Esbern
CHK-QUESTS-0059,Quests,Animal Extermination,quest,Main-route prototype block,TB-031F,,,SN-000011-companions-radiant-placeholders.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000102,Animal Extermination (A),,dependency_anchor,dependency_anchor_pending,TB-031F,matched,objective_alias,59,G59,Aela the Huntress Radiant Quests,N,Fulfill a Companion contract to kill an invading beast. | Giver: Aela
CHK-QUESTS-0060,Quests,Animal Extermination,quest,Main-route prototype block,TB-031F,,,SN-000011-companions-radiant-placeholders.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000102,Animal Extermination (A),,dependency_anchor,dependency_anchor_pending,TB-031F,matched,objective_alias,60,G60,Aela the Huntress Radiant Quests,N,Fulfill a Companion contract to clear out a beast den. | Giver: Aela
CHK-QUESTS-0061,Quests,Striking the Heart,quest,Main-route prototype block,TB-028/TB-032,,,SN-000011-companions-radiant-placeholders.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000109,Striking the Heart,,anchored_window,anchored_window,TB-028/TB-032,matched,objective_alias,61,G61,Aela the Huntress Radiant Quests,N,Assassinate a Silver Hand leader. | Giver: Aela
CHK-QUESTS-0062,Quests,Stealing Plans,quest,Main-route prototype block,TB-028/TB-032,,,SN-000011-companions-radiant-placeholders.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000110,Stealing Plans,,anchored_window,anchored_window,TB-028/TB-032,matched,objective_alias,62,G62,Aela the Huntress Radiant Quests,N,Search a Silver Hand hideout for information on their headquarters. | Giver: Aela
CHK-QUESTS-0063,Quests,Retrieval,quest,Main-route prototype block,TB-028/TB-032,,,SN-000011-companions-radiant-placeholders.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000111,Retrieval,,anchored_window,anchored_window,TB-028/TB-032,matched,objective_alias,63,G63,Aela the Huntress Radiant Quests,N,Retrieve a fragment of Wuuthrad. Unavailable after Glory of the Dead. | Giver: Aela
CHK-QUESTS-0064,Quests,Totems of Hircine,quest,Main-route prototype block,TB-031F,,,SN-000011-companions-radiant-placeholders.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000112,Totems of Hircine,,dependency_anchor,dependency_anchor_pending,TB-031F,matched,objective_alias,64,G64,Aela the Huntress Radiant Quests,N,Find a Totem of Hircine. Only available if you are a werewolf. | Giver: Aela
CHK-QUESTS-0065,Quests,Hired Muscle,quest,Main-route prototype block,G02,,,SN-000011-companions-radiant-placeholders.md | SN-000112-base-game-faction-radiant-boundaries.md | SN-000127-checklist-counter-route-mechanics.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000104,Hired Muscle,G02,anchored_window,anchored_window,TB-031F/TB-032/TB-034,matched,objective_alias,66,G66,Farkas Radiant Quests,N,Fulfill a Companion contract bring a citizen back in line. | Giver: Farkas
CHK-QUESTS-0066,Quests,Trouble in Skyrim,quest,Main-route prototype block,TB-031F,,,SN-000011-companions-radiant-placeholders.md,mapped_to_route_prototype,Mapped to current objective/route-planning prototype; final guide step number remains later work.,OBJ-000105,Trouble in Skyrim,,dependency_anchor,dependency_anchor_pending,TB-031F,matched,objective_alias,67,G67,Farkas Radiant Quests,N,Fulfill a Companion contract to clear out a troublesome area. | Giver: Farkas
