checklist_tab,checklist_entry,category,resolution,objective_id,match_source,guide_location,branch_name,source_note_refs,exclusion_reason,notes
"Unique Gear","Execution Hood","unique_item","map_objective","OBJ-000055","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Execution Hood acquisition to With Friends Like These."
"Unique Gear","Eye of Melka","unique_item","map_objective","OBJ-000338","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this staff to The Affairs of Hagravens."
"Unique Gear","Fjola's Wedding Band","unique_item","map_objective","OBJ-000340","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this ring to Mistwatch handling."
"Unique Gear","Gadnor's Staff of Charming","unique_item","map_objective","OBJ-002012","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps the staff to Crystaldrift Cave route placement."
"Unique Gear","Halldir's Staff","unique_item","map_objective","OBJ-000186","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps the staff to Rjorn's Drum and Halldir's Cairn handling."
"Unique Gear","Headsman's Axe","unique_item","map_objective","OBJ-000247","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps the axe to Ahtar's Haafingar favor route surface."
"Unique Gear","Hevnoraak's Staff","unique_item","map_objective","OBJ-001593","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps the staff to the Hevnoraak dragon-priest objective."
"Unique Gear","Kahvozein's Fang","unique_item","map_objective","OBJ-000129","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps the dagger to Alteration Ritual Spell."
"Unique Gear","Mythic Dawn Boots","unique_item","map_objective","OBJ-000171","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Mythic Dawn clothing to Pieces of the Past and Mehrunes Dagon route handling."
"Unique Gear","Mythic Dawn Gloves","unique_item","map_objective","OBJ-000171","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Mythic Dawn clothing to Pieces of the Past and Mehrunes Dagon route handling."
"Unique Gear","Radiant Raiment Fine Clothes","unique_item","map_objective","OBJ-000257","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps the outfit cue to Fit for a Jarl."
"Unique Gear","Shrouded Cowl Maskless","unique_item","map_objective","OBJ-001693","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check treats the maskless checklist wording as Shrouded Cowl coverage."
"Unique Gear","Staff of Hag's Wrath","unique_item","map_objective","OBJ-002061","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps the staff to Hag's End route placement."
"Unique Gear","Staff of Jyrik Gaudurson","unique_item","map_objective","OBJ-000029","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps the checklist misspelling to Staff of Jyrik Gauldurson in Under Saarthal."
"Unique Gear","Vaermina Robes","unique_item","map_objective","OBJ-000179","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps the robe cue to Waking Nightmare and Nightcaller Temple."
"Unique Gear","Wedding Dress","unique_item","map_objective","OBJ-000060","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Vittoria's wedding clothing to Bound Until Death."
"Unique Gear","Wedding Sandals","unique_item","map_objective","OBJ-000060","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Vittoria's wedding clothing to Bound Until Death."
"Unique Gear","Wedding Wreath","unique_item","map_objective","OBJ-000060","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Vittoria's wedding clothing to Bound Until Death."
"Unique Gear","Akaviri Sword","unique_item","map_objective","OBJ-000355","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Dexion's Akaviri Sword to Prophet (Dawnguard) handling."
"Unique Gear","Ancient Falmer Boots","unique_item","map_objective","OBJ-000363","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Ancient Falmer armor to Touching the Sky."
"Unique Gear","Ancient Falmer Cuirass","unique_item","map_objective","OBJ-000363","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Ancient Falmer armor to Touching the Sky."
"Unique Gear","Ancient Falmer Gauntlets","unique_item","map_objective","OBJ-000363","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Ancient Falmer armor to Touching the Sky."
"Unique Gear","Staff of Ruunvald","unique_item","map_objective","OBJ-000366","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps the staff to Bolstering the Ranks and Ruunvald handling."
"Unique Gear","Vampire Royal Armor","unique_item","map_objective","OBJ-000360","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps Vampire Royal Armor to Chasing Echoes and Castle Volkihar handling."
"Books","A Kiss, Sweet Mother","book_document","exclude","","TB031J_source_scope_exclusion","","","SN-000129-checklist-source-readiness-forward-review.md","TB-031J excludes this from required book coverage because UESP lists it as a regular List 2 book with multiple copies rather than a skill book quest book AE book spell tome Black Book or checklist-unique book.","TB-031J source-check found no required-route book scope despite Dark Brotherhood faction metadata."
"Books","Pension of the Ancestor Moth","skill_book","exclude","","TB031J_source_scope_exclusion","","","SN-000129-checklist-source-readiness-forward-review.md","TB-031J excludes this from skill-book coverage because UESP lists it as a regular List 2 book with no skill-book effect.","TB-031J source-check resolves the raw spreadsheet skill-book label as a source-backed misclassification."
"Books","Anora's Journal (AE)","book_document","map_objective","OBJ-000626","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Myrwatch."
"Books","Arkay the Enemy (AE)","book_document","map_objective","OBJ-000647","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to The Staff of Hasedoki."
"Books","The Blessings of Sheogorath (AE)","book_document","map_objective","OBJ-000524","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Saints & Seducers."
"Books","The Crimson Dirks, v1 (AE)","book_document","map_objective","OBJ-000559","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Heart of Crimson."
"Books","The Crimson Dirks, v8 (AE)","book_document","map_objective","OBJ-000557","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Fan Favorite."
"Books","The Crimson Dirks, v9 (AE)","book_document","map_objective","OBJ-000558","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Mightier than the Sword."
"Books","Crypt of the Heart - Draft (AE)","book_document","map_objective","OBJ-000646","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Crypt of the Heart."
"Books","Dwarven Crown Control (AE)","book_document","map_objective","OBJ-000611","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this checklist alias to Dwarven Crown Journal and The Dwarven Crown."
"Books","Ernanthil's Journal (AE)","book_document","map_objective","OBJ-000572","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to A Dying Wish."
"Books","Erwan's Journal (AE)","book_document","map_objective","OBJ-000553","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Missing Merchant."
"Books","Excavation Leader's Journal (AE)","book_document","map_objective","OBJ-000651","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to The Cause."
"Books","Forgotten Seasons, v1 (AE)","book_document","map_objective","OBJ-000613","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Forgotten Seasons."
"Books","Guard Dossier: Ehlhiel (AE)","book_document","map_objective","OBJ-000562","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this checklist alias to Guard's Dossier: Ehlhiel and Double-Edged."
"Books","Halvar's Journal (AE)","book_document","map_objective","OBJ-000631","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Pets of Skyrim."
"Books","Hand Indobar's Journal (AE)","book_document","map_objective","OBJ-000618","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this carried Ghosts document to Ghosts of the Tribunal main handling."
"Books","Hans's Journal (AE)","book_document","map_objective","OBJ-000626","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Myrwatch."
"Books","Heretical Thoughts (AE)","book_document","map_objective","OBJ-000524","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Saints & Seducers."
"Books","Janus' Journal (AE)","book_document","map_objective","OBJ-000651","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to The Cause."
"Books","The Light and the Dark (AE)","book_document","map_objective","OBJ-000647","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to The Staff of Hasedoki."
"Books","Line and Lure (AE)","book_document","map_objective","OBJ-000540","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Fishing."
"Books","Log of Elberon the Great, Vol 2 (AE)","book_document","map_objective","OBJ-000613","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Forgotten Seasons."
"Books","Log of Elberon the Great, Vol 3 (AE)","book_document","map_objective","OBJ-000613","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Forgotten Seasons."
"Books","Log of Elberon the Great, Vol 4 (AE)","book_document","map_objective","OBJ-000613","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Forgotten Seasons."
"Books","Log of Elberon the Great, Vol 5 (AE)","book_document","map_objective","OBJ-000613","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Forgotten Seasons."
"Books","Matriarch Drevlan's Journal (AE)","book_document","map_objective","OBJ-000618","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this Ghosts document to Ghosts of the Tribunal main handling."
"Books","Mysterious Altar (AE)","book_document","map_objective","OBJ-000572","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this start document to A Dying Wish."
"Books","Pickpocket's Journal (AE)","book_document","map_objective","OBJ-000631","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Pets of Skyrim."
"Books","Priest Drureth's Journal (AE)","book_document","map_objective","OBJ-000618","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this Ghosts document to Ghosts of the Tribunal main handling."
"Books","Reclamation Priest's Journal (AE)","book_document","map_branch","OBJ-000619","TB031J_source_readiness_branch_resolution","BR-007 Ghosts destroy-heretics","BR-007 Ghosts destroy-heretics","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check found this journal depends on giving propaganda to the Reclamation Priest and his later Ashfall's Tear attack state; keep it in branch-prototype coverage."
"Books","Report on Atronach Forge Experiments (AE)","book_document","map_objective","OBJ-000524","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Saints & Seducers."
"Books","Sculptor Visthar's Journal (AE)","book_document","map_objective","OBJ-000618","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this Ghosts document to Ghosts of the Tribunal main handling."
"Books","Sellonus's Confession (AE)","book_document","map_objective","OBJ-000580","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to A Soul Divided."
"Books","Sellonus's Journal Vol. 1 (AE)","book_document","map_objective","OBJ-000580","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to A Soul Divided."
"Books","Sellonus's Journal Vol. 2 (AE)","book_document","map_objective","OBJ-000580","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to A Soul Divided."
"Books","Sellonus's Journal Vol. 3 (AE)","book_document","map_objective","OBJ-000580","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to A Soul Divided."
"Books","Thief's Journal (AE)","book_document","map_objective","OBJ-000631","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Pets of Skyrim."
"Books","To Raise the Living (AE)","book_document","map_objective","OBJ-000647","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to The Staff of Hasedoki."
"Books","Vampire Naturalist's Journal (AE)","book_document","map_objective","OBJ-000631","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Pets of Skyrim."
"Books","Vesparth's Journal (AE)","book_document","map_objective","OBJ-000618","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this carried Ghosts document to Ghosts of the Tribunal main handling."
"Books","Vigilant Enforcer's Journal (AE)","book_document","map_objective","OBJ-000651","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to The Cause."
"Books","Viparth's Journal (AE)","book_document","map_objective","OBJ-000584","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to Relics of the Crusader."
"Books","Vonos' Journal (AE)","book_document","map_objective","OBJ-000651","TB031J_source_readiness_resolution","","","SN-000129-checklist-source-readiness-forward-review.md","","TB-031J source-check maps this AE document to The Cause."
