coordinate_record_id,location_record_id,objective_id,location_name,location_category,source_content,catalog_worldspace,coordinate_worldspace,world_id,world_name,map_marker_id,map_marker_name,map_marker_page,map_marker_icon_type,map_marker_editor_id,map_marker_form_id,map_marker_dest_form_id,x,y,z,coordinate_status,match_method,match_confidence,distance_scope,source_url,source_id,citations,notes
COORD-000012,LOC-000012,OBJ-001969,Avanchnzel,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,116,Avanchnzel,Avanchnzel,8,MS04AvanchnzelMarker,90637,,122073,-107290,13497,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=122073&y=-107290&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000013,LOC-000013,OBJ-001970,Bannermist Tower,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,261,Bannermist Tower,Bannermist Tower,31,,292894,,-57305,-62109,1767,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-57305&y=-62109&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000014,LOC-000014,OBJ-001971,Beast Stone,clearable_location,base_game,Solstheim,Solstheim,2,solstheim,2524,Beast Stone,Beast Stone,55,DLC2StoneBeastMapMarker,33637347,,62811,58376,6558,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=solstheim&x=62811&y=58376&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000015,LOC-000015,OBJ-001972,Benkongerike,clearable_location,dragonborn,Solstheim,Solstheim,2,solstheim,2548,Benkongerike,Benkongerike,4,,33637310,,48814,80248,7986,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=solstheim&x=48814&y=80248&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000016,LOC-000016,OBJ-001973,Bilegulch Mine,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,210,Bilegulch Mine,Bilegulch Mine,15,BilegulchMineMapMarker,90741,,-78224,-40254,2932,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-78224&y=-40254&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000017,LOC-000017,OBJ-001974,Bleak Falls Barrow,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,251,Bleak Falls Barrow,Bleak Falls Barrow (place),7,BleakFallsBarrowMapMarkerREF,90674,,1482,-41162,5727,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=1482&y=-41162&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000018,LOC-000018,OBJ-001975,Bleakcoast Cave,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,76,Bleakcoast Cave,Bleakcoast Cave,4,,90639,,145834,90932,-13664,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=145834&y=90932&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000019,LOC-000019,OBJ-001976,Bleakwind Basin,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,159,Bleakwind Basin,Bleakwind Basin,29,,90641,,1539,1306,-5796,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=1539&y=1306&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000020,LOC-000020,OBJ-001977,Bleakwind Bluff,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,262,Bleakwind Bluff,Bleakwind Bluff,31,,767100,,-105457,14530,1251,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-105457&y=14530&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000021,LOC-000021,OBJ-001978,Blind Cliff Cave,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,75,Blind Cliff Cave,Blind Cliff Cave,4,BlindCliffMapMarker,90643,,-141785,23525,-7998,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-141785&y=23525&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000022,LOC-000022,OBJ-001979,Blizzard Rest,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,158,Blizzard Rest,Blizzard Rest,29,,90644,,39160,39375,-8701,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=39160&y=39375&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000023,LOC-000023,OBJ-001980,Bloated Man's Grotto,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,74,Bloated Man's Grotto,Bloated Man's Grotto,4,BloatedMansGrottoMapMarker,90645,,-37647,-36967,-3587,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-37647&y=-36967&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000024,LOC-000024,OBJ-001981,Bloodlet Throne,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,122,Bloodlet Throne,Bloodlet Throne,6,BloodletThroneMapMarker,93874,,336,-110710,16024,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=336&y=-110710&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000025,LOC-000025,OBJ-001982,Bloodskal Barrow,clearable_location,dragonborn,Skyrim,Solstheim,2,solstheim,2547,Bloodskal Barrow,Bloodskal Barrow,7,,33637311,,26130,46941,1309,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=solstheim&x=26130&y=46941&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000026,LOC-000026,OBJ-001983,Bonechill Passage,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,10,Bonechill Passage,Bonechill Passage,4,,1038920,,2535,-90975,8741,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=2535&y=-90975&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000027,LOC-000027,OBJ-001984,Bonestrewn Crest,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,95,Bonestrewn Crest,Bonestrewn Crest,12,BonestrewnCrestMapMarker,90806,,132783,-12014,-7878,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=132783&y=-12014&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000028,LOC-000028,OBJ-001985,Boulderfall Cave,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,12,Boulderfall Cave,Boulderfall Cave,4,,1004248,,145919,-68557,10808,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=145919&y=-68557&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000029,LOC-000029,OBJ-001986,Bristleback Cave,clearable_location,dragonborn,Solstheim,Solstheim,2,solstheim,2513,Bristleback Cave,Bristleback Cave,4,,33668168,,18448,83247,583,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=solstheim&x=18448&y=83247&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000030,LOC-000030,OBJ-001987,Brittleshin Pass,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,376,Brittleshin Pass,Brittleshin Pass,60,,533007,533004,-19494,-49943,1502,multi_marker,uesp_gamemap_page,medium,multi_marker_choose_candidate,https://gamemap.uesp.net/sr/?world=skyrim&x=-19494&y=-49943&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Multiple equally valid Gamemap markers exist for this catalog row; choose the entrance marker that matches the route leg.
COORD-000031,LOC-000030,OBJ-001987,Brittleshin Pass,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,595,Brittleshin Pass,Brittleshin Pass,60,,532928,532889,-23053,-36143,-4261,multi_marker,uesp_gamemap_page,medium,multi_marker_choose_candidate,https://gamemap.uesp.net/sr/?world=skyrim&x=-23053&y=-36143&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Multiple equally valid Gamemap markers exist for this catalog row; choose the entrance marker that matches the route leg.
COORD-000032,LOC-000031,OBJ-001988,Brodir Grove,clearable_location,dragonborn,Solstheim,Solstheim,2,solstheim,2546,Brodir Grove,Brodir Grove,11,,33637312,,43753,43975,3880,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=solstheim&x=43753&y=43975&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000033,LOC-000032,OBJ-001989,Broken Fang Cave,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,72,Broken Fang Cave,Broken Fang Cave,4,BrokenFangCaveMapMarker,90648,,-50832,-14939,-5549,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-50832&y=-14939&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000034,LOC-000033,OBJ-001990,Broken Helm Hollow,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,71,Broken Helm Hollow,Broken Helm Hollow,4,,90649,,191591,-109395,10860,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=191591&y=-109395&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000035,LOC-000034,OBJ-001991,Broken Limb Camp,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,148,Broken Limb Camp,Broken Limb Camp,29,,970630,,111748,-14306,-11213,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=111748&y=-14306&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000036,LOC-000035,OBJ-001992,Broken Oar Grotto,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,16,Broken Oar Grotto,Broken Oar Grotto,4,,751555,,-66963,141812,-13643,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-66963&y=141812&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000037,LOC-000036,OBJ-001993,Broken Tower Redoubt,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,147,Broken Tower Redoubt,Broken Tower Redoubt,6,BrokenTowerRedoubtMapMarker,90650,,-108568,40085,-5232,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-108568&y=40085&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000038,LOC-000037,OBJ-001994,Broken Tusk Mine,clearable_location,dragonborn,Solstheim,Solstheim,2,solstheim,2531,Broken Tusk Mine,Broken Tusk Mine,15,,33637332,,22621,80019,5247,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=solstheim&x=22621&y=80019&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000039,LOC-000038,OBJ-001995,Bronze Water Cave,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,20,Bronze Water Cave,Bronze Water Cave,4,,289707,,83829,42748,-8720,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=83829&y=42748&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000040,LOC-000039,OBJ-001996,Brood Cavern,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,70,Brood Cavern,Brood Cavern,4,,90651,,-55217,43483,-8381,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-55217&y=43483&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000041,LOC-000040,OBJ-001997,Bruca's Leap Redoubt,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,69,Bruca's Leap Redoubt,Bruca's Leap Redoubt,4,,90652,,-124954,63580,-8980,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-124954&y=63580&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000042,LOC-000041,OBJ-001998,Bthardamz,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,115,Bthardamz,Bthardamz,8,,90653,,-163984,45862,-3776,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-163984&y=45862&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000043,LOC-000042,OBJ-001999,Castle Karstaag Caverns,clearable_location,base_game,Skyrim,Solstheim,2,solstheim,2515,Castle Karstaag Caverns,Castle Karstaag Caverns,4,,33656536,,36832,88320,4627,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=solstheim&x=36832&y=88320&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000044,LOC-000043,OBJ-002000,Castle Karstaag Ruins,clearable_location,base_game,Skyrim,Solstheim,2,solstheim,2545,Castle Karstaag Ruins,Castle Karstaag Ruins,4,,33637313,,33312,89920,6294,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=solstheim&x=33312&y=89920&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000045,LOC-000044,OBJ-002001,Chillwind Depths,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,68,Chillwind Depths,Chillwind Depths,4,,90656,,-101071,58377,-11934,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-101071&y=58377&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000046,LOC-000045,OBJ-002002,Clearpine Pond,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,80,Clearpine Pond,Clearpine Pond,23,,90658,,-108572,96025,-7681,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-108572&y=96025&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000047,LOC-000046,OBJ-002003,Clearspring Tarn,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,79,Clearspring Tarn,Clearspring Tarn,23,,90659,,133093,-54772,9103,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=133093&y=-54772&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000048,LOC-000047,OBJ-002004,Cold Rock Pass,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,672,Cold Rock Pass,Cold Rock Pass,60,,347422,347427,-47001,32622,-1892,multi_marker,uesp_gamemap_page,medium,multi_marker_choose_candidate,https://gamemap.uesp.net/sr/?world=skyrim&x=-47001&y=32622&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Multiple equally valid Gamemap markers exist for this catalog row; choose the entrance marker that matches the route leg.
COORD-000049,LOC-000047,OBJ-002004,Cold Rock Pass,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,903,Cold Rock Pass,Cold Rock Pass,60,,347485,347482,-47612,37134,-2948,multi_marker,uesp_gamemap_page,medium,multi_marker_choose_candidate,https://gamemap.uesp.net/sr/?world=skyrim&x=-47612&y=37134&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Multiple equally valid Gamemap markers exist for this catalog row; choose the entrance marker that matches the route leg.
COORD-000050,LOC-000048,OBJ-002005,Coldcinder Cave,clearable_location,base_game,Skyrim,Solstheim,2,solstheim,2558,Coldcinder Cave,Coldcinder Cave,60,,33784148,33789376,35450,30960,2011,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=solstheim&x=35450&y=30960&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000051,LOC-000049,OBJ-002006,Cracked Tusk Keep,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,132,Cracked Tusk Keep,Cracked Tusk Keep,6,CrackedTuskMapMarker,90715,,-55070,-87686,-2352,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-55070&y=-87686&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000052,LOC-000050,OBJ-002007,Cradle Stone Tower,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,267,Cradle Stone Tower,Cradle Stone Tower,31,,730017,,-99713,-33861,2535,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-99713&y=-33861&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000053,LOC-000051,OBJ-002008,Cradlecrush Rock,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,157,Cradlecrush Rock,Cradlecrush Rock,29,,90661,,92382,-5393,-8357,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=92382&y=-5393&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000054,LOC-000052,OBJ-002009,Cragslane Cavern,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,67,Cragslane Cavern,Cragslane Cavern,4,,90662,,167054,-34010,-1630,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=167054&y=-34010&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000055,LOC-000053,OBJ-002010,Cragwallow Slope,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,66,Cragwallow Slope,Cragwallow Slope,4,,90663,,155934,-2258,-6263,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=155934&y=-2258&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000056,LOC-000054,OBJ-002011,Cronvangr Cave,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,65,Cronvangr Cave,Cronvangr Cave,4,,90664,,119818,-5294,-11938,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=119818&y=-5294&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000057,LOC-000055,OBJ-002012,Crystaldrift Cave,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,64,Crystaldrift Cave,Crystaldrift Cave,4,,90665,,161077,-119789,11427,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=161077&y=-119789&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000058,LOC-000056,OBJ-002013,Dainty Sload,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,305,Dainty Sload,Dainty Sload,9,DaintySloadMapMarker,506925,,-51840,122304,-13680,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=-51840&y=122304&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000059,LOC-000057,OBJ-002014,Damphall Mine,clearable_location,base_game,Skyrim,Solstheim,2,solstheim,2511,Damphall Mine,Damphall Mine,15,,33724126,,25738,55271,2689,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=solstheim&x=25738&y=55271&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000060,LOC-000058,OBJ-002015,Darklight Tower,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,146,Darklight Tower,Darklight Tower,6,DarklightTowerMapMarker,90666,,149285,-115997,12543,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=149285&y=-115997&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000061,LOC-000059,OBJ-002016,Darkshade,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,18,Darkshade,Darkshade,4,,745542,,81788,-1866,-9604,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=81788&y=-1866&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
COORD-000062,LOC-000060,OBJ-002017,Darkwater Pass,clearable_location,base_game,Skyrim,Skyrim,1,skyrim,63,Darkwater Pass,Darkwater Pass,4,,90668,,113334,-46458,-6516,exact_marker,uesp_gamemap_page,high,same_worldspace_xy,https://gamemap.uesp.net/sr/?world=skyrim&x=113334&y=-46458&zoom=15,SRC-000423,SN-000123-location-coordinate-dataset.md,Exact UESP Gamemap marker match.
