geography_record_id,coordinate_record_id,location_record_id,objective_id,location_name,location_category,source_content,coordinate_worldspace,coordinate_status,distance_scope,route_cluster,route_corridor,nearest_corridor_hub,nearest_corridor_hub_type,nearest_corridor_hub_distance,nearest_major_carriage_origin,nearest_major_carriage_origin_distance,nearest_ferry_terminal,nearest_ferry_terminal_distance,nearest_inn_or_rest,nearest_inn_or_rest_type,nearest_inn_or_rest_distance,nearest_candidate_base,nearest_candidate_base_type,nearest_candidate_base_distance,worldspace_access_model,transport_access_flags,cold_risk,barrier_flags,geography_confidence,citations,notes
GEOG-000011,COORD-000011,LOC-000011,OBJ-001968,Autumnwatch Tower,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southern_skyrim,ivarstead_rift_pass,Ivarstead,village,36090,Riften Stables,89494,Windhelm ferry,144416,Vilemyr Inn,inn,36090,Shadowfoot Sanctum,ae_home,86199,same_worldspace_overland,major_carriage_origin_remote | ferry_terminal_remote,high_elevation_or_mountain,high_elevation_or_mountain,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000012,COORD-000012,LOC-000012,OBJ-001969,Avanchnzel,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southeast_skyrim,riften_rift,Riften,major_city,52443,Riften Stables,53626,Windhelm ferry,143473,The Bee and Barb,inn,52443,Shadowfoot Sanctum,ae_home,49172,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000013,COORD-000013,LOC-000013,OBJ-001970,Bannermist Tower,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southern_skyrim,falkreath_pine_forest,Falkreath,minor_capital,36248,Whiterun Stables,91457,Solitude ferry,166932,Dead Man's Drink,inn,36248,Hendraheim,ae_home,39662,same_worldspace_overland,major_carriage_origin_remote | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000014,COORD-000014,LOC-000014,OBJ-001971,Beast Stone,clearable_location,base_game,Solstheim,exact_marker,same_worldspace_xy,solstheim,thirsk_central,Thirsk Mead Hall,settlement,4468,,,Raven Rock ferry,39540,The Retching Netch,inn,39540,Severin Manor,dragonborn_home,39540,ferry_gateway_then_local_overland,major_carriage_origin_unavailable | ferry_terminal_regional | solstheim_no_carriages | raven_rock_ferry_gateway,solstheim_cold_region,water_or_ferry_access | solstheim_cold_region,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Access model: ferry_gateway_then_local_overland."
GEOG-000015,COORD-000015,LOC-000015,OBJ-001972,Benkongerike,clearable_location,dragonborn,Solstheim,exact_marker,same_worldspace_xy,solstheim,skaal_north,Skaal Village,village,26391,,,Raven Rock ferry,48625,The Retching Netch,inn,48625,Severin Manor,dragonborn_home,48625,ferry_gateway_then_local_overland,major_carriage_origin_unavailable | ferry_terminal_regional | solstheim_no_carriages | raven_rock_ferry_gateway,source_listed_cold_interior,water_or_ferry_access | source_listed_cold_interior,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Access model: ferry_gateway_then_local_overland."
GEOG-000016,COORD-000016,LOC-000016,OBJ-001973,Bilegulch Mine,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,western_skyrim,old_hroldan_reach_road,Old Hroldan Inn,road_inn,47484,Whiterun Stables,100970,Solitude ferry,145509,Old Hroldan Inn,inn,47484,Hendraheim,ae_home,10481,same_worldspace_overland,major_carriage_origin_remote | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000017,COORD-000017,LOC-000017,OBJ-001974,Bleak Falls Barrow,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,central_skyrim,riverwood_helgen_road,Riverwood,village,20779,Whiterun Stables,34832,Dawnstar ferry,150191,Sleeping Giant Inn,inn,20779,Lakeview Manor,hearthfire_homestead,30295,same_worldspace_overland,major_carriage_origin_near | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000018,COORD-000018,LOC-000018,OBJ-001975,Bleakcoast Cave,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,northern_skyrim,winterhold_coast,Winterhold,minor_capital,38521,Windhelm Stables,65590,Windhelm ferry,56381,The Frozen Hearth,inn,38521,Hjerim,city_home,56381,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_regional,source_listed_cold_interior,source_listed_cold_interior,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000019,COORD-000019,LOC-000019,OBJ-001976,Bleakwind Basin,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,central_skyrim,whiterun_central_plains,Whiterun,major_city,20290,Whiterun Stables,20608,Dawnstar ferry,108841,The Bannered Mare,inn,20290,Breezehome,city_home,20290,same_worldspace_overland,major_carriage_origin_near | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000020,COORD-000020,LOC-000020,OBJ-001977,Bleakwind Bluff,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,central_skyrim,rorikstead_western_road,Rorikstead,village,22471,Markarth Stables,66079,Solitude ferry,98806,Frostfruit Inn,inn,22471,Goldenhills Plantation,ae_farm_home,35069,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000021,COORD-000021,LOC-000021,OBJ-001978,Blind Cliff Cave,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,western_skyrim,markarth_reach,Markarth,major_city,37056,Markarth Stables,33688,Icewater Jetty,99209,Silver-Blood Inn,inn,37056,Vlindrel Hall,city_home,37056,same_worldspace_overland,major_carriage_origin_near | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000022,COORD-000022,LOC-000022,OBJ-001979,Blizzard Rest,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,northern_skyrim,nightgate_pale_pass,Nightgate Inn,road_inn,35301,Whiterun Stables,54210,Dawnstar ferry,67283,Nightgate Inn,inn,35301,Heljarchen Hall,hearthfire_homestead,7758,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_regional,regional_cold,regional_cold,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000023,COORD-000023,LOC-000023,OBJ-001980,Bloated Man's Grotto,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southern_skyrim,falkreath_pine_forest,Falkreath,minor_capital,49862,Whiterun Stables,61833,Solitude ferry,144222,Dead Man's Drink,inn,49862,Lakeview Manor,hearthfire_homestead,42796,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000024,COORD-000024,LOC-000024,OBJ-001981,Bloodlet Throne,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southern_skyrim,falkreath_pine_forest,Falkreath,minor_capital,39178,Whiterun Stables,101646,Windhelm ferry,198865,Dead Man's Drink,inn,39178,Lakeview Manor,hearthfire_homestead,42562,same_worldspace_overland,major_carriage_origin_remote | ferry_terminal_remote,high_elevation_or_mountain,high_elevation_or_mountain | high_elevation_marker,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000025,COORD-000025,LOC-000025,OBJ-001982,Bloodskal Barrow,clearable_location,dragonborn,Solstheim,exact_marker,same_worldspace_xy,solstheim,raven_rock_west,Raven Rock,solstheim_gateway,12806,,,Raven Rock ferry,12806,The Retching Netch,inn,12806,Severin Manor,dragonborn_home,12806,ferry_gateway_then_local_overland,major_carriage_origin_unavailable | ferry_terminal_near | solstheim_no_carriages | raven_rock_ferry_gateway,solstheim_cold_region,water_or_ferry_access | solstheim_cold_region,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Access model: ferry_gateway_then_local_overland."
GEOG-000026,COORD-000026,LOC-000026,OBJ-001983,Bonechill Passage,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southern_skyrim,falkreath_pine_forest,Falkreath,minor_capital,33164,Whiterun Stables,81844,Windhelm ferry,183233,Dead Man's Drink,inn,33164,Lakeview Manor,hearthfire_homestead,24834,same_worldspace_overland,major_carriage_origin_remote | ferry_terminal_remote,source_listed_cold_interior,mountain_or_pass | source_listed_cold_interior,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000027,COORD-000027,LOC-000027,OBJ-001984,Bonestrewn Crest,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,eastern_skyrim,kynesgrove_eastmarch_road,Kynesgrove,village,23509,Windhelm Stables,38241,Windhelm ferry,47664,Braidwood Inn,inn,23509,Gallows Hall,ae_home,32981,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_regional,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000028,COORD-000028,LOC-000028,OBJ-001985,Boulderfall Cave,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southeast_skyrim,riften_rift,Riften,major_city,39274,Riften Stables,35222,Windhelm ferry,104722,The Bee and Barb,inn,39274,Shadowfoot Sanctum,ae_home,37690,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000029,COORD-000029,LOC-000029,OBJ-001986,Bristleback Cave,clearable_location,dragonborn,Solstheim,exact_marker,same_worldspace_xy,solstheim,raven_rock_west,Raven Rock,solstheim_gateway,49776,,,Raven Rock ferry,49776,The Retching Netch,inn,49776,Severin Manor,dragonborn_home,49776,ferry_gateway_then_local_overland,major_carriage_origin_unavailable | ferry_terminal_regional | solstheim_no_carriages | raven_rock_ferry_gateway,source_listed_cold_interior,water_or_ferry_access | source_listed_cold_interior,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Access model: ferry_gateway_then_local_overland."
GEOG-000030,COORD-000030,LOC-000030,OBJ-001987,Brittleshin Pass,clearable_location,base_game,Skyrim,multi_marker,multi_marker_choose_candidate,southern_skyrim,falkreath_pine_forest,Falkreath,minor_capital,37912,Whiterun Stables,54517,Solitude ferry,161133,Dead Man's Drink,inn,37912,Lakeview Manor,hearthfire_homestead,21748,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_remote,standard,choose_route_entrance | mountain_or_pass,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Multiple coordinate rows exist for this location; choose the entrance that matches the planned route leg."
GEOG-000031,COORD-000031,LOC-000030,OBJ-001987,Brittleshin Pass,clearable_location,base_game,Skyrim,multi_marker,multi_marker_choose_candidate,central_skyrim,riverwood_helgen_road,Riverwood,village,45818,Whiterun Stables,48582,Solitude ferry,146891,Sleeping Giant Inn,inn,45818,Lakeview Manor,hearthfire_homestead,35797,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_remote,standard,choose_route_entrance | mountain_or_pass,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Multiple coordinate rows exist for this location; choose the entrance that matches the planned route leg."
GEOG-000032,COORD-000032,LOC-000031,OBJ-001988,Brodir Grove,clearable_location,dragonborn,Solstheim,exact_marker,same_worldspace_xy,solstheim,raven_rock_west,Raven Rock,solstheim_gateway,15661,,,Raven Rock ferry,15661,The Retching Netch,inn,15661,Severin Manor,dragonborn_home,15661,ferry_gateway_then_local_overland,major_carriage_origin_unavailable | ferry_terminal_near | solstheim_no_carriages | raven_rock_ferry_gateway,solstheim_cold_region,water_or_ferry_access | solstheim_cold_region,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Access model: ferry_gateway_then_local_overland."
GEOG-000033,COORD-000033,LOC-000032,OBJ-001989,Broken Fang Cave,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,central_skyrim,rorikstead_western_road,Rorikstead,village,39993,Whiterun Stables,69277,Solitude ferry,120417,Frostfruit Inn,inn,39993,Goldenhills Plantation,ae_farm_home,27309,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000034,COORD-000034,LOC-000033,OBJ-001990,Broken Helm Hollow,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southeast_skyrim,riften_rift,Riften,major_city,22228,Riften Stables,26118,Windhelm ferry,155635,The Bee and Barb,inn,22228,Honeyside,city_home,22228,same_worldspace_overland,major_carriage_origin_near | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000035,COORD-000035,LOC-000034,OBJ-001991,Broken Limb Camp,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,eastern_skyrim,kynesgrove_eastmarch_road,Kynesgrove,village,34623,Windhelm Stables,47068,Windhelm ferry,55065,Braidwood Inn,inn,34623,Gallows Hall,ae_home,25435,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_regional,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000036,COORD-000036,LOC-000035,OBJ-001992,Broken Oar Grotto,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,northwest_skyrim,solitude_haafingar,Solitude,major_city,37219,Solitude carriage origin,37219,Solitude ferry,37219,The Winking Skeever,inn,37219,Proudspire Manor,city_home,37219,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_regional,regional_cold,regional_cold,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000037,COORD-000037,LOC-000036,OBJ-001993,Broken Tower Redoubt,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,central_skyrim,rorikstead_western_road,Rorikstead,village,41069,Markarth Stables,70779,Solitude ferry,77920,Frostfruit Inn,inn,41069,Goldenhills Plantation,ae_farm_home,52934,same_worldspace_overland,major_carriage_origin_remote | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000038,COORD-000038,LOC-000037,OBJ-001994,Broken Tusk Mine,clearable_location,dragonborn,Solstheim,exact_marker,same_worldspace_xy,solstheim,raven_rock_west,Raven Rock,solstheim_gateway,45722,,,Raven Rock ferry,45722,The Retching Netch,inn,45722,Severin Manor,dragonborn_home,45722,ferry_gateway_then_local_overland,major_carriage_origin_unavailable | ferry_terminal_regional | solstheim_no_carriages | raven_rock_ferry_gateway,solstheim_cold_region,water_or_ferry_access | solstheim_cold_region,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Access model: ferry_gateway_then_local_overland."
GEOG-000039,COORD-000039,LOC-000038,OBJ-001995,Bronze Water Cave,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,northern_skyrim,nightgate_pale_pass,Nightgate Inn,road_inn,10528,Windhelm Stables,54654,Windhelm ferry,51694,Nightgate Inn,inn,10528,Bloodchill Manor,ae_home,31770,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_regional,regional_cold,regional_cold,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000040,COORD-000040,LOC-000039,OBJ-001996,Brood Cavern,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,northwest_skyrim,morthal_marsh,Morthal,minor_capital,28555,Solitude carriage origin,61933,Solitude ferry,61933,Moorside Inn,inn,28555,Myrwatch,ae_home,36258,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_regional,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000041,COORD-000041,LOC-000040,OBJ-001997,Bruca's Leap Redoubt,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,northwest_skyrim,dragon_bridge_haafingar_road,Dragon Bridge,village,29889,Solitude carriage origin,72718,Icewater Jetty,64280,Four Shields Tavern,inn,29889,Proudspire Manor,city_home,72718,same_worldspace_overland,major_carriage_origin_remote | ferry_terminal_regional,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000042,COORD-000042,LOC-000041,OBJ-001998,Bthardamz,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,western_skyrim,markarth_reach,Markarth,major_city,41830,Markarth Stables,39584,Icewater Jetty,77507,Silver-Blood Inn,inn,41830,Vlindrel Hall,city_home,41830,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000043,COORD-000043,LOC-000042,OBJ-001999,Castle Karstaag Caverns,clearable_location,base_game,Solstheim,exact_marker,same_worldspace_xy,solstheim,skaal_north,Skaal Village,village,40600,,,Raven Rock ferry,53601,The Retching Netch,inn,53601,Severin Manor,dragonborn_home,53601,ferry_gateway_then_local_overland,major_carriage_origin_unavailable | ferry_terminal_regional | solstheim_no_carriages | raven_rock_ferry_gateway,solstheim_cold_region,water_or_ferry_access | solstheim_cold_region,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Access model: ferry_gateway_then_local_overland."
GEOG-000044,COORD-000044,LOC-000043,OBJ-002000,Castle Karstaag Ruins,clearable_location,base_game,Solstheim,exact_marker,same_worldspace_xy,solstheim,skaal_north,Skaal Village,village,44465,,,Raven Rock ferry,54924,The Retching Netch,inn,54924,Severin Manor,dragonborn_home,54924,ferry_gateway_then_local_overland,major_carriage_origin_unavailable | ferry_terminal_regional | solstheim_no_carriages | raven_rock_ferry_gateway,solstheim_cold_region,water_or_ferry_access | solstheim_cold_region,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Access model: ferry_gateway_then_local_overland."
GEOG-000045,COORD-000045,LOC-000044,OBJ-002001,Chillwind Depths,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,northwest_skyrim,dragon_bridge_haafingar_road,Dragon Bridge,village,24547,Solitude carriage origin,58705,Solitude ferry,58705,Four Shields Tavern,inn,24547,Proudspire Manor,city_home,58705,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_regional,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000046,COORD-000046,LOC-000045,OBJ-002002,Clearpine Pond,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,northwest_skyrim,dragon_bridge_haafingar_road,Dragon Bridge,village,14613,Solitude carriage origin,44473,Solitude ferry,44473,Four Shields Tavern,inn,14613,Proudspire Manor,city_home,44473,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_regional,regional_cold,regional_cold,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000047,COORD-000047,LOC-000046,OBJ-002003,Clearspring Tarn,clearable_location,base_game,Skyrim,exact_marker,same_worldspace_xy,southern_skyrim,ivarstead_rift_pass,Ivarstead,village,57507,Riften Stables,53941,Windhelm ferry,90390,Vilemyr Inn,inn,57507,Shadowfoot Sanctum,ae_home,56504,same_worldspace_overland,major_carriage_origin_regional | ferry_terminal_remote,standard,none_flagged,high,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose."
GEOG-000048,COORD-000048,LOC-000047,OBJ-002004,Cold Rock Pass,clearable_location,base_game,Skyrim,multi_marker,multi_marker_choose_candidate,northwest_skyrim,morthal_marsh,Morthal,minor_capital,35122,Solitude carriage origin,74227,Solitude ferry,74227,Moorside Inn,inn,35122,Myrwatch,ae_home,37350,same_worldspace_overland,major_carriage_origin_remote | ferry_terminal_remote,source_listed_cold_interior,choose_route_entrance | mountain_or_pass | source_listed_cold_interior,medium,SN-000124-hub-corridor-geography-support.md,"Straight-line support data; validate roads, passes, water, quest state, and exact access before route prose. Multiple coordinate rows exist for this location; choose the entrance that matches the planned route leg."
