checklist_id,checklist_tab,checklist_entry,category,objective_id,matched_objective_name,exclusion_reason,source_note_refs,source_note_status,missing_source_refs,source_note_exclusion_match,guide_name_match,guide_exclusion_context_match,internal_checklist_coverage_row_count,internal_objective_coverage_row_count,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
CHK-BOOKS-1789,Books,"16 Accords of Madness, v. XII",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1790,Books,"2920, Evening Star, v12",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1791,Books,"2920, First Seed, v3",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1800,Books,"2920, Sun's Dusk, v11",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1801,Books,"2920, Sun's Height, v7",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1802,Books,A Children's Anuad,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1803,Books,"A Dance in Fire, v1",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1805,Books,"A Dance in Fire, v3",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1806,Books,"A Dance in Fire, v4",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1807,Books,"A Dance in Fire, v5",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1810,Books,A Dream of Sovngarde,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1812,Books,A Gentleman's Guide to Whiterun,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1814,Books,"A Kiss, Sweet Mother",book_document,,,TB-031J excludes this from required book coverage because UESP lists it as a regular List 2 book with multiple copies rather than a skill book quest book AE book spell tome Black Book or checklist-unique book.,SN-000129-checklist-source-readiness-forward-review.md,all_found,,Y,N,N,1,0,exclusion_row_covered,explicit_scope_exclusion_reaffirmed,excluded,Cicero Aventus And The Sanctuary Door,none,
CHK-BOOKS-1815,Books,A Minor Maze,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,Y,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1819,Books,Adventurer's Journal,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1820,Books,Aedra and Daedra,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1822,Books,Agrius's Journal,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1824,Books,Ahzirr Traajijazeri,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1826,Books,Alchemist's Journal,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1827,Books,Alchemist's Journal,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1828,Books,Alduin is Real,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1830,Books,Amongst the Draugr,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1831,Books,An Accounting of the Scrolls,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1832,Books,An Explorer's Guide to Skyrim,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1833,Books,Ancestors and the Dunmer,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1835,Books,Antecedants of Dwemer Law,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1837,Books,"Argonian Account, Book 1",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1838,Books,"Argonian Account, Book 2",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1839,Books,"Argonian Account, Book 3",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1840,Books,"Argonian Account, Book 4",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1842,Books,Atlas of Dragons,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1843,Books,Atronach Forge Manual,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1844,Books,Azura and the Box,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1845,Books,Bandit Leader's Journal,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,Y,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1846,Books,Bandit's Journal,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1847,Books,Bandit's Journal,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1852,Books,Beggar Prince,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1853,Books,"Biography of Barenziah, v1",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1854,Books,"Biography of Barenziah, v2",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1855,Books,"Biography of Barenziah, v3",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1857,Books,Boethiah's Glory,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1859,Books,"Bone, Part I (DB)",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1860,Books,"Bone, Part II (DB)",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1862,Books,"Brief History of the Empire, v1",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1863,Books,"Brief History of the Empire, v2",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1864,Books,"Brief History of the Empire, v3",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1865,Books,"Brief History of the Empire, v4",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1872,Books,Cats of Skyrim,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1873,Books,Chance's Folly,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1874,Books,Changed Ones (DB),general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1875,Books,"Charwich-Koniinge Letters, v1",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1876,Books,"Charwich-Koniinge Letters, v3",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1877,Books,"Charwich-Koniinge Letters, v4",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1878,Books,"Charwich-Koniinge, v2",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1879,Books,Chaurus Pie: A Recipe,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1881,Books,Children of the all-maker (DB),general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1885,Books,Cicero's Journal - Final Volume,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,Y,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1886,Books,Cicero's Journal - Volume 1,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1887,Books,Cicero's Journal - Volume 2,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1888,Books,Cicero's Journal - Volume 3,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1889,Books,Cicero's Journal - Volume 4,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1891,Books,Confessions of a Dunmer Skooma Eater (DB),general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1892,Books,Confessions Of A Khajiit Fur Trader (DG),general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1893,Books,Cook's Journal,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1894,Books,Darkest Darkness,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1900,Books,Death of a Wanderer,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1902,Books,Decree of Monument,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1908,Books,Dragon Language: Myth no More,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1909,Books,Dunmer of Skyrim,general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1910,Books,"Dwarves, v1",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
CHK-BOOKS-1911,Books,"Dwarves, v2",general_book,,,"TB-031A scope review excludes broad regular-book library collection from the required route. The required book/document scope remains skill books, spell tomes, Black Books, quest/AE books, and checklist-tracked unique books.",,no_refs,,N/A,N,N,1,0,exclusion_row_covered,explicit_exclusion_documented,excluded,Internal exclusion coverage,none,
