audit_area,check_id,source_file,source_section,row_label,check_type,branch_id,hard_save,guide_locations,audit_status,recommended_action,evidence,notes
branch_decision_matrix,TB041-MATRIX-BR-007,drafts/branch-routes/README.md,Branch Decision Matrix,Ghosts of the Tribunal heretics,Full branch route,BR-007,HS-AE-GHOSTS-TEMPLE,Ghosts of the Tribunal and Trueflame,pass_branch_save_reload_present,none,HS-AE-GHOSTS-TEMPLE appears in guide branch handling with a nearby reload cue.,"Canonical main continuity: Join/infiltrate heretic path. Matrix notes: Main default preserves armory access, crafting permissions, followers, companion tasks, and Skullcrusher access"
branch_decision_matrix,TB041-MATRIX-BR-008,drafts/branch-routes/README.md,Branch Decision Matrix,Bittercup altar path,Two compact alternate branches,BR-008,HS-AE-BITTERCUP-ALTAR,"Bittercup, the Pit, and Fortunate Son; Final Reconciliation",pass_branch_save_reload_present,none,HS-AE-BITTERCUP-ALTAR appears in guide branch handling with a nearby reload cue.,"Canonical main continuity: Fortune path. Matrix notes: TB-031C made The Pit branch-only in the objective map. Fortune remains the main default because the sourced reward table makes Master Transmute path-specific, and spell/permanent-spell coverage is main-route scope"
branch_decision_matrix,TB041-MATRIX-BR-009,drafts/branch-routes/README.md,Branch Decision Matrix,The Black Star reward,Reward branch,BR-009,HS-DAEDRIC-BLACK-STAR,The Black Star and Ilinalta's Deep,pass_branch_save_reload_present,none,HS-DAEDRIC-BLACK-STAR appears in guide branch handling with a nearby reload cue.,Canonical main continuity: The Black Star. Matrix notes: Both star outcomes are qualifying artifacts. The Black Star remains the utility default; Azura's Star is branch-exclusive
branch_decision_matrix,TB041-MATRIX-BR-010,drafts/branch-routes/README.md,Branch Decision Matrix,A Daedra's Best Friend reward,Reward branch,BR-010,HS-DAEDRIC-CLAVICUS,"Haafingar Caves, Volskygge, and Night Hunter",pass_branch_save_reload_present,none,HS-DAEDRIC-CLAVICUS appears in guide branch handling with a nearby reload cue.,Canonical main continuity: Masque of Clavicus Vile. Matrix notes: Main route must not use Rueful Axe for Oblivion Walker
branch_decision_matrix,TB041-MATRIX-BR-011,drafts/branch-routes/README.md,Branch Decision Matrix,Ill Met By Moonlight outcome,Reward branch plus appendix-only exploit note,BR-011,HS-DAEDRIC-HIRCINE-GROTTO,Hircine and Bloated Man's Grotto,pass_branch_save_reload_present,none,HS-DAEDRIC-HIRCINE-GROTTO appears in guide branch handling with a nearby reload cue.,Canonical main continuity: Ring of Hircine single-artifact outcome. Matrix notes: TB-031C promoted Ring of Hircine to main-route handling. Do not rely on the dual-artifact outcome for Oblivion Walker. Preserve Bolar's Oathblade and the non-quest grotto clear state before the quest if the route keeps Sinding alive on the main save
branch_decision_matrix,TB041-MATRIX-BR-012,drafts/branch-routes/README.md,Branch Decision Matrix,Pieces of the Past final choice,Reward branch,BR-012,HS-DAEDRIC-MEHRUNES-SHRINE,"Dawnstar, Vaermina, and Cold-Weather Setup",pass_branch_save_reload_present,none,HS-DAEDRIC-MEHRUNES-SHRINE appears in guide branch handling with a nearby reload cue.,Canonical main continuity: Kill Silus and reforge Mehrunes' Razor. Matrix notes: Main route is artifact-safe
branch_decision_matrix,TB041-MATRIX-BR-013,drafts/branch-routes/README.md,Branch Decision Matrix,The Taste of Death final outcome,Reward branch,BR-013,HS-DAEDRIC-NAMIRA-FEAST,"Markarth Prison, Daedric Rites, and Reach Redoubts",pass_branch_save_reload_present,none,HS-DAEDRIC-NAMIRA-FEAST appears in guide branch handling with a nearby reload cue.,Canonical main continuity: Namira feast outcome and Ring of Namira. Matrix notes: Main route is artifact-safe
branch_decision_matrix,TB041-MATRIX-BR-014,drafts/branch-routes/README.md,Branch Decision Matrix,Waking Nightmare final choice,Reward branch,BR-014,HS-DAEDRIC-VAERMINA-SKULL,"Dawnstar, Vaermina, and Cold-Weather Setup",pass_branch_save_reload_present,none,HS-DAEDRIC-VAERMINA-SKULL appears in guide branch handling with a nearby reload cue.,Canonical main continuity: Kill Erandur and take Skull of Corruption. Matrix notes: Main route is artifact-safe; Erandur follower access is branch-only
branch_decision_matrix,TB041-MATRIX-BR-015,drafts/branch-routes/README.md,Branch Decision Matrix,Lost to the Ages Aetherial reward,Reward branch,BR-015,HS-AETHERIUM-FORGE,"College Errands, Arniel, Septimus, and Aetherium",pass_branch_save_reload_present,none,HS-AETHERIUM-FORGE appears in guide branch handling with a nearby reload cue.,"Canonical main continuity: Aetherial Crown. Matrix notes: TB-031C promoted Aetherial Crown to main-route handling. Trophy only requires quest completion, but unique reward branches are substantial enough to route from the forge save"
branch_decision_matrix,TB041-MATRIX-BR-016,drafts/branch-routes/README.md,Branch Decision Matrix,Forgotten Names / Velehk Sain,Main-route resolved with optional outcome note,BR-016,HS-COLLEGE-VELEHK-SAIN,"Winterhold, College Entry, and Saarthal",pass_main_route_resolved_no_full_branch,none,HS-COLLEGE-VELEHK-SAIN appears in main-route-resolved handling; no full branch is required by the matrix.,"Canonical main continuity: Release Velehk for hidden treasure map/reward path. Matrix notes: Keep the hard save because the reward sets differ, but treat the kill path as too small for a full branch by default"
branch_decision_matrix,TB041-MATRIX-BR-017,drafts/branch-routes/README.md,Branch Decision Matrix,Promises to Keep / Frost,Main-route resolved with optional outcome note,BR-017,HS-RIFT-FROST-LETRUSH,"Riften Thaneship, Frost, and Rift Roads",pass_main_route_resolved_no_full_branch,none,HS-RIFT-FROST-LETRUSH appears in main-route-resolved handling; no full branch is required by the matrix.,Canonical main continuity: Keep Frost. Matrix notes: Main continuity preserves the unique mount
branch_decision_matrix,TB041-MATRIX-BR-018,drafts/branch-routes/README.md,Branch Decision Matrix,Unearthed / Ralis,Main-route resolved with optional outcome note,BR-018,HS-DRAGONBORN-UNEARTHED-RALIS,Kolbjorn Excavation and Raven Rock West,pass_main_resolved_optional_branch_save,none,HS-DRAGONBORN-UNEARTHED-RALIS appears with an optional branch-and-reload handling for the compact Ralis outcome.,Canonical main continuity: Spare Ralis. Matrix notes: Main continuity preserves follower availability; collect Hoarfrost without killing him if the final route validates that handling
branch_decision_matrix,TB041-MATRIX-BR-019,drafts/branch-routes/README.md,Branch Decision Matrix,Battle of the Champions side selection,Main-route resolved; branch placement piggybacks on Civil War branch if needed,BR-019,HS-AE-CIVIL-WAR-CHAMPIONS,Imperial Civil War,pass_main_route_resolved_no_full_branch,none,HS-AE-CIVIL-WAR-CHAMPIONS appears in main-route-resolved handling; no full branch is required by the matrix.,Canonical main continuity: Imperial-aligned handling. Matrix notes: TB-031C and TB-033 found no checklist evidence for a separate branch. Keep source-note dependent; final step/checklist validation should verify both equipment-set availability before final guide release. Do not create a separate full branch for side flavor alone
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0015,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-004 Paarthurnax / Blades,Paarthurnax (optional),branch_checklist,BR-004,HS-MQ-PAARTHURNAX,Paarthurnax And Blades Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0055,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-004 Paarthurnax / Blades,Rebuilding the Blades,branch_checklist,BR-004,HS-MQ-PAARTHURNAX,Blades Research Blackreach And The Fallen | Main Quest Staging Before Sky Haven | Paarthurnax And Blades Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_resolved_by_main_continuity; coverage not_duplicated_here | not_started_here | placed_in_guide; completion complete | complete_in_mr043 | staged_for_paarthurnax_blades_branch.,Blades checklist branch row is already completed on main continuity before the Paarthurnax lockout.
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0057,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-004 Paarthurnax / Blades,Dragon Hunting,branch_checklist,BR-004,HS-MQ-PAARTHURNAX,Blades Research Blackreach And The Fallen | Paarthurnax And Blades Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_resolved_by_main_continuity; coverage not_duplicated_here | placed_in_guide; completion complete | complete_in_mr043.,Blades checklist branch row is already completed on main continuity before the Paarthurnax lockout.
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0099,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-003 Destroy the Dark Brotherhood,Destroy the Dark Brotherhood!,branch_checklist,BR-003,HS-DB-ABANDONED-SHACK,Cicero Aventus And The Sanctuary Door,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_route_placed; completion branch_complete_then_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0133,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,Joining the Stormcloaks,branch_checklist,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_experienced; completion branch_complete.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0141,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,Liberation of Skyrim,branch_checklist,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_experienced; completion branch_complete.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0143,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,Rescue from Fort Neugrad,branch_checklist,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_experienced; completion branch_complete.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0157,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,The Battle for Fort Kastav,branch_checklist,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_conditionally_not_applicable; coverage conditional_not_routed; completion not_applicable_no_treaty_branch.,Conditional Stormcloak treaty-only branch row is represented as not applicable for the no-treaty route.
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0159,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,The Battle for Fort Hraggstad,branch_checklist,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_experienced; completion branch_complete.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0160,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,Battle for Solitude,branch_checklist,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_experienced; completion branch_complete.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0474,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,The Bloodstone Chalice,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0481,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,Amulets of Night Power,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0483,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,Ancient Power,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0485,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,Culling the Beast,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0487,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,Deceiving the Herd,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0489,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,Destroying the Dawnguard,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch | Volkihar Finale Branch Continuation,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_guide | staged_branch_continuation; completion branch_complete | staged_for_volkihar_finale_branch_continuation.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0491,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,The Gift,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0492,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,The Hunt,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0494,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,New Allegiances,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0496,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,Protecting the Bloodline,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0498,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,Rings of Blood Magic,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0541,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-006 Thirsk Riekling,The Chief of Thirsk Hall,branch_checklist,BR-006,HS-DRAGONBORN-THIRSK-CHOICE,"Vahlok's Tomb, Riekling Roads, And Thirsk",pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_route; completion branch_experienced_then_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-QUESTS-0582,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-008A Bittercup Power,The Pit,branch_checklist,BR-008,HS-AE-BITTERCUP-ALTAR,"Bittercup, The Pit, And Fortunate Son",pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_handled; completion branch_experienced.,
existing_branch_audit,TB041-EXISTING-CHK-UNIQUE-GEAR-1561,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-009 Azura's Star,Azura's Star,branch_checklist,BR-009,HS-DAEDRIC-BLACK-STAR,The Black Star and Ilinalta's Deep,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_route_completed | tb044_closed; completion branch_complete | complete.,
existing_branch_audit,TB041-EXISTING-CHK-UNIQUE-GEAR-1669,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-011 Savior's Hide,Savior's Hide,branch_checklist,BR-011,HS-DAEDRIC-HIRCINE-GROTTO,Hircine And Bloated Man's Grotto,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_completed_then_reloaded; completion branch_experienced_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-UNIQUE-GEAR-1697,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-010 Rueful Axe,The Rueful Axe,branch_checklist,BR-010,HS-DAEDRIC-CLAVICUS,"Haafingar Caves, Volskygge, And Night Hunter",pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_reward_represented; completion branch_experienced_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-UNIQUE-GEAR-1724,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-015 Aetherial Shield,Aetherial Shield,branch_checklist,BR-015,HS-AETHERIUM-FORGE,Arkngthamz And The First Aetherium Shards | College Errands Arniel Septimus And Aetherium,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_deferred | branch_placed_in_guide; completion branch_complete | staged_for_branch_reward.,
existing_branch_audit,TB041-EXISTING-CHK-UNIQUE-GEAR-1725,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-015 Aetherial Staff,Aetherial Staff,branch_checklist,BR-015,HS-AETHERIUM-FORGE,Arkngthamz And The First Aetherium Shards | College Errands Arniel Septimus And Aetherium,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_deferred | branch_placed_in_guide; completion branch_complete | staged_for_branch_reward.,
existing_branch_audit,TB041-EXISTING-CHK-UNIQUE-GEAR-1727,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,Amulet of Bats,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-UNIQUE-GEAR-1728,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,Amulet of The Gargoyle,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-UNIQUE-GEAR-1741,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,Ring of The Beast,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-UNIQUE-GEAR-1742,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-002 Volkihar,Ring of the Erudite,branch_checklist,BR-002,HS-DG-BLOODLINE,Dawnguard Fork And Volkihar Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-CHK-BOOKS-2512,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-007 Ghosts destroy-heretics,Reclamation Priest's Journal (AE),branch_checklist,BR-007,HS-AE-GHOSTS-PROPAGANDA | HS-AE-GHOSTS-TEMPLE,Ghosts Of The Tribunal And Trueflame,pass_existing_branch_audit_row,none,Existing branch audit status branch_checklist_covered; coverage branch_handled; completion branch_experienced.,
existing_branch_audit,TB041-EXISTING-OBJ-000019,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-004 Paarthurnax / Blades,Paarthurnax,branch_objective,BR-004,HS-MQ-PAARTHURNAX,Paarthurnax And Blades Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_objective_covered; coverage placed_in_branch_guide; completion branch_complete_reloaded.,
existing_branch_audit,TB041-EXISTING-OBJ-000067,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-003 Destroy the Dark Brotherhood,Destroy the Dark Brotherhood!,branch_objective,BR-003,HS-DB-ABANDONED-SHACK,Cicero Aventus And The Sanctuary Door,pass_existing_branch_audit_row,none,Existing branch audit status branch_objective_covered; coverage branch_route_placed; completion branch_complete_then_reloaded.,
existing_branch_audit,TB041-EXISTING-OBJ-000087,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,Joining the Stormcloaks,branch_objective,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_objective_covered; coverage branch_experienced; completion branch_complete.,
existing_branch_audit,TB041-EXISTING-OBJ-000088,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,The Jagged Crown (Stormcloaks),branch_objective,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_objective_covered; coverage branch_experienced; completion branch_complete.,
existing_branch_audit,TB041-EXISTING-OBJ-000089,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,Message to Whiterun (Stormcloaks),branch_objective,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_objective_covered; coverage branch_experienced; completion branch_complete.,
existing_branch_audit,TB041-EXISTING-OBJ-000090,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,Battle for Whiterun (Stormcloaks),branch_objective,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_objective_covered; coverage branch_experienced; completion branch_complete.,
existing_branch_audit,TB041-EXISTING-OBJ-000091,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,Liberation of Skyrim,branch_objective,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_objective_covered; coverage branch_experienced; completion branch_complete.,
existing_branch_audit,TB041-EXISTING-OBJ-000092,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,Rescue from Fort Neugrad,branch_objective,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_objective_covered; coverage branch_experienced; completion branch_complete.,
existing_branch_audit,TB041-EXISTING-OBJ-000093,data/guide-coverage/main-guide-v1-branch-audit.csv,BR-001 Stormcloak Civil War,Compelling Tribute (Stormcloaks),branch_objective,BR-001,HS-CW-BEFORE-FACTION-OATH,Civil War Stormcloak Branch,pass_existing_branch_audit_row,none,Existing branch audit status branch_objective_covered; coverage branch_experienced; completion branch_complete.,
