checklist_id,checklist_tab,checklist_entry,category,objective_id,matched_objective_name,support_option_ids,support_option_types,support_route_treatments,guide_name_match,guide_default_context_match,internal_checklist_coverage_row_count,internal_objective_coverage_row_count,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
CHK-RECRUITABLE-FOLLOWERS-2669,Recruitable Followers,Stenvar,follower_option,,,NPCOPT-000062 | NPCOPT-000171,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2670,Recruitable Followers,Stray Dog,follower_option,,,NPCOPT-000208,animal_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2671,Recruitable Followers,Sven,follower_option,,,NPCOPT-000118 | NPCOPT-000199,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2672,Recruitable Followers,Talvas Fathryon,follower_option,,,NPCOPT-000129 | NPCOPT-000162,permanent_follower_candidate | personal_steward_candidate,option_list,Y,Y,1,0,option_row_covered,placed_in_guide,option_available_not_default,"Tel Mithryn, Nchardak, And Kagrumez",none,
CHK-RECRUITABLE-FOLLOWERS-2673,Recruitable Followers,Teldryn Sero,follower_option,,,NPCOPT-000163,permanent_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2674,Recruitable Followers,Torvar,follower_option,,,NPCOPT-000063 | NPCOPT-000150,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_available,option_unlocked,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-RECRUITABLE-FOLLOWERS-2675,Recruitable Followers,Ugor,follower_option,,,NPCOPT-000185,permanent_follower_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2676,Recruitable Followers,Uthgerd the Unbroken,follower_option,,,NPCOPT-000028 | NPCOPT-000119 | NPCOPT-000200,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2677,Recruitable Followers,Valdimar,follower_option,,,NPCOPT-000064 | NPCOPT-000180,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,retrospectively_moved_earlier,complete,High Hrothgar Ustengrav Morthal And The Embassy,none,
CHK-RECRUITABLE-FOLLOWERS-2678,Recruitable Followers,Vigilance,follower_option,,,NPCOPT-000209,animal_follower_candidate,option_list,Y,Y,1,0,option_row_covered,availability_noted,option_available_not_default,Markarth Nchuand-Zel And Old Hroldan,none,
CHK-RECRUITABLE-FOLLOWERS-2679,Recruitable Followers,Vilkas,follower_option,,,NPCOPT-000065 | NPCOPT-000120 | NPCOPT-000151,permanent_follower_candidate | personal_steward_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_available,option_unlocked,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-RECRUITABLE-FOLLOWERS-2680,Recruitable Followers,Vorstag,follower_option,,,NPCOPT-000066 | NPCOPT-000172,permanent_follower_candidate | spouse_candidate,option_list,Y,Y,1,0,option_row_covered,option_list_presented,option_list_represented,Homes Household Services Pets And Mounts,none,
CHK-RECRUITABLE-FOLLOWERS-2681,Recruitable Followers,Arvak,follower_option,,,NPCOPT-000240,unique_mount,option_list,Y,Y,1,0,option_row_covered,placed_in_guide,complete,Dawnguard Worldspaces,none,
CHK-RECRUITABLE-FOLLOWERS-2682,Recruitable Followers,Frost,follower_option,,,NPCOPT-000238,unique_mount,option_list,Y,Y,1,0,option_row_covered,completed_now,complete,Riften Thaneship Frost And Rift Roads,none,
CHK-RECRUITABLE-FOLLOWERS-2683,Recruitable Followers,Shadowmere,follower_option,,,NPCOPT-000239,unique_mount,option_list,Y,Y,1,0,option_row_covered,placed_in_guide,option_available,"Security, Shadowmere, And The Brotherhood Endgame",none,
