source_line,audit_area,audit_status,recommended_action_before_repair,classification,repair_status,record_type,record_id,mapped_objective_id,name,current_location,current_status,exact_missing_fact,inputs_checked
169,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-001378,,Certificate of Authenticity,First Day In Whiterun,held_for_later_ae_route / staged_for_later_ae_route,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
181,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-001234,,Note to Thomas,Bleak Falls Barrow And First Dragon,conditional_now_else_staged / conditional_or_staged_later,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
190,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-001936,,Player Housecarl Set,Bleak Falls Barrow And First Dragon,progressed / in_progress,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
251,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000699,,Plague of the Dead Mort Flesh Ingredient Set,Rising Dead Early Activation,progressed_in_guide / in_progress,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
295,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000320,,Dungeon Delving (Amren's Family Sword),Halted Stream And Silent Moons Level Gate,conditional_if_marker_matches_halted_stream / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
344,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000106,,Kitchen furnishings,Goldenhills Farm And Rorikstead,staged_for_later_material_storage_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
345,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000107,,Dining area,Goldenhills Farm And Rorikstead,staged_for_later_material_storage_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
346,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000108,,Alchemy and enchanting lab,Goldenhills Farm And Rorikstead,staged_for_later_material_storage_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
347,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000109,,Loft,Goldenhills Farm And Rorikstead,staged_for_later_material_storage_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
348,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000110,,Master Bedroom,Goldenhills Farm And Rorikstead,staged_for_later_material_storage_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
349,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000111,,Child's Bedroom,Goldenhills Farm And Rorikstead,staged_for_later_choice_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
350,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000112,,Library and display room,Goldenhills Farm And Rorikstead,staged_for_later_choice_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
351,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000114,,Apiary,Goldenhills Farm And Rorikstead,staged_for_later_material_storage_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
352,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000115,,Blacksmithing Workshop,Goldenhills Farm And Rorikstead,staged_for_later_material_storage_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
353,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000116,,Exterior Decoration,Goldenhills Farm And Rorikstead,staged_for_later_material_storage_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
354,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000117,,Farmhand Bunkhouse,Goldenhills Farm And Rorikstead,staged_for_later_material_storage_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
355,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,closed_or_connected,tb038r_delayed_task_closed,objective,OBJ-002414,,Validate AE Location Coverage: Goldenhills Farm Bunkhouse,Goldenhills Farm And Rorikstead,content_location_staged / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
356,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000118,,Stable,Goldenhills Farm And Rorikstead,staged_for_later_material_storage_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
357,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000119,,Windmill,Goldenhills Farm And Rorikstead,staged_for_later_material_storage_pass / staged_for_later_property_upgrade,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
358,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,property_detail,PROPDET-000121,,Buy Goldenhills horse,Goldenhills Farm And Rorikstead,staged_for_later_property_horse_option / staged_for_later_mount_option,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
401,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000115,,Companions Radiant Representative Set,Beast Blood And The Silver Hand,progressed_by_required_gates / in_progress,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
405,delayed_coverage,needs_support_delay_review,review_support_delay,explicit_route_resolution,tb038r_needs_route_resolution,checklist,CHK-PERKS-3668-3697,,Werewolf Perk Checklist Rows,Beast Blood And The Silver Hand,staged_for_later_grind / staged_for_mr049,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
424,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000244,,Kill the Bandit Leader (Siddgeir),Falkreath Land Lakeview Foundation And Glenmoril Coven,completed_or_daedric_target_parked / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
452,delayed_coverage,needs_support_delay_review,review_support_delay,explicit_route_resolution,tb038r_needs_route_resolution,checklist,CHK-LEARNED-ALCHEMY-EFFECTS-2716-2719,,Berit's Ashes alchemy effect rows,Falkreath Land Lakeview Foundation And Glenmoril Coven,staged_for_later_alchemy_discovery / staged_for_later_alchemy_discovery,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
461,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-001928,,Thane of Falkreath,Falkreath Land Lakeview Foundation And Glenmoril Coven,completed_or_parked_by_target / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
462,delayed_coverage,needs_support_delay_review,review_support_delay,explicit_route_resolution,tb038r_needs_route_resolution,checklist,CHK-QUESTS-0266,OBJ-001928,Thane of Falkreath,Falkreath Land Lakeview Foundation And Glenmoril Coven,completed_or_parked_by_target / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
463,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-001942,,Rayya Housecarl Unlock,Falkreath Land Lakeview Foundation And Glenmoril Coven,conditional_if_thane_complete / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
464,delayed_coverage,needs_support_delay_review,review_support_delay,explicit_route_resolution,tb038r_needs_route_resolution,checklist,CHK-RECRUITABLE-FOLLOWERS-2661,,Rayya follower checklist,Falkreath Land Lakeview Foundation And Glenmoril Coven,conditional_if_thane_complete / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
468,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000390,,Speak to the Jarl of Falkreath,Falkreath Land Lakeview Foundation And Glenmoril Coven,completed_or_parked_by_target / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
469,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000391,,Speak to the Steward of Falkreath about the land for sale,Falkreath Land Lakeview Foundation And Glenmoril Coven,completed_or_parked_by_target / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
472,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-002290,,Discover Lakeview Manor,Falkreath Land Lakeview Foundation And Glenmoril Coven,conditional_if_land_purchased / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
473,delayed_coverage,needs_support_delay_review,review_support_delay,explicit_route_resolution,tb038r_needs_route_resolution,checklist,CHK-LOCATIONS-1394,OBJ-002290,Lakeview Manor,Falkreath Land Lakeview Foundation And Glenmoril Coven,conditional_if_land_purchased / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
474,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-000398,,Visit your new property in Falkreath hold,Falkreath Land Lakeview Foundation And Glenmoril Coven,conditional_if_land_purchased / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
482,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,explicit_route_resolution,tb038r_needs_route_resolution,objective,OBJ-001619,,Unique Item: The Woodsman's Friend,Falkreath Land Lakeview Foundation And Glenmoril Coven,conditional_if_lakeview_available / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
483,delayed_coverage,needs_support_delay_review,review_support_delay,explicit_route_resolution,tb038r_needs_route_resolution,checklist,CHK-UNIQUE-GEAR-1699,OBJ-001619,The Woodsman's Friend,Falkreath Land Lakeview Foundation And Glenmoril Coven,conditional_if_lakeview_available / conditional_complete_or_staged,"The current coverage row is delayed, held, conditional, or in progress, and TB-038 found no later same-record closeout in the current coverage ledger.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
506,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,closed_or_connected,tb038r_delayed_task_closed,objective,OBJ-000023,,Blood's Honor,Falkreath Land Lakeview Foundation And Glenmoril Coven,completed_at_level_14_or_staged / conditional_complete_or_staged,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
507,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,checklist,CHK-QUESTS-0053,OBJ-000023,Blood's Honor,Falkreath Land Lakeview Foundation And Glenmoril Coven,completed_at_level_14_or_staged / conditional_complete_or_staged,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
508,delayed_coverage,needs_support_delay_review,review_support_delay,closed_or_connected,tb038r_delayed_task_closed,checklist,CHK-COLLECTIBLE-ITEMS-2590,OBJ-000023,Glenmoril Witch Head,Falkreath Land Lakeview Foundation And Glenmoril Coven,completed_at_level_14_or_staged / conditional_complete_or_staged,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
509,delayed_coverage,needs_delayed_task_repair,repair_or_mark_route_resolution,closed_or_connected,tb038r_delayed_task_closed,objective,OBJ-002052,,Clear Glenmoril Coven,Falkreath Land Lakeview Foundation And Glenmoril Coven,completed_at_level_14_or_staged / conditional_complete_or_staged,"TB-038R connected this delayed/support row to an existing routed action, final reference, branch reload, or later buildout already present in main-guide-v1.",data/guide-coverage/main-guide-v1-order-delayed-task-audit.csv; data/guide-coverage/main-guide-v1-coverage.csv; data/guide-coverage/main-guide-v1-objective-final-status.csv; drafts/final-guide/main-guide-v1.md
