objective_id,objective_name,category,subcategory,route_placement,guide_literal_id_match,guide_name_match,internal_coverage_row_count,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
OBJ-000011,The Throat of the World,quest,main_quest,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Blades Research Blackreach And The Fallen,none,
OBJ-000012,Elder Knowledge,quest,main_quest,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Blades Research Blackreach And The Fallen,none,
OBJ-000013,Alduin's Bane,quest,main_quest,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Blades Research Blackreach And The Fallen,none,
OBJ-000014,The Fallen,quest,main_quest,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Blades Research Blackreach And The Fallen,none,
OBJ-000015,The World-Eater's Eyrie,quest,main_quest,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,World-Eater's Eyrie and Dragonslayer,none,
OBJ-000016,Sovngarde,quest,main_quest,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,World-Eater's Eyrie and Dragonslayer,none,
OBJ-000017,Dragonslayer,quest,main_quest,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete_with_trophy,World-Eater's Eyrie and Dragonslayer,none,
OBJ-000018,Season Unending,quest,optional_main_quest,main_route,N,Y,1,covered_by_internal_coverage,conditional_not_routed,not_applicable_no_treaty_route,Blades Research Blackreach And The Fallen,none,
OBJ-000019,Paarthurnax,quest,optional_main_quest,branch_route,N,Y,1,covered_by_internal_coverage,placed_in_branch_guide,branch_complete_reloaded,Paarthurnax And Blades Branch,none,
OBJ-000020,Take Up Arms,quest,companions,main_route,N,Y,2,covered_by_internal_coverage,completed_now | held_for_companions_entry_block,complete | staged_for_mr009_completion,Companions Entry | First Day In Whiterun,none,
OBJ-000021,Proving Honor,quest,companions,main_route,N,Y,1,covered_by_internal_coverage,completed_now,complete,Companions Entry,none,
OBJ-000022,The Silver Hand,quest,companions,main_route,N,Y,1,covered_by_internal_coverage,completed_now,complete,Beast Blood And The Silver Hand,none,
OBJ-000023,Blood's Honor,quest,companions,main_route,N,Y,2,covered_by_internal_coverage,available_not_started | completed_at_level_14_or_staged,conditional_complete_or_staged | staged_for_next_falkreath_block,Beast Blood And The Silver Hand | Falkreath Land Lakeview Foundation And Glenmoril Coven,none,
OBJ-000024,Purity of Revenge,quest,companions,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Companions Finale, Totems, And Beast-Blood Preservation",none,
OBJ-000025,Glory of the Dead,quest,companions,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Companions Finale, Totems, And Beast-Blood Preservation",none,
OBJ-000026,Companions Required Radiant Gates,radiant,companions_required_gate,main_route,N,N,2,covered_by_internal_coverage,completed_now | first_gate_completed,complete | in_progress,Beast Blood And The Silver Hand | Companions Entry,none,
OBJ-000027,College Objective Quest,quest,college_of_winterhold,main_route,N,N,1,covered_by_internal_coverage,placed_in_guide,conditional_complete,"Winterhold, College Entry, And Saarthal",none,
OBJ-000028,First Lessons,quest,college_of_winterhold,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal",none,
OBJ-000029,Under Saarthal,quest,college_of_winterhold,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal",none,
OBJ-000030,Hitting the Books,quest,college_of_winterhold,main_route,N,Y,2,covered_by_internal_coverage,placed_in_guide | started_target_recorded,complete | in_progress,"Fellglow Keep And Good Intentions | Winterhold, College Entry, And Saarthal",none,
OBJ-000031,Good Intentions,quest,college_of_winterhold,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Fellglow Keep And Good Intentions,none,
OBJ-000032,Revealing the Unseen,quest,college_of_winterhold,main_route,N,Y,3,covered_by_internal_coverage,placed_in_guide | started_not_advanced,complete | in_progress,Fellglow Keep And Good Intentions | Mzulft And The Winterhold Crisis,none,
OBJ-000033,Containment,quest,college_of_winterhold,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Mzulft And The Winterhold Crisis,none,
OBJ-000034,The Staff of Magnus,quest,college_of_winterhold,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Labyrinthian And The Eye Of Magnus,none,
OBJ-000035,The Eye of Magnus,quest,college_of_winterhold,main_route,N,Y,2,covered_by_internal_coverage,placed_in_guide,complete,Labyrinthian And The Eye Of Magnus,none,
OBJ-000036,A Chance Arrangement,quest,thieves_guild,main_route,N,Y,1,covered_by_internal_coverage,completed_now,complete,First Riften Visit And Guild Doorway,none,
OBJ-000037,Taking Care of Business,quest,thieves_guild,main_route,N,Y,1,covered_by_internal_coverage,completed_now,complete,First Riften Visit And Guild Doorway,none,
OBJ-000038,Loud and Clear,quest,thieves_guild,main_route,N,Y,2,covered_by_internal_coverage,completed_now | started_now,complete | staged_for_next_section,First Riften Visit And Guild Doorway | Goldenglow Honningbrew Solitude And Snow Veil,none,
OBJ-000039,Dampened Spirits,quest,thieves_guild,main_route,N,Y,1,covered_by_internal_coverage,completed_now,complete,Goldenglow Honningbrew Solitude And Snow Veil,none,
OBJ-000040,Scoundrel's Folly,quest,thieves_guild,main_route,N,Y,1,covered_by_internal_coverage,completed_now,complete,Goldenglow Honningbrew Solitude And Snow Veil,none,
OBJ-000041,Speaking With Silence,quest,thieves_guild,main_route,N,Y,1,covered_by_internal_coverage,completed_now,complete,Goldenglow Honningbrew Solitude And Snow Veil,none,
OBJ-000042,Hard Answers,quest,thieves_guild,main_route,N,Y,5,covered_by_internal_coverage,active_but_held | audited_not_progressed_here | placed_in_guide | still_held,complete | staged_for_level_46_thieves_rewards,Goldenglow Honningbrew Solitude And Snow Veil | Markarth Nchuand-Zel And Old Hroldan | Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key | Riften Thaneship Frost And Rift Roads,none,
OBJ-000043,The Pursuit,quest,thieves_guild,main_route,N,Y,2,covered_by_internal_coverage,not_started_here | placed_in_guide,complete | staged_for_level_46_thieves_rewards,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,none,
OBJ-000044,Trinity Restored,quest,thieves_guild,main_route,N,Y,2,covered_by_internal_coverage,placed_in_guide | threshold_checked_not_started,complete | staged_for_level_46_thieves_rewards,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,none,
OBJ-000045,Blindsighted,quest,thieves_guild,main_route,N,Y,2,covered_by_internal_coverage,not_started_here | placed_in_guide,complete | staged_for_level_46_thieves_rewards,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,none,
OBJ-000046,Darkness Returns,quest,thieves_guild,main_route,N,Y,2,covered_by_internal_coverage,not_started_here | placed_in_guide,complete | staged_for_late_thieves_chain,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,none,
OBJ-000047,Under New Management,quest,thieves_guild,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Guild Restoration And Amulet Of Articulation,none,
OBJ-000048,Thieves Guild City Influence and Side Job Counter,radiant,thieves_guild_restoration,main_route,N,N,7,covered_by_internal_coverage,audited_no_jobs_accepted | audited_not_started_here | counter_completed | counter_progressed | ledger_created_zero_jobs | solitude_exception_completed,complete | in_progress | staged_for_guild_restoration_block | staged_for_post_nightingale_city_job_blocks,"Goldenglow Honningbrew Solitude And Snow Veil | Guild Restoration And Amulet Of Articulation | Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key | Riften Thaneship Frost And Rift Roads | Whispers, Solitude Jobs, And The Wedding Assassination",none,
OBJ-000049,Silver Lining,quest,thieves_guild_reputation,main_route,N,Y,2,covered_by_internal_coverage,placed_in_guide | quest_item_precollected,complete | staged_for_late_thieves_turn_in,Guild Restoration And Amulet Of Articulation | Southern Warm Corridor,none,
OBJ-000050,The Dainty Sload,quest,thieves_guild_reputation,main_route,N,Y,5,covered_by_internal_coverage,audited_not_routed_here | next_section_blocker | not_started_here | placed_in_guide,complete | hard_stop_before_bound_until_death | staged_for_erikur_protection_before_bound_until_death,"Cicero Aventus And The Sanctuary Door | First Brotherhood Contracts And Muiri's Revenge | Haafingar Caves Volskygge And Night Hunter | Solitude Coast Wild Horse And Wolfskull | Whispers, Solitude Jobs, And The Wedding Assassination",none,
OBJ-000051,Imitation Amnesty,quest,thieves_guild_reputation,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Guild Restoration And Amulet Of Articulation,none,
OBJ-000052,Summerset Shadows,quest,thieves_guild_reputation,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Guild Restoration And Amulet Of Articulation,none,
OBJ-000053,Delayed Burial,quest,dark_brotherhood,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Cicero Aventus And The Sanctuary Door,none,
OBJ-000054,Innocence Lost,quest,dark_brotherhood,main_route,N,Y,2,covered_by_internal_coverage,not_started_here | placed_in_guide,complete | staged_for_dark_brotherhood_route,Cicero Aventus And The Sanctuary Door | Windhelm Murder Investigation And White Phial,none,
OBJ-000055,With Friends Like These...,quest,dark_brotherhood,main_route,N,Y,2,covered_by_internal_coverage,placed_in_guide,complete,Cicero Aventus And The Sanctuary Door,none,
OBJ-000056,Sanctuary,quest,dark_brotherhood,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Cicero Aventus And The Sanctuary Door,none,
OBJ-000057,Mourning Never Comes,quest,dark_brotherhood,main_route,N,Y,2,covered_by_internal_coverage,audited_not_started_here | placed_in_guide,complete | staged_for_dark_brotherhood_route,Arkngthamz And The First Aetherium Shards | First Brotherhood Contracts And Muiri's Revenge,none,
OBJ-000058,Whispers in the Dark,quest,dark_brotherhood,main_route,N,Y,2,covered_by_internal_coverage,placed_in_guide | started_for_next_section,active_for_next_dark_brotherhood_block | complete,"First Brotherhood Contracts And Muiri's Revenge | Whispers, Solitude Jobs, And The Wedding Assassination",none,
OBJ-000059,The Silence Has Been Broken,quest,dark_brotherhood,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Whispers, Solitude Jobs, And The Wedding Assassination",none,
OBJ-000060,Bound Until Death,quest,dark_brotherhood,main_route,N,Y,2,covered_by_internal_coverage,audited_not_routed_here | placed_in_guide,blocked_until_erikur_protection | complete,"Cicero Aventus And The Sanctuary Door | Whispers, Solitude Jobs, And The Wedding Assassination",none,
OBJ-000061,Breaching Security,quest,dark_brotherhood,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame",none,
OBJ-000062,The Cure for Madness,quest,dark_brotherhood,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame",none,
OBJ-000063,Recipe for Disaster,quest,dark_brotherhood,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame",none,
OBJ-000064,To Kill an Empire,quest,dark_brotherhood,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame",none,
OBJ-000065,Death Incarnate,quest,dark_brotherhood,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame",none,
OBJ-000066,Hail Sithis!,quest,dark_brotherhood,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame",none,
OBJ-000067,Destroy the Dark Brotherhood!,quest,dark_brotherhood_branch,branch_route,N,Y,1,covered_by_internal_coverage,branch_route_placed,branch_complete_then_reloaded,Cicero Aventus And The Sanctuary Door,none,
OBJ-000068,Where You Hang Your Enemy's Head...,quest,dark_brotherhood,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame",none,
OBJ-000069,Imperial Introductions,quest,civil_war_imperial,main_route,N,N,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000070,Joining the Legion,quest,civil_war_imperial,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000071,Get Outfitted,quest,civil_war_imperial,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000072,The Jagged Crown (Imperial),quest,civil_war_imperial,main_route,N,N,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000073,Message to Whiterun (Imperial),quest,civil_war_imperial,main_route,N,N,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000074,Battle for Whiterun (Imperial),quest,civil_war_imperial,main_route,N,N,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000075,Report to the Jarl of Whiterun,quest,civil_war_imperial,main_route,N,N,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000076,Reunification of Skyrim,quest,civil_war_imperial,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000077,A False Front (Imperial),quest,civil_war_imperial,main_route,N,N,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000078,The Battle for Fort Dunstad (Imperial),quest,civil_war_imperial,main_route,N,N,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000079,Compelling Tribute (Imperial),quest,civil_war_imperial,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000080,The Battle for Fort Greenwall (Imperial),quest,civil_war_imperial,main_route,N,N,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000081,Rescue from Fort Kastav,quest,civil_war_imperial,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000082,The Battle for Fort Snowhawk (Imperial),quest,civil_war_imperial,main_route,N,N,1,covered_by_internal_coverage,conditional_not_routed,not_applicable_no_treaty_route,Imperial Civil War,none,
OBJ-000083,The Battle for Fort Neugrad,quest,civil_war_imperial,main_route,N,Y,1,covered_by_internal_coverage,conditional_not_routed,not_applicable_no_treaty_route,Imperial Civil War,none,
OBJ-000084,The Battle for Fort Sungard (Imperial),quest,civil_war_imperial,main_route,N,N,1,covered_by_internal_coverage,conditional_not_routed,not_applicable_no_treaty_route,Imperial Civil War,none,
OBJ-000085,The Battle for Fort Amol,quest,civil_war_imperial,main_route,N,N,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000086,Battle for Windhelm,quest,civil_war_imperial,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,Imperial Civil War,none,
OBJ-000087,Joining the Stormcloaks,quest,civil_war_stormcloak,branch_route,N,Y,1,covered_by_internal_coverage,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
OBJ-000088,The Jagged Crown (Stormcloaks),quest,civil_war_stormcloak,branch_route,N,N,1,covered_by_internal_coverage,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
OBJ-000089,Message to Whiterun (Stormcloaks),quest,civil_war_stormcloak,branch_route,N,N,1,covered_by_internal_coverage,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
OBJ-000090,Battle for Whiterun (Stormcloaks),quest,civil_war_stormcloak,branch_route,N,N,1,covered_by_internal_coverage,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
OBJ-000091,Liberation of Skyrim,quest,civil_war_stormcloak,branch_route,N,Y,1,covered_by_internal_coverage,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
OBJ-000092,Rescue from Fort Neugrad,quest,civil_war_stormcloak,branch_route,N,Y,1,covered_by_internal_coverage,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
OBJ-000093,Compelling Tribute (Stormcloaks),quest,civil_war_stormcloak,branch_route,N,N,1,covered_by_internal_coverage,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
OBJ-000094,The Battle for Fort Sungard (Stormcloaks),quest,civil_war_stormcloak,branch_route,N,N,1,covered_by_internal_coverage,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
OBJ-000095,A False Front (Stormcloaks),quest,civil_war_stormcloak,branch_route,N,N,1,covered_by_internal_coverage,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
OBJ-000096,The Battle for Fort Snowhawk (Stormcloaks),quest,civil_war_stormcloak,branch_route,N,N,1,covered_by_internal_coverage,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
OBJ-000097,The Battle for Fort Dunstad (Stormcloaks),quest,civil_war_stormcloak,branch_route,N,N,1,covered_by_internal_coverage,conditional_not_routed,not_applicable_no_treaty_branch,Civil War Stormcloak Branch,none,
OBJ-000098,The Battle for Fort Kastav,quest,civil_war_stormcloak,branch_route,N,Y,1,covered_by_internal_coverage,conditional_not_routed,not_applicable_no_treaty_branch,Civil War Stormcloak Branch,none,
OBJ-000099,The Battle for Fort Greenwall (Stormcloaks),quest,civil_war_stormcloak,branch_route,N,N,1,covered_by_internal_coverage,conditional_not_routed,not_applicable_no_treaty_branch,Civil War Stormcloak Branch,none,
OBJ-000100,The Battle for Fort Hraggstad,quest,civil_war_stormcloak,branch_route,N,Y,1,covered_by_internal_coverage,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
OBJ-000101,Battle for Solitude,quest,civil_war_stormcloak,branch_route,N,Y,1,covered_by_internal_coverage,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
OBJ-000102,Animal Extermination (A),radiant,companions_radiant,main_route,N,N,2,covered_by_internal_coverage,conditional_fallback_or_actual_assignment | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry,none,
OBJ-000103,Animal Extermination (B),radiant,companions_radiant,main_route,N,N,2,covered_by_internal_coverage,conditional_fallback_or_actual_assignment | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry,none,
OBJ-000104,Hired Muscle,radiant,companions_radiant,main_route,N,Y,2,covered_by_internal_coverage,conditional_if_first_clean_farkas_contract | conditional_second_gate_if_assigned,conditional_complete_or_already_recorded_or_not_assigned | conditional_complete_or_seed_unavailable,Beast Blood And The Silver Hand | Companions Entry,none,
OBJ-000105,Trouble in Skyrim,radiant,companions_radiant,main_route,N,Y,2,covered_by_internal_coverage,conditional_if_assigned_and_clean | conditional_second_gate_if_assigned,conditional_complete_if_assigned | conditional_complete_or_reloaded_for_bug_recovery,Beast Blood And The Silver Hand | Companions Entry,none,
OBJ-000106,Family Heirloom,radiant,companions_radiant,main_route,N,Y,2,covered_by_internal_coverage,conditional_if_assigned | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry,none,
OBJ-000107,Escaped Criminal,radiant,companions_radiant,main_route,N,Y,2,covered_by_internal_coverage,conditional_if_assigned | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry,none,
OBJ-000108,Rescue Mission,radiant,companions_radiant,main_route,N,Y,2,covered_by_internal_coverage,conditional_if_assigned | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry,none,
OBJ-000109,Striking the Heart,radiant,companions_radiant_windowed,main_route,N,Y,1,covered_by_internal_coverage,completed_if_assigned_in_two_aela_jobs,conditional_complete_or_not_offered,Beast Blood And The Silver Hand,none,
OBJ-000110,Stealing Plans,radiant,companions_radiant_windowed,main_route,N,Y,1,covered_by_internal_coverage,completed_if_assigned_in_two_aela_jobs,conditional_complete_or_one_save_limited,Beast Blood And The Silver Hand,none,
OBJ-000111,Retrieval,radiant,companions_radiant_windowed,main_route,N,Y,1,covered_by_internal_coverage,completed_if_assigned_in_two_aela_jobs,conditional_complete_or_one_save_limited,Beast Blood And The Silver Hand,none,
OBJ-000112,Totems of Hircine,radiant,companions_post_quest,main_route,N,Y,2,covered_by_internal_coverage,not_available_yet | placed_in_guide,complete | staged_for_post_glory_werewolf_route,"Beast Blood And The Silver Hand | Companions Finale, Totems, And Beast-Blood Preservation",none,
OBJ-000113,Purity (Companions),radiant,companions_post_quest,main_route,N,N,2,covered_by_internal_coverage,not_available_yet | placed_in_guide,complete | staged_for_post_glory_route,"Beast Blood And The Silver Hand | Companions Finale, Totems, And Beast-Blood Preservation",none,
OBJ-000114,Dragon Seekers,radiant,companions_post_quest,main_route,N,Y,3,covered_by_internal_coverage,late_repeatable_support_for_legend | placed_in_guide,complete | repeatable_support_not_extra_scope,"Companions Finale, Totems, and Beast-Blood Preservation | Level 78 and Level 80 Gates",none,
OBJ-000115,Companions Radiant Representative Set,radiant,companions_representative_set,appendix,N,N,2,covered_by_internal_coverage,partially_represented_by_first_gate | progressed_by_required_gates,in_progress,Beast Blood And The Silver Hand | Companions Entry,none,
OBJ-000116,Companions Finite Post-Quest Radiant Set,radiant,companions_finite_set,appendix,N,N,2,covered_by_internal_coverage,not_available_yet,staged_for_post_glory,Beast Blood And The Silver Hand | Companions Entry,none,
OBJ-000117,Arniel's Endeavor,quest,college_optional,main_route,N,Y,5,covered_by_internal_coverage,audited_not_started_here | part_one_completed | placed_in_guide | started_part_one,complete | in_progress_part_one | in_progress_part_two_not_started | staged_for_college_arniel_bundle | staged_for_college_side_content,Arkngthamz And The First Aetherium Shards | College Errands Arniel Septimus And Aetherium | Fellglow Keep And Good Intentions | Labyrinthian And The Eye Of Magnus | Mzulft And The Winterhold Crisis,none,
OBJ-000118,Brelyna's Practice,quest,college_optional,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal",none,
OBJ-000119,J'zargo's Experiment,quest,college_optional,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal",none,
OBJ-000120,Onmund's Request,quest,college_optional,main_route,N,Y,6,covered_by_internal_coverage,audited_not_started_here | placed_in_guide,complete | staged_for_controlled_college_side_content | staged_for_controlled_nonrandom_or_high_speech_resolution | staged_for_nonrandom_or_high_speech_resolution | staged_for_post_under_new_management,"College Errands Arniel Septimus And Aetherium | Fellglow Keep And Good Intentions | Labyrinthian And The Eye Of Magnus | Mzulft And The Winterhold Crisis | Whiterun Property Western Caves Gray-Mane Rescue And Onmund | Winterhold, College Entry, And Saarthal",none,
OBJ-000121,Out of Balance,radiant,college_repeatable,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal",none,
OBJ-000122,Enchanting Pick-Up,radiant,college_repeatable,main_route,N,N,2,covered_by_internal_coverage,audited_not_started_here | placed_in_guide,complete | staged_for_college_radiant_control_pass,"College Errands Arniel Septimus And Aetherium | Winterhold, College Entry, And Saarthal",none,
OBJ-000123,Restocking Soul Gems,radiant,college_repeatable,main_route,N,Y,2,covered_by_internal_coverage,audited_not_started_here | placed_in_guide,complete | staged_for_empty_soul_gem_material_plan,"College Errands Arniel Septimus And Aetherium | Winterhold, College Entry, And Saarthal",none,
OBJ-000124,Aftershock,radiant,college_repeatable,main_route,N,Y,1,covered_by_internal_coverage,placed_in_guide,complete,College Errands Arniel Septimus And Aetherium,none,
OBJ-000125,Rejoining the College,radiant,college_repeatable,excluded,N,N,1,covered_by_internal_coverage,explicit_exclusion_reaffirmed,excluded,Internal exclusion coverage,none,
OBJ-000126,Tolfdir the Absent-Minded,radiant,college_repeatable,main_route,N,Y,2,covered_by_internal_coverage,audited_not_started_here | placed_in_guide,complete | staged_until_tolfdir_returns_from_saarthal,"Fellglow Keep And Good Intentions | Winterhold, College Entry, And Saarthal",none,
OBJ-000127,Fetch me that Book!,radiant,college_repeatable,main_route,N,Y,2,covered_by_internal_coverage,audited_not_started_here,staged_for_college_radiant_control_pass | staged_for_late_random_radiant_control,"College Errands Arniel Septimus And Aetherium | Winterhold, College Entry, And Saarthal",none,
OBJ-000128,Shalidor's Insights,radiant,college_repeatable,main_route,N,Y,3,covered_by_internal_coverage,audited_not_started_here,staged_for_college_radiant_control_pass | staged_for_late_random_radiant_control,"College Errands Arniel Septimus And Aetherium | Labyrinthian And The Eye Of Magnus | Winterhold, College Entry, And Saarthal",none,
OBJ-000129,Alteration Ritual Spell,quest,college_master_skill_quest,main_route,N,Y,4,covered_by_internal_coverage,audited_not_started_here | conditional_acquisition_instruction | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | conditional | staged_for_skill_90_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium | Haafingar Caves Volskygge And Night Hunter,none,
OBJ-000130,Conjuration Ritual Spell,quest,college_master_skill_quest,main_route,N,Y,3,covered_by_internal_coverage,audited_not_started_here | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | staged_for_skill_90_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium,none,
OBJ-000131,Destruction Ritual Spell,quest,college_master_skill_quest,main_route,N,Y,3,covered_by_internal_coverage,audited_not_started_here | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | staged_for_skill_100_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium,none,
