checklist_id,checklist_tab,checklist_entry,category,objective_id,matched_objective_name,coverage_matrix_guide_location,raw_group,raw_detail,source_note_refs,source_note_status,missing_source_refs,guide_name_match,internal_checklist_coverage_row_count,internal_objective_coverage_row_count,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
CHK-LOCATIONS-1415,Locations,Dead Man's Dread,location,OBJ-002410,Validate AE Location Coverage: Dead Man's Dread,TB-031A/TB-031B/TB-036,Ship,"Type: Ship | Region: Haafingar | States: {'discovered': 'N', 'visited': 'N', 'cleared': '-'}",SN-000079-location-marker-gap-reconciliation.md | SN-000128-location-route-validation.md,all_found,,Y,1,1,appendix_row_covered,appendix_location_promoted,complete,Homes Household Services Pets And Mounts,none,
CHK-LOCATIONS-1417,Locations,Solitude Sewers,location,OBJ-002424,Validate AE Location Coverage: Solitude Sewers,TB-031A/TB-031B/TB-036,Root Tunnels,"Type: Root Tunnels | Region: Haafingar | States: {'discovered': 'N', 'visited': 'N', 'cleared': '-'}",SN-000079-location-marker-gap-reconciliation.md | SN-000128-location-route-validation.md,all_found,,Y,0,1,appendix_row_covered_by_mapped_objective,appendix_location_promoted_to_guide,complete,"Saints, Seducers, and Atronach Forge Tomes",none,
CHK-MERCHANTS-1421,Merchants,Madena,merchant_reference,,,TB-031B/TB-036 merchant appendix,Dawnstar,Region: Dawnstar | Store: The White Hall | Merchandise: Spells | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1422,Merchants,Thoring,merchant_reference,,,TB-031B/TB-036 merchant appendix,Dawnstar,Partner: (Karita) | Region: Dawnstar | Store: Windpeak Inn | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1423,Merchants,Hadring,merchant_reference,,,TB-031B/TB-036 merchant appendix,Dawnstar - Nightgate Inn,Region: Dawnstar - Nightgate Inn | Store: Nightgate Inn | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1424,Merchants,Valga Vinicia,merchant_reference,,,TB-031B/TB-036 merchant appendix,Falkreath,Region: Falkreath | Store: Dead Man's Drink | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1425,Merchants,Zaria,merchant_reference,,,TB-031B/TB-036 merchant appendix,Falkreath,Region: Falkreath | Store: Grave Concoctions | Merchandise: Apothecary | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1427,Merchants,Lod,merchant_reference,,,TB-031B/TB-036 merchant appendix,Falkreath,Region: Falkreath | Store: Lod's House | Merchandise: Blacksmith | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1428,Merchants,Babette,merchant_reference,,,TB-031B/TB-036 merchant appendix,Falkreath,Region: Falkreath | Store: The Dark Brotherhood Sanctuary | Merchandise: Apothecary (also buys Tools) | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,audited_not_routed_here,appendix_or_training_later,Cicero Aventus And The Sanctuary Door,none,
CHK-MERCHANTS-1430,Merchants,Ghorza gra-Bagol*,merchant_reference,,,TB-031B/TB-036 merchant appendix,Markarth,Partner: (Tacitus Sallustius) | Region: Markarth | Store: At the forge near The Hag's Cure or in Understone Keep | Merchandise: Blacksmith | Investable: No* | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1431,Merchants,Endon,merchant_reference,,,TB-031B/TB-036 merchant appendix,Markarth,Region: Markarth | Store: Endon's House | Merchandise: Fence | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,service_unlocked,service_available,Guild Restoration And Amulet Of Articulation,none,
CHK-MERCHANTS-1432,Merchants,Anton Virane,merchant_reference,,,TB-031B/TB-036 merchant appendix,Markarth,Region: Markarth | Store: In Understone Keep | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1435,Merchants,Hogni Red-Arm,merchant_reference,,,TB-031B/TB-036 merchant appendix,Markarth,Region: Markarth | Store: Marketplace Stall | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1436,Merchants,Kerah,merchant_reference,,,TB-031B/TB-036 merchant appendix,Markarth,Region: Markarth | Store: Marketplace Stall | Merchandise: Jeweler | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1437,Merchants,Kleppr,merchant_reference,,,TB-031B/TB-036 merchant appendix,Markarth,Partner: (Frabbi) | Region: Markarth | Store: Silver-Blood Inn | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1439,Merchants,Gharol,merchant_reference,,,TB-031B/TB-036 merchant appendix,Markarth - Dushnikh Yal,Region: Markarth - Dushnikh Yal | Store: at Burguk's Longhouse | Merchandise: Blacksmith | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1440,Merchants,Murbul,merchant_reference,,,TB-031B/TB-036 merchant appendix,Markarth - Dushnikh Yal,Region: Markarth - Dushnikh Yal | Store: at Burguk's Longhouse | Merchandise: Apothecary | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1441,Merchants,Sharamph,merchant_reference,,,TB-031B/TB-036 merchant appendix,Markarth - Mor Khazgur,Region: Markarth - Mor Khazgur | Store: at Larak's Longhouse | Merchandise: Apothecary | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1442,Merchants,Shuftharz,merchant_reference,,,TB-031B/TB-036 merchant appendix,Markarth - Mor Khazgur,Region: Markarth - Mor Khazgur | Store: at Larak's Longhouse | Merchandise: Blacksmith | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,service_used,support_reference_handled,Fort Dawnguard Recruits Prophet And Lost Relics,none,
CHK-MERCHANTS-1443,Merchants,Eydis,merchant_reference,,,TB-031B/TB-036 merchant appendix,Markarth - Old Hroldan Inn,Partner: (Leontius Salvius) | Region: Markarth - Old Hroldan Inn | Store: Old Hroldan Inn | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1444,Merchants,Falion,merchant_reference,,,TB-031B/TB-036 merchant appendix,Morthal,Region: Morthal | Store: Falion's House | Merchandise: Spells; sells 1 Black Soul Gem | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1445,Merchants,Jonna,merchant_reference,,,TB-031B/TB-036 merchant appendix,Morthal,Region: Morthal | Store: Moorside Inn | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1447,Merchants,Imperial Quartermaster,merchant_reference,,,TB-031B/TB-036 merchant appendix,Most Imperial camps,Region: Most Imperial camps | Merchandise: Blacksmith | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1448,Merchants,Stormcloak Quartermaster,merchant_reference,,,TB-031B/TB-036 merchant appendix,Most Stormcloak camps,Region: Most Stormcloak camps | Merchandise: Blacksmith | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1449,Merchants,Hunter,merchant_reference,,,TB-031B/TB-036 merchant appendix,Randomly anywhere in the wilderness,"Region: Randomly anywhere in the wilderness | Merchandise: Meat, Hides | Investable: No | Master Trader: No",,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1450,Merchants,Skooma Dealer,merchant_reference,,,TB-031B/TB-036 merchant appendix,Randomly anywhere in the wilderness,"Region: Randomly anywhere in the wilderness | Merchandise: Moon Sugar, Skooma, Sleeping Tree Sap | Investable: No | Master Trader: No",,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1451,Merchants,Peddler,merchant_reference,,,TB-031B/TB-036 merchant appendix,Randomly anywhere in the wilderness (being attacked by bandits or Forsworn),Region: Randomly anywhere in the wilderness (being attacked by bandits or Forsworn) | Merchandise: General Goods | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1452,Merchants,Ungrien,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften,Region: Riften | Store: Black-Briar Meadery | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1455,Merchants,Brand-Shei,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften,Region: Riften | Store: Marketplace Stall | Merchandise: General | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1456,Merchants,Grelka,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften,Region: Riften | Store: Marketplace Stall | Merchandise: General | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1457,Merchants,Madesi,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften,Region: Riften | Store: Marketplace Stall | Merchandise: Jeweler | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1458,Merchants,Marise Aravel,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften,Region: Riften | Store: Marketplace Stall | Merchandise: General | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1460,Merchants,Keerava,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften,Partner: Talen-Jei | Region: Riften | Store: The Bee and Barb | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1461,Merchants,Arnskar Ember-Master,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften,Region: Riften | Store: The Ragged Flagon | Merchandise: Blacksmith | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,service_unlocked,service_available,Guild Restoration And Amulet Of Articulation,none,
CHK-MERCHANTS-1462,Merchants,Herluin Lothaire,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften,Region: Riften | Store: The Ragged Flagon | Merchandise: Apothecary | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,service_unlocked,service_available,Guild Restoration And Amulet Of Articulation,none,
CHK-MERCHANTS-1463,Merchants,Syndus,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften,Region: Riften | Store: The Ragged Flagon | Merchandise: Blacksmith | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,service_unlocked,service_available,Guild Restoration And Amulet Of Articulation,none,
CHK-MERCHANTS-1464,Merchants,Tonilia,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften,Region: Riften | Store: The Ragged Flagon | Merchandise: Fence | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1465,Merchants,Vanryth Gatharian,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften,Region: Riften | Store: The Ragged Flagon | Merchandise: Blacksmith | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,service_unlocked,service_available,Guild Restoration And Amulet Of Articulation,none,
CHK-MERCHANTS-1466,Merchants,Vekel the Man,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften,Partner: (Dirge) | Region: Riften | Store: The Ragged Flagon | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1469,Merchants,Gunmar,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften - Fort Dawnguard,Region: Riften - Fort Dawnguard | Merchandise: Blacksmith | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1470,Merchants,Sorine Jurard,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften - Fort Dawnguard,Region: Riften - Fort Dawnguard | Merchandise: General | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1471,Merchants,Wilhelm,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften - Ivarstead,Region: Riften - Ivarstead | Store: Vilemyr Inn | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1472,Merchants,Filnjar,merchant_reference,,,TB-031B/TB-036 merchant appendix,Riften - Shor's Stone,Region: Riften - Shor's Stone | Store: Filnjar's House | Merchandise: Blacksmith | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1473,Merchants,Angeline Morrard*,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solitude,Partner: (Vivienne Onis) | Region: Solitude | Store: Angeline's Aromatics | Merchandise: Apothecary | Investable: No* | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1476,Merchants,Fihada*,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solitude,"Partner: (Jawanan) | Region: Solitude | Store: Fletcher | Merchandise: Armor, Arrows, Tools, Weapons | Investable: No* | Master Trader: Yes",,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1477,Merchants,Addvar,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solitude,Partner: (Greta) | Region: Solitude | Store: Marketplace Stall | Merchandise: Innkeeper | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1478,Merchants,Evette San,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solitude,Region: Solitude | Store: Marketplace Stall | Merchandise: Innkeeper | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1479,Merchants,Jala,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solitude,Region: Solitude | Store: Marketplace Stall | Merchandise: Innkeeper | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1482,Merchants,Corpulus Vinius,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solitude,Region: Solitude | Store: The Winking Skeever | Merchandise: Innkeeper | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1483,Merchants,Gulum-Ei,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solitude,Region: Solitude | Store: The Winking Skeever | Merchandise: Fence | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,service_preserved,service_available,Goldenglow Honningbrew Solitude And Snow Veil,none,
CHK-MERCHANTS-1484,Merchants,Faida,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solitude - Dragon Bridge,Region: Solitude - Dragon Bridge | Store: Four Shields Tavern | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1485,Merchants,Feran Sadri,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solitude - Volkihar Keep,Region: Solitude - Volkihar Keep | Merchandise: Apothecary | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1486,Merchants,Hestla,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solitude - Volkihar Keep,Region: Solitude - Volkihar Keep | Merchandise: Blacksmith | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1487,Merchants,Ronthil,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solitude - Volkihar Keep,Region: Solitude - Volkihar Keep | Merchandise: General | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1488,Merchants,Halbarn Iron-Fur,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solstheim - Bujold's Retreat,Region: Solstheim - Bujold's Retreat | Store: Bujold's Retreat / Thirsk Mead Hall | Merchandise: Blacksmith | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,placed_in_guide,complete,"Vahlok's Tomb, Riekling Roads, And Thirsk",none,
CHK-MERCHANTS-1489,Merchants,Falas Selvayn,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solstheim - Ramshackle Trading Post,Region: Solstheim - Ramshackle Trading Post | Store: Ramshackle Trading Post | Merchandise: General | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1490,Merchants,Fethis Alor,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solstheim - Raven Rock,Region: Solstheim - Raven Rock | Store: Alor House | Merchandise: General | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1492,Merchants,Garyn Ienth,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solstheim - Raven Rock,Region: Solstheim - Raven Rock | Store: Ienth Farm | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1493,Merchants,Milore Ienth,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solstheim - Raven Rock,Region: Solstheim - Raven Rock | Store: Ienth Farm | Merchandise: Apothecary | Investable: No | Master Trader: Yes,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
CHK-MERCHANTS-1494,Merchants,Geldis Sadri,merchant_reference,,,TB-031B/TB-036 merchant appendix,Solstheim - Raven Rock,Region: Solstheim - Raven Rock | Store: The Retching Netch | Merchandise: Innkeeper | Investable: No | Master Trader: No,,no_refs,,Y,1,0,appendix_row_covered,appendix_reference_promoted_to_guide,guide_reference_represented,Final Reconciliation route and merchant reference surfaces,none,
