checklist_id,checklist_tab,checklist_entry,category,mapping_type,coverage_matrix_status,objective_id,matched_objective_name,guide_literal_checklist_id_match,guide_mapped_objective_id_match,guide_entry_match,internal_checklist_coverage_row_count,internal_objective_coverage_row_count,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
CHK-QUESTS-0011,Quests,The Throat of the World,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000011,The Throat of the World,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,Blades Research Blackreach And The Fallen,none,
CHK-QUESTS-0012,Quests,Elder Knowledge,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000012,Elder Knowledge,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,Blades Research Blackreach And The Fallen,none,
CHK-QUESTS-0013,Quests,Alduin's Bane,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000013,Alduin's Bane,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,Blades Research Blackreach And The Fallen,none,
CHK-QUESTS-0014,Quests,The Fallen,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000014,The Fallen,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,Blades Research Blackreach And The Fallen,none,
CHK-QUESTS-0015,Quests,Paarthurnax (optional),quest,Branch-route prototype,mapped_to_branch_prototype,OBJ-000019,Paarthurnax,N,N,N,1,1,covered_by_internal_checklist_coverage,placed_in_branch_guide,branch_complete_reloaded,Paarthurnax And Blades Branch,none,
CHK-QUESTS-0016,Quests,Season Unending (optional),quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000018,Season Unending,N,N,N,1,1,covered_by_internal_checklist_coverage,conditional_not_routed,not_applicable_no_treaty_route,Blades Research Blackreach And The Fallen,none,
CHK-QUESTS-0017,Quests,The World-Eater's Eyrie,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000015,The World-Eater's Eyrie,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,World-Eater's Eyrie and Dragonslayer,none,
CHK-QUESTS-0018,Quests,Sovngarde,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000016,Sovngarde,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,World-Eater's Eyrie and Dragonslayer,none,
CHK-QUESTS-0019,Quests,Dragonslayer,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000017,Dragonslayer,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,World-Eater's Eyrie and Dragonslayer,none,
CHK-QUESTS-0020,Quests,College Objective Quest,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000027,College Objective Quest,N,N,N,1,1,covered_by_internal_checklist_coverage,placed_in_guide,conditional_complete,"Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0021,Quests,Enchanting Pick-Up,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000122,Enchanting Pick-Up,N,N,N,2,2,covered_by_internal_checklist_coverage,audited_not_started_here | placed_in_guide,complete | staged_for_college_radiant_control_pass,"College Errands Arniel Septimus And Aetherium | Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0022,Quests,First Lessons,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000028,First Lessons,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0023,Quests,Restocking Soul Gems,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000123,Restocking Soul Gems,N,N,Y,2,2,covered_by_internal_checklist_coverage,audited_not_started_here | placed_in_guide,complete | staged_for_empty_soul_gem_material_plan,"College Errands Arniel Septimus And Aetherium | Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0024,Quests,Under Saarthal,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000029,Under Saarthal,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0025,Quests,Tolfdir The Absent-Minded,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000126,Tolfdir the Absent-Minded,N,N,Y,2,2,covered_by_internal_checklist_coverage,audited_not_started_here | placed_in_guide,complete | staged_until_tolfdir_returns_from_saarthal,"Fellglow Keep And Good Intentions | Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0026,Quests,Hitting the Books,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000030,Hitting the Books,N,N,Y,2,2,covered_by_internal_checklist_coverage,placed_in_guide | started_not_completed,complete | in_progress,"Fellglow Keep And Good Intentions | Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0027,Quests,Aftershock,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000124,Aftershock,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,College Errands Arniel Septimus And Aetherium,none,
CHK-QUESTS-0028,Quests,Good Intentions,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000031,Good Intentions,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,Fellglow Keep And Good Intentions,none,
CHK-QUESTS-0029,Quests,Fetch me that Book!,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000127,Fetch me that Book!,Y,Y,Y,4,4,covered_by_internal_checklist_coverage,audited_not_started_here | completed_in_guide | tb044_urag_repeatable_closed,complete | staged_for_college_radiant_control_pass | staged_for_late_random_radiant_control,"College Errands Arniel Septimus And Aetherium | Urag's Late College Repeatables | Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0030,Quests,Revealing the Unseen,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000032,Revealing the Unseen,N,N,Y,2,3,covered_by_internal_checklist_coverage,placed_in_guide | started_not_completed,complete | in_progress,Fellglow Keep And Good Intentions | Mzulft And The Winterhold Crisis,none,
CHK-QUESTS-0031,Quests,Shalidor's Insights,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000128,Shalidor's Insights,Y,Y,Y,4,5,covered_by_internal_checklist_coverage,audited_not_started_here | completed_in_guide | tb044_urag_repeatable_closed,complete | staged_for_college_radiant_control_pass | staged_for_late_random_radiant_control,"College Errands Arniel Septimus And Aetherium | Urag's Late College Repeatables | Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0032,Quests,Containment,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000033,Containment,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,Mzulft And The Winterhold Crisis,none,
CHK-QUESTS-0033,Quests,The Staff of Magnus,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000034,The Staff of Magnus,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,Labyrinthian And The Eye Of Magnus,none,
CHK-QUESTS-0034,Quests,Alteration Ritual Spell,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000129,Alteration Ritual Spell,N,N,Y,1,4,covered_by_internal_checklist_coverage,audited_not_started_here,staged_for_skill_90_plus,College Errands Arniel Septimus And Aetherium,none,
CHK-QUESTS-0035,Quests,The Eye of Magnus,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000035,The Eye of Magnus,N,N,Y,1,2,covered_by_internal_checklist_coverage,placed_in_guide,complete,Labyrinthian And The Eye Of Magnus,none,
CHK-QUESTS-0036,Quests,Conjuration Ritual Spell,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000130,Conjuration Ritual Spell,N,N,Y,1,3,covered_by_internal_checklist_coverage,audited_not_started_here,staged_for_skill_90_plus,College Errands Arniel Septimus And Aetherium,none,
CHK-QUESTS-0037,Quests,Destruction Ritual Spell,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000131,Destruction Ritual Spell,N,N,Y,1,3,covered_by_internal_checklist_coverage,audited_not_started_here,staged_for_skill_100_plus,College Errands Arniel Septimus And Aetherium,none,
CHK-QUESTS-0038,Quests,Arniel's Endeavor,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000117,Arniel's Endeavor,N,N,Y,4,5,covered_by_internal_checklist_coverage,not_completed_here | part_one_completed_not_full_quest | placed_in_guide | started_not_completed,complete | in_progress | staged_for_college_arniel_bundle,Arkngthamz And The First Aetherium Shards | College Errands Arniel Septimus And Aetherium | Fellglow Keep And Good Intentions | Mzulft And The Winterhold Crisis,none,
CHK-QUESTS-0039,Quests,Illusion Ritual Spell,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000132,Illusion Ritual Spell,N,N,Y,1,3,covered_by_internal_checklist_coverage,audited_not_started_here,staged_for_skill_100_plus,College Errands Arniel Septimus And Aetherium,none,
CHK-QUESTS-0040,Quests,Brelyna's Practice,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000118,Brelyna's Practice,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0041,Quests,Restoration Ritual Spell,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000133,Restoration Ritual Spell,N,N,Y,1,3,covered_by_internal_checklist_coverage,audited_not_started_here,staged_for_skill_90_plus,College Errands Arniel Septimus And Aetherium,none,
CHK-QUESTS-0042,Quests,J'zargo's Experiment,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000119,J'zargo's Experiment,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0043,Quests,Onmund's Request,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000120,Onmund's Request,N,N,Y,4,6,covered_by_internal_checklist_coverage,audited_not_started_here | placed_in_guide,complete | staged_for_controlled_nonrandom_or_high_speech_resolution | staged_for_nonrandom_or_high_speech_resolution | staged_for_post_under_new_management,"College Errands Arniel Septimus And Aetherium | Fellglow Keep And Good Intentions | Whiterun Property Western Caves Gray-Mane Rescue And Onmund | Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0044,Quests,Out of Balance,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000121,Out of Balance,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal",none,
CHK-QUESTS-0045,Quests,Rejoining the College,quest,Explicit exclusion,excluded_with_justification,OBJ-000125,Rejoining the College,N,N,N,0,1,covered_by_mapped_objective_internal_coverage,explicit_exclusion_reaffirmed,excluded,Internal exclusion coverage,none,
CHK-QUESTS-0046,Quests,Tending the Flames,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000183,Tending the Flames,N,N,Y,3,3,covered_by_internal_checklist_coverage,not_started_here | placed_in_guide,complete | staged_for_bards_college_bundle,Bards College Lost Library And Instrument Roads | Goldenglow Honningbrew Solitude And Snow Veil | Main Quest Staging Before Sky Haven,none,
CHK-QUESTS-0047,Quests,Take Up Arms,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000020,Take Up Arms,N,N,Y,0,2,covered_by_mapped_objective_internal_coverage,completed_now | held_for_companions_entry_block,complete | staged_for_mr009_completion,Companions Entry | First Day In Whiterun,none,
CHK-QUESTS-0048,Quests,Investigate the Bards College,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000182,Investigate the Bards College,N,N,Y,2,3,covered_by_internal_checklist_coverage,not_started_here | placed_in_guide,complete | staged_for_bards_college_bundle,Bards College Lost Library And Instrument Roads | Main Quest Staging Before Sky Haven,none,
CHK-QUESTS-0049,Quests,Finn's Lute,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000184,Finn's Lute,N,N,Y,1,3,covered_by_internal_checklist_coverage,placed_in_guide,complete,Bards College Lost Library And Instrument Roads,none,
CHK-QUESTS-0050,Quests,Pantea's Flute,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000185,Pantea's Flute,N,N,Y,1,2,covered_by_internal_checklist_coverage,placed_in_guide,complete,Bards College Lost Library And Instrument Roads,none,
CHK-QUESTS-0051,Quests,The Silver Hand,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000022,The Silver Hand,N,N,Y,1,1,covered_by_internal_checklist_coverage,completed_now,complete,Beast Blood And The Silver Hand,none,
CHK-QUESTS-0052,Quests,Rjorn's Drum,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000186,Rjorn's Drum,N,N,Y,1,2,covered_by_internal_checklist_coverage,placed_in_guide,complete,Bards College Lost Library And Instrument Roads,none,
CHK-QUESTS-0053,Quests,Blood's Honor,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000023,Blood's Honor,Y,Y,Y,2,3,covered_by_internal_checklist_coverage,completed_at_level_14_or_staged | tb038r_delayed_task_closed,complete_or_accounted_for | conditional_complete_or_staged,Falkreath Land Lakeview Foundation And Glenmoril Coven | TB-038R order and delayed-task repair register,none,
CHK-QUESTS-0054,Quests,Purity of Revenge,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000024,Purity of Revenge,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0055,Quests,Rebuilding the Blades,quest,Branch-route prototype,mapped_to_branch_prototype,OBJ-002785,Rebuilding the Blades,N,N,Y,3,4,covered_by_internal_checklist_coverage,not_duplicated_here | not_started_here | placed_in_guide,complete | complete_in_mr043 | staged_for_paarthurnax_blades_branch,Blades Research Blackreach And The Fallen | Main Quest Staging Before Sky Haven | Paarthurnax And Blades Branch,none,
CHK-QUESTS-0056,Quests,Glory of the Dead,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000025,Glory of the Dead,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0057,Quests,Dragon Hunting,quest,Branch-route prototype,mapped_to_branch_prototype,OBJ-002786,Dragon Hunting,N,N,Y,2,3,covered_by_internal_checklist_coverage,not_duplicated_here | placed_in_guide,complete | complete_in_mr043,Blades Research Blackreach And The Fallen | Paarthurnax And Blades Branch,none,
CHK-QUESTS-0058,Quests,Dragon Research,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000805,Dragon Infusion Ability,N,N,Y,4,4,covered_by_internal_checklist_coverage,audited_not_started_here | not_duplicated_here | not_started_here | placed_in_guide,complete | complete_in_mr043 | staged_for_blades_branch_or_later_sky_haven_policy | staged_for_pre_elder_scroll_blades_policy,Blades Research Blackreach And The Fallen | Karthspire Sky Haven And Dragonbane | Main Quest Staging Before Sky Haven | Paarthurnax And Blades Branch,none,
CHK-QUESTS-0059,Quests,Animal Extermination,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000102,Animal Extermination (A),N,N,Y,1,3,covered_by_internal_checklist_coverage,representative_closeout_routed,complete_or_already_counted,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0060,Quests,Animal Extermination,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000102,Animal Extermination (A),N,N,Y,1,3,covered_by_internal_checklist_coverage,representative_closeout_routed,complete_or_already_counted,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0061,Quests,Striking the Heart,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000109,Striking the Heart,N,N,Y,2,2,covered_by_internal_checklist_coverage,completed_if_assigned | window_boundary_accounted,complete_or_one_save_limited | conditional_complete_or_not_offered,"Beast Blood And The Silver Hand | Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0062,Quests,Stealing Plans,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000110,Stealing Plans,N,N,Y,2,2,covered_by_internal_checklist_coverage,completed_if_assigned | window_boundary_accounted,complete_or_one_save_limited | conditional_complete_or_one_save_limited,"Beast Blood And The Silver Hand | Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0063,Quests,Retrieval,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000111,Retrieval,N,N,Y,2,2,covered_by_internal_checklist_coverage,completed_if_assigned | window_boundary_accounted,complete_or_one_save_limited | conditional_complete_or_one_save_limited,"Beast Blood And The Silver Hand | Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0064,Quests,Totems of Hircine,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000112,Totems of Hircine,N,N,Y,1,2,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0065,Quests,Hired Muscle,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000104,Hired Muscle,N,N,Y,1,3,covered_by_internal_checklist_coverage,seed_caveat_accounted,complete_or_seed_unavailable,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0066,Quests,Trouble in Skyrim,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000105,Trouble in Skyrim,N,N,Y,1,3,covered_by_internal_checklist_coverage,representative_closeout_routed,complete_or_already_counted,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0067,Quests,Family Heirloom,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000106,Family Heirloom,N,N,Y,1,3,covered_by_internal_checklist_coverage,representative_closeout_routed,complete_or_already_counted,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0068,Quests,Escaped Criminal,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000107,Escaped Criminal,N,N,Y,1,3,covered_by_internal_checklist_coverage,representative_closeout_routed,complete_or_already_counted,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0069,Quests,Rescue Mission,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000108,Rescue Mission,N,N,Y,1,3,covered_by_internal_checklist_coverage,representative_closeout_routed,complete_or_already_counted,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0070,Quests,Purity,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000113,Purity (Companions),N,N,Y,1,2,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Companions Finale, Totems, And Beast-Blood Preservation",none,
CHK-QUESTS-0071,Quests,Dragon Seekers,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000114,Dragon Seekers,N,N,Y,3,4,covered_by_internal_checklist_coverage,already_represented_reused_repeatable | placed_in_guide | representative_closeout_routed,complete | no_new_checklist_requirement,"Companions Finale, Totems, And Beast-Blood Preservation | Companions Finale, Totems, and Beast-Blood Preservation | Level 78 and Level 80 Gates",none,
CHK-QUESTS-0072,Quests,Delayed Burial (optional),quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000053,Delayed Burial,N,N,N,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,Cicero Aventus And The Sanctuary Door,none,
CHK-QUESTS-0073,Quests,Kill Narfi,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000149,Kill Narfi,N,N,Y,2,3,covered_by_internal_checklist_coverage,placed_in_guide | started_for_next_section,active_not_complete | complete,Cicero Aventus And The Sanctuary Door | First Brotherhood Contracts And Muiri's Revenge,none,
CHK-QUESTS-0074,Quests,Innocence Lost,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000054,Innocence Lost,N,N,Y,2,2,covered_by_internal_checklist_coverage,not_started_here | placed_in_guide,complete | staged_for_dark_brotherhood_route,Cicero Aventus And The Sanctuary Door | Windhelm Murder Investigation And White Phial,none,
CHK-QUESTS-0075,Quests,Kill Beitild,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000150,Kill Beitild,N,N,Y,2,2,covered_by_internal_checklist_coverage,placed_in_guide | started_for_next_section,active_not_complete | complete,Cicero Aventus And The Sanctuary Door | First Brotherhood Contracts And Muiri's Revenge,none,
CHK-QUESTS-0076,Quests,With Friends Like These...,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000055,With Friends Like These...,N,N,Y,1,2,covered_by_internal_checklist_coverage,placed_in_guide,complete,Cicero Aventus And The Sanctuary Door,none,
CHK-QUESTS-0077,Quests,Kill Ennodius Papius,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000151,Kill Ennodius Papius,N,N,Y,2,2,covered_by_internal_checklist_coverage,placed_in_guide | started_for_next_section,active_not_complete | complete,Cicero Aventus And The Sanctuary Door | First Brotherhood Contracts And Muiri's Revenge,none,
CHK-QUESTS-0078,Quests,Sanctuary,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000056,Sanctuary,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,Cicero Aventus And The Sanctuary Door,none,
CHK-QUESTS-0079,Quests,Kill Hern,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000152,Kill Hern,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Whispers, Solitude Jobs, And The Wedding Assassination",none,
CHK-QUESTS-0080,Quests,Mourning Never Comes,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000057,Mourning Never Comes,N,N,Y,2,2,covered_by_internal_checklist_coverage,not_completed_here | placed_in_guide,complete | staged_for_dark_brotherhood_route,Arkngthamz And The First Aetherium Shards | First Brotherhood Contracts And Muiri's Revenge,none,
CHK-QUESTS-0081,Quests,Kill Lurbuk,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000153,Kill Lurbuk,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Whispers, Solitude Jobs, And The Wedding Assassination",none,
CHK-QUESTS-0082,Quests,Whispers in the Dark,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000058,Whispers in the Dark,N,N,Y,1,2,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Whispers, Solitude Jobs, And The Wedding Assassination",none,
CHK-QUESTS-0083,Quests,Kill Deekus,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000154,Kill Deekus,N,N,Y,1,1,covered_by_internal_checklist_coverage,retrospectively_moved_earlier,complete,"Whispers, Solitude Jobs, Nazir Contracts, and the Wedding Assassination",none,
CHK-QUESTS-0084,Quests,The Silence Has Been Broken,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000059,The Silence Has Been Broken,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Whispers, Solitude Jobs, And The Wedding Assassination",none,
CHK-QUESTS-0085,Quests,Kill Ma'randru-jo,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000155,Kill Ma'randru-jo,N,N,Y,1,1,covered_by_internal_checklist_coverage,retrospectively_moved_earlier,complete,"Whispers, Solitude Jobs, Nazir Contracts, and the Wedding Assassination",none,
CHK-QUESTS-0086,Quests,Bound Until Death,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000060,Bound Until Death,N,N,Y,1,2,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Whispers, Solitude Jobs, And The Wedding Assassination",none,
CHK-QUESTS-0087,Quests,Kill Anoriath,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000156,Kill Anoriath,N,N,Y,1,1,covered_by_internal_checklist_coverage,retrospectively_moved_earlier,complete,"Whispers, Solitude Jobs, Nazir Contracts, and the Wedding Assassination",none,
CHK-QUESTS-0088,Quests,Breaching Security,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000061,Breaching Security,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame",none,
CHK-QUESTS-0089,Quests,Kill Agnis,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000157,Kill Agnis,N,N,Y,1,1,covered_by_internal_checklist_coverage,retrospectively_moved_earlier,complete,"Whispers, Solitude Jobs, Nazir Contracts, and the Wedding Assassination",none,
CHK-QUESTS-0090,Quests,The Cure for Madness,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000062,The Cure for Madness,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame",none,
CHK-QUESTS-0091,Quests,Kill Maluril,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000158,Kill Maluril,N,N,Y,1,1,covered_by_internal_checklist_coverage,retrospectively_moved_earlier,complete,"Whispers, Solitude Jobs, Nazir Contracts, and the Wedding Assassination",none,
CHK-QUESTS-0092,Quests,Recipe for Disaster,quest,Main-route prototype block,mapped_to_route_prototype,OBJ-000063,Recipe for Disaster,N,N,Y,1,1,covered_by_internal_checklist_coverage,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame",none,
