audit_source,record_id,checklist_id,objective_id,name,category,route_placement_or_mapping_type,branch_name,expected_hard_save_aliases,internal_checklist_coverage_row_count,internal_objective_coverage_row_count,guide_name_match,guide_branch_hard_save_match,guide_branch_reload_match,prototype_reference_match,prototype_reference_files,audit_status,coverage_statuses,completion_statuses,guide_locations,recommended_action,notes
branch_checklist,CHK-QUESTS-0474,CHK-QUESTS-0474,OBJ-000356,The Bloodstone Chalice,quest,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,2,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-QUESTS-0481,CHK-QUESTS-0481,OBJ-000374,Amulets of Night Power,quest,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-QUESTS-0483,CHK-QUESTS-0483,OBJ-000375,Ancient Power,quest,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-QUESTS-0485,CHK-QUESTS-0485,OBJ-000376,Culling the Beast,quest,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-QUESTS-0487,CHK-QUESTS-0487,OBJ-000377,Deceiving the Herd,quest,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-QUESTS-0489,CHK-QUESTS-0489,OBJ-000378,Destroying the Dawnguard,quest,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,2,2,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,placed_in_guide | staged_branch_continuation,branch_complete | staged_for_volkihar_finale_branch_continuation,Dawnguard Fork And Volkihar Branch | Volkihar Finale Branch Continuation,none,
branch_checklist,CHK-QUESTS-0491,CHK-QUESTS-0491,OBJ-000379,The Gift,quest,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-QUESTS-0492,CHK-QUESTS-0492,OBJ-000380,The Hunt,quest,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-QUESTS-0494,CHK-QUESTS-0494,OBJ-000381,New Allegiances,quest,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-QUESTS-0496,CHK-QUESTS-0496,OBJ-000382,Protecting the Bloodline,quest,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-QUESTS-0498,CHK-QUESTS-0498,OBJ-000383,Rings of Blood Magic,quest,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-QUESTS-0541,CHK-QUESTS-0541,OBJ-000454,The Chief of Thirsk Hall,quest,Branch-route prototype,BR-006 Thirsk Riekling,HS-DRAGONBORN-THIRSK-CHOICE,1,1,N,Y,Y,Y,README.md | solstheim-ae-branches-v0.md,branch_checklist_covered,branch_route,branch_experienced_then_reloaded,"Vahlok's Tomb, Riekling Roads, And Thirsk",none,
branch_checklist,CHK-QUESTS-0582,CHK-QUESTS-0582,OBJ-000574,The Pit,quest,Branch-route prototype,BR-008A Bittercup Power,HS-AE-BITTERCUP-ALTAR,1,1,Y,Y,Y,Y,README.md | solstheim-ae-branches-v0.md,branch_checklist_covered,branch_handled,branch_experienced,"Bittercup, The Pit, And Fortunate Son",none,
branch_checklist,CHK-UNIQUE-GEAR-1561,CHK-UNIQUE-GEAR-1561,OBJ-001612,Azura's Star,unique_item,Branch-route prototype,BR-009 Azura's Star,HS-DAEDRIC-BLACK-STAR,1,1,Y,N,N,Y,README.md | reward-and-trophy-branches-v0.md,branch_checklist_route_resolution_recorded,needs_route_resolution_inherited,NEEDS ROUTE RESOLUTION,Final Reconciliation open route-resolution items,none_existing_route_resolution,Existing internal coverage keeps the missing branch facts explicit instead of hiding them.
branch_checklist,CHK-UNIQUE-GEAR-1669,CHK-UNIQUE-GEAR-1669,OBJ-001581,Savior's Hide,unique_item,Branch-route prototype,BR-011 Savior's Hide,HS-DAEDRIC-HIRCINE-GROTTO,1,1,Y,Y,Y,Y,README.md | reward-and-trophy-branches-v0.md,branch_checklist_covered,branch_completed_then_reloaded,branch_experienced_reloaded,Hircine And Bloated Man's Grotto,none,
branch_checklist,CHK-UNIQUE-GEAR-1697,CHK-UNIQUE-GEAR-1697,OBJ-001555,The Rueful Axe,unique_item,Branch-route prototype,BR-010 Rueful Axe,HS-DAEDRIC-CLAVICUS,1,1,Y,Y,Y,Y,reward-and-trophy-branches-v0.md,branch_checklist_covered,branch_reward_represented,branch_experienced_reloaded,"Haafingar Caves, Volskygge, And Night Hunter",none,
branch_checklist,CHK-UNIQUE-GEAR-1724,CHK-UNIQUE-GEAR-1724,OBJ-001585,Aetherial Shield,unique_item,Branch-route prototype,BR-015 Aetherial Shield,HS-AETHERIUM-FORGE | HS-DG-AETHERIUM-FORGE,2,3,Y,Y,Y,Y,README.md | reward-and-trophy-branches-v0.md,branch_checklist_covered,branch_deferred | branch_placed_in_guide,branch_complete | staged_for_branch_reward,Arkngthamz And The First Aetherium Shards | College Errands Arniel Septimus And Aetherium,none,
branch_checklist,CHK-UNIQUE-GEAR-1725,CHK-UNIQUE-GEAR-1725,OBJ-001565,Aetherial Staff,unique_item,Branch-route prototype,BR-015 Aetherial Staff,HS-AETHERIUM-FORGE | HS-DG-AETHERIUM-FORGE,2,3,Y,Y,Y,Y,README.md | reward-and-trophy-branches-v0.md,branch_checklist_covered,branch_deferred | branch_placed_in_guide,branch_complete | staged_for_branch_reward,Arkngthamz And The First Aetherium Shards | College Errands Arniel Septimus And Aetherium,none,
branch_checklist,CHK-UNIQUE-GEAR-1727,CHK-UNIQUE-GEAR-1727,OBJ-001716,Amulet of Bats,unique_item,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-UNIQUE-GEAR-1728,CHK-UNIQUE-GEAR-1728,OBJ-001717,Amulet of The Gargoyle,unique_item,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-UNIQUE-GEAR-1741,CHK-UNIQUE-GEAR-1741,OBJ-001736,Ring of The Beast,unique_item,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-UNIQUE-GEAR-1742,CHK-UNIQUE-GEAR-1742,OBJ-001737,Ring of the Erudite,unique_item,Branch-route prototype,BR-002 Volkihar,HS-DG-BLOODLINE,1,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_checklist_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_checklist,CHK-BOOKS-2512,CHK-BOOKS-2512,OBJ-000619,Reclamation Priest's Journal (AE),book_document,Branch-route prototype,BR-007 Ghosts destroy-heretics,HS-AE-GHOSTS-PROPAGANDA | HS-AE-GHOSTS-TEMPLE,1,1,Y,Y,Y,Y,README.md | solstheim-ae-branches-v0.md,branch_checklist_covered,branch_handled,branch_experienced,Ghosts Of The Tribunal And Trueflame,none,
branch_objective,OBJ-000019,,OBJ-000019,Paarthurnax,quest,branch_route,BR-004 Paarthurnax / Blades,HS-MQ-PAARTHURNAX,0,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Paarthurnax And Blades Branch,none,
branch_objective,OBJ-000067,,OBJ-000067,Destroy the Dark Brotherhood!,quest,branch_route,BR-003 Destroy the Dark Brotherhood,HS-DB-ABANDONED-SHACK,0,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_objective_covered,branch_route_placed,branch_complete_then_reloaded,Cicero Aventus And The Sanctuary Door,none,
branch_objective,OBJ-000087,,OBJ-000087,Joining the Stormcloaks,quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_objective_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_objective,OBJ-000088,,OBJ-000088,The Jagged Crown (Stormcloaks),quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_objective,OBJ-000089,,OBJ-000089,Message to Whiterun (Stormcloaks),quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_objective,OBJ-000090,,OBJ-000090,Battle for Whiterun (Stormcloaks),quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_objective,OBJ-000091,,OBJ-000091,Liberation of Skyrim,quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_objective,OBJ-000092,,OBJ-000092,Rescue from Fort Neugrad,quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_objective,OBJ-000093,,OBJ-000093,Compelling Tribute (Stormcloaks),quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_objective,OBJ-000094,,OBJ-000094,The Battle for Fort Sungard (Stormcloaks),quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_objective,OBJ-000095,,OBJ-000095,A False Front (Stormcloaks),quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_objective,OBJ-000096,,OBJ-000096,The Battle for Fort Snowhawk (Stormcloaks),quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_objective,OBJ-000097,,OBJ-000097,The Battle for Fort Dunstad (Stormcloaks),quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_conditionally_not_applicable,conditional_not_routed,not_applicable_no_treaty_branch,Civil War Stormcloak Branch,none,Conditional Stormcloak treaty-only branch row is represented as not applicable for the no-treaty route.
branch_objective,OBJ-000098,,OBJ-000098,The Battle for Fort Kastav,quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_conditionally_not_applicable,conditional_not_routed,not_applicable_no_treaty_branch,Civil War Stormcloak Branch,none,Conditional Stormcloak treaty-only branch row is represented as not applicable for the no-treaty route.
branch_objective,OBJ-000099,,OBJ-000099,The Battle for Fort Greenwall (Stormcloaks),quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_conditionally_not_applicable,conditional_not_routed,not_applicable_no_treaty_branch,Civil War Stormcloak Branch,none,Conditional Stormcloak treaty-only branch row is represented as not applicable for the no-treaty route.
branch_objective,OBJ-000100,,OBJ-000100,The Battle for Fort Hraggstad,quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_objective,OBJ-000101,,OBJ-000101,Battle for Solitude,quest,branch_route,BR-001 Stormcloak Civil War,HS-CW-BEFORE-FACTION-OATH,0,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_objective_covered,branch_experienced,branch_complete,Civil War Stormcloak Branch,none,
branch_objective,OBJ-000356,,OBJ-000356,The Bloodstone Chalice,quest,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,2,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide | replayed_branch_prereq,branch_complete_reloaded | branch_replayed,Dawnguard Fork And Volkihar Branch | Volkihar Finale Branch Continuation,none,
branch_objective,OBJ-000357,,OBJ-000357,Prophet (Vampire),quest,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,2,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide | replayed_branch_prereq,branch_complete_reloaded | branch_replayed,Dawnguard Fork And Volkihar Branch | Volkihar Finale Branch Continuation,none,
branch_objective,OBJ-000374,,OBJ-000374,Amulets of Night Power,radiant,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-000375,,OBJ-000375,Ancient Power,radiant,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-000376,,OBJ-000376,Culling the Beast,radiant,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-000377,,OBJ-000377,Deceiving the Herd,radiant,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-000378,,OBJ-000378,Destroying the Dawnguard,radiant,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,2,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,placed_in_guide | staged_branch_continuation,branch_complete | staged_for_volkihar_finale_branch_continuation,Dawnguard Fork And Volkihar Branch | Volkihar Finale Branch Continuation,none,
branch_objective,OBJ-000379,,OBJ-000379,The Gift,quest,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-000380,,OBJ-000380,The Hunt,radiant,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-000381,,OBJ-000381,New Allegiances,radiant,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-000382,,OBJ-000382,Protecting the Bloodline,radiant,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-000383,,OBJ-000383,Rings of Blood Magic,radiant,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,README.md | major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-000454,,OBJ-000454,The Chief of Thirsk Hall,quest,branch_route,BR-006 Thirsk Riekling,HS-DRAGONBORN-THIRSK-CHOICE,0,1,N,Y,Y,Y,README.md | solstheim-ae-branches-v0.md,branch_objective_covered,branch_route,branch_experienced_then_reloaded,"Vahlok's Tomb, Riekling Roads, And Thirsk",none,
branch_objective,OBJ-000574,,OBJ-000574,The Pit,quest,branch_route,BR-008A Bittercup Power,HS-AE-BITTERCUP-ALTAR,0,1,Y,Y,Y,Y,README.md | solstheim-ae-branches-v0.md,branch_objective_covered,branch_handled,branch_experienced,"Bittercup, The Pit, And Fortunate Son",none,
branch_objective,OBJ-001555,,OBJ-001555,Artifact: The Rueful Axe,unique_item,branch_route,BR-010 Rueful Axe,HS-DAEDRIC-CLAVICUS,0,1,Y,Y,Y,Y,reward-and-trophy-branches-v0.md,branch_objective_covered,branch_reward_represented,branch_experienced_reloaded,Retrospective redistributed regional sections; no player-facing Location Counter Sweep dump,none,
branch_objective,OBJ-001565,,OBJ-001565,Artifact: Aetherial Staff,unique_item,branch_route,BR-015 Aetherial Staff,HS-AETHERIUM-FORGE | HS-DG-AETHERIUM-FORGE,0,3,Y,Y,Y,Y,README.md | reward-and-trophy-branches-v0.md,branch_objective_covered,branch_deferred | branch_placed_in_guide | branch_reward_held,branch_complete | staged_for_branch_reward | staged_for_hs_dg_aetherium_forge_branch,Arkngthamz And The First Aetherium Shards | College Errands Arniel Septimus And Aetherium | Mzulft And The Winterhold Crisis,none,
branch_objective,OBJ-001581,,OBJ-001581,Artifact: Savior's Hide,unique_item,branch_route,BR-011 Savior's Hide,HS-DAEDRIC-HIRCINE-GROTTO,0,1,Y,Y,Y,Y,README.md | reward-and-trophy-branches-v0.md,branch_objective_covered,branch_completed_then_reloaded,branch_experienced_reloaded,Hircine And Bloated Man's Grotto,none,
branch_objective,OBJ-001585,,OBJ-001585,Artifact: Aetherial Shield,unique_item,branch_route,BR-015 Aetherial Shield,HS-AETHERIUM-FORGE | HS-DG-AETHERIUM-FORGE,0,3,Y,Y,Y,Y,README.md | reward-and-trophy-branches-v0.md,branch_objective_covered,branch_deferred | branch_placed_in_guide | branch_reward_held,branch_complete | staged_for_branch_reward | staged_for_hs_dg_aetherium_forge_branch,Arkngthamz And The First Aetherium Shards | College Errands Arniel Septimus And Aetherium | Mzulft And The Winterhold Crisis,none,
branch_objective,OBJ-001612,,OBJ-001612,Artifact: Azura's Star,unique_item,branch_route,BR-009 Azura's Star,HS-DAEDRIC-BLACK-STAR,0,1,Y,N,N,Y,README.md | reward-and-trophy-branches-v0.md,branch_objective_route_resolution_recorded,needs_route_resolution_added,NEEDS ROUTE RESOLUTION,Final Reconciliation open route-resolution items,none_existing_route_resolution,Existing internal coverage keeps the missing branch facts explicit instead of hiding them.
branch_objective,OBJ-001716,,OBJ-001716,Unique Item: Amulet of Bats,unique_item,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-001717,,OBJ-001717,Unique Item: Amulet of The Gargoyle,unique_item,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-001736,,OBJ-001736,Unique Item: Ring of The Beast,unique_item,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-001737,,OBJ-001737,Unique Item: Ring of the Erudite,unique_item,branch_route,BR-002 Volkihar,HS-DG-BLOODLINE,0,1,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_covered,placed_in_branch_guide,branch_complete_reloaded,Dawnguard Fork And Volkihar Branch,none,
branch_objective,OBJ-002777,,OBJ-002777,Master Criminal Trophy Set,trophy,branch_route,BR-005 Master Criminal Trophy,HS-TROPHY-MASTER-CRIMINAL,0,1,N,Y,Y,Y,reward-and-trophy-branches-v0.md,branch_objective_covered,trophy_branch_completed,branch_complete_then_reloaded,Master Criminal Trophy Branch,none,
branch_objective,OBJ-002785,,OBJ-002785,Rebuilding the Blades,quest,branch_route,BR-004 Paarthurnax / Blades,HS-MQ-PAARTHURNAX,0,4,Y,Y,Y,Y,major-faction-branches-v0.md,branch_objective_resolved_by_main_continuity,audited_not_started_here | not_duplicated_here | not_started_here | placed_in_guide,complete | complete_in_mr043 | staged_for_blades_branch_or_pre_elder_scroll_policy | staged_for_paarthurnax_blades_branch,Blades Research Blackreach And The Fallen | Karthspire Sky Haven And Dragonbane | Main Quest Staging Before Sky Haven | Paarthurnax And Blades Branch,none,Blades checklist branch row is already completed on main continuity before the Paarthurnax lockout.
