audit_area,constraint_id,constraint_source_file,source_section,row_label,constraint_type,objective_id,objective_name,severity,final_coverage_status,guide_locations,route_protection,audit_status,recommended_action,evidence,notes
leveled_item,RPCON-000086,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001756,leveled_reward,OBJ-001756,Leveled Reward: Lunar Iron War Axe,hard_gate,placed_in_main_guide,Halted Stream And Silent Moons Level Gate,"Safe acquisition rule for later route: Visit/loot Silent Moons Camp at level 8+ for the best overall Lunar weapon candidate pool; if touched too early, leave and wait 30 days for respawn validation.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000093-lunar-weapon-spawn-thresholds.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000087,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001757,leveled_reward,OBJ-001757,Leveled Reward: Lunar Steel Mace,hard_gate,placed_in_main_guide,Halted Stream And Silent Moons Level Gate,"Safe acquisition rule for later route: Visit/loot Silent Moons Camp at level 8+ for the best overall Lunar weapon candidate pool; if touched too early, leave and wait 30 days for respawn validation.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000093-lunar-weapon-spawn-thresholds.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000088,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001758,leveled_reward,OBJ-001758,Leveled Reward: Lunar Steel Sword,hard_gate,placed_in_main_guide,Halted Stream And Silent Moons Level Gate,"Safe acquisition rule for later route: Visit/loot Silent Moons Camp at level 8+ for the best overall Lunar weapon candidate pool; if touched too early, leave and wait 30 days for respawn validation.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000093-lunar-weapon-spawn-thresholds.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000089,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001759,leveled_reward,OBJ-001759,Leveled Reward: Lunar Steel War Axe,hard_gate,placed_in_main_guide,Halted Stream And Silent Moons Level Gate,"Safe acquisition rule for later route: Visit/loot Silent Moons Camp at level 8+ for the best overall Lunar weapon candidate pool; if touched too early, leave and wait 30 days for respawn validation.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000093-lunar-weapon-spawn-thresholds.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000090,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001760,leveled_reward,OBJ-001760,Leveled Reward: Miraak's Sword,hard_gate,placed_in_main_guide,"Miraak Finale, Lost Knowledge, And Last Black Books",Safe acquisition rule for later route: Do not finish the final Miraak battle before level 60 if the route wants maximum Miraak equipment.,pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000091,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001761,leveled_reward,OBJ-001761,Leveled Reward: Miraak's Staff,hard_gate,placed_in_main_guide,"Miraak Finale, Lost Knowledge, And Last Black Books",Safe acquisition rule for later route: Do not finish the final Miraak battle before level 60 if the route wants maximum Miraak equipment.,pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000092,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001762,leveled_reward,OBJ-001762,Leveled Reward: Nightingale Blade,hard_gate,placed_in_main_guide,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,"Safe acquisition rule for later route: Before route skeleton, decide whether the project wants maximum source tier at 46+ or the temperable 36-45 tier. Do not reward before that selected window.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000093,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001763,leveled_reward,OBJ-001763,Leveled Reward: Nightingale Bow,hard_gate,placed_in_main_guide,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,Safe acquisition rule for later route: Do not complete the Karliah reward handoff for Blindsighted before level 46.,pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000094,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001764,leveled_reward,OBJ-001764,Leveled Reward: The Pale Blade,hard_gate,placed_in_main_guide,"Dawnstar, Pale Blade, And Heljarchen",Safe acquisition rule for later route: Do not claim/resolve The Pale Blade before level 27; TB-013 should decide whether Frostmere Crypt first entry also needs a warning.,pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000095,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001765,leveled_reward,OBJ-001765,Leveled Reward: Miraak (Dragon Priest Mask),hard_gate,placed_in_main_guide,"Miraak Finale, Lost Knowledge, And Last Black Books",Safe acquisition rule for later route: Do not finish the final Miraak battle before level 60 if the route wants maximum Miraak equipment; later route defaults must account for light/heavy/tie behavior.,pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000096,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001766,leveled_reward,OBJ-001766,Leveled Reward: Nightingale Armor,hard_gate,placed_in_main_guide,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,Safe acquisition rule for later route: Do not start Trinity Restored before level 32 if the route wants maximum Nightingale armor.,pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000097,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001767,leveled_reward,OBJ-001767,Leveled Reward: Nightingale Boots,hard_gate,placed_in_main_guide,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,Safe acquisition rule for later route: Do not start Trinity Restored before level 32 if the route wants maximum Nightingale armor; keep the Muffle utility caveat for final review.,pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000098,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001768,leveled_reward,OBJ-001768,Leveled Reward: Nightingale Gloves,hard_gate,placed_in_main_guide,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,Safe acquisition rule for later route: Do not start Trinity Restored before level 32 if the route wants maximum Nightingale armor.,pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000099,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001769,leveled_reward,OBJ-001769,Leveled Reward: Nightingale Hood,hard_gate,placed_in_main_guide,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,Safe acquisition rule for later route: Do not start Trinity Restored before level 32 if the route wants maximum Nightingale armor.,pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000100,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-000198; OBJ-001770,leveled_reward,OBJ-000198,The Wolf Queen Awakened,hard_gate,placed_in_main_guide,Potema Shield Of Solitude And Bone Wolf | Solitude Coast Wild Horse And Wolfskull,"Safe acquisition rule for later route: Do not take the final Falk reward before level 40. The quest can be available earlier, but the reward threshold is 40+.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000101,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-000198; OBJ-001770,leveled_reward,OBJ-001770,Leveled Reward: Shield of Solitude,hard_gate,placed_in_main_guide,Potema Shield Of Solitude And Bone Wolf | Solitude Coast Wild Horse And Wolfskull,"Safe acquisition rule for later route: Do not take the final Falk reward before level 40. The quest can be available earlier, but the reward threshold is 40+.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000102,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001771,leveled_reward,OBJ-001771,Leveled Reward: Amulet of Articulation,branch_or_hard_save,placed_in_main_guide,Guild Restoration And Amulet Of Articulation,"Safe acquisition rule for later route: Hard save before the reward conversation with Brynjolf and reload until the strongest version is awarded, if the route chooses to optimize this random reward.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
leveled_item,RPCON-000103,data/constraints/leveled-unique-items.md,Constraint Table,OBJ-001772,leveled_reward,OBJ-001772,Leveled Reward: Mage's Circlet,hard_gate,placed_in_main_guide,Fellglow Keep And Good Intentions,Safe acquisition rule for later route: Do not report to Savos for the Good Intentions reward before level 25.,pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000092-leveled-quest-reward-thresholds-and-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000104,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,Riftweald Manor interior,cell_entry_lock,OBJ-001571,Artifact: Chillrend,hard_gate,placed_in_main_guide,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,"Safe entry condition: Do not enter Riftweald Manor before level 46 if preserving maximum Chillrend. | Route warning needed: Before any Riftweald Manor entry or The Pursuit sequence, warn: wait until level 46+.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000094-leveled-reward-cell-entry-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000105,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,Riftweald Manor interior,cell_entry_lock,OBJ-001750,Leveled Reward: Chillrend,hard_gate,placed_in_main_guide,Nightingale Armor Readiness Check | Nightingale Rewards And The Skeleton Key,"Safe entry condition: Do not enter Riftweald Manor before level 46 if preserving maximum Chillrend. | Route warning needed: Before any Riftweald Manor entry or The Pursuit sequence, warn: wait until level 46+.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000094-leveled-reward-cell-entry-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000106,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,Sky Haven Temple,cell_entry_lock,OBJ-001573,Artifact: Dragonbane,hard_gate,placed_in_main_guide,Karthspire Sky Haven And Dragonbane | Main Quest Staging Before Sky Haven | Markarth Nchuand-Zel And Old Hroldan | Markarth Prison Daedric Rites And Reach Redoubts,"Safe entry condition: Reach level 46 before first Sky Haven Temple entry during Alduin's Wall. | Route warning needed: Gate Sky Haven Temple entry, not merely Dragonbane pickup, at level 46+.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000094-leveled-reward-cell-entry-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000107,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,Sky Haven Temple,cell_entry_lock,OBJ-001751,Leveled Reward: Dragonbane,hard_gate,placed_in_main_guide,Karthspire Sky Haven And Dragonbane | Main Quest Staging Before Sky Haven,"Safe entry condition: Reach level 46 before first Sky Haven Temple entry during Alduin's Wall. | Route warning needed: Gate Sky Haven Temple entry, not merely Dragonbane pickup, at level 46+.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000094-leveled-reward-cell-entry-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000108,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,Sky Haven Temple,cell_entry_lock,OBJ-002354,Discover Sky Haven Temple,hard_gate,placed_in_main_guide,Karthspire Sky Haven And Dragonbane | Main Quest Staging Before Sky Haven | Markarth Nchuand-Zel And Old Hroldan | Markarth Prison Daedric Rites And Reach Redoubts,"Safe entry condition: Reach level 46 before first Sky Haven Temple entry during Alduin's Wall. | Route warning needed: Gate Sky Haven Temple entry, not merely Dragonbane pickup, at level 46+.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000094-leveled-reward-cell-entry-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000109,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,"Folgunthur, Saarthal, Geirmund's Hall, and Reachwater Rock",cell_entry_lock,OBJ-001752,Leveled Reward: Gauldur Blackblade,hard_gate,placed_in_main_guide,Potema Shield Of Solitude And Bone Wolf,"Safe entry condition: Reach level 36 before reading Lost Legends or approaching any related dungeon. | Route warning needed: Warn before Lost Legends copies and before travel near Folgunthur, Saarthal, Geirmund's Hall, or Reachwater Rock.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000094-leveled-reward-cell-entry-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000110,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,"Folgunthur, Saarthal, Geirmund's Hall, and Reachwater Rock",cell_entry_lock,OBJ-001753,Leveled Reward: Gauldur Blackbow,hard_gate,placed_in_main_guide,Gauldur Legend Finale,"Safe entry condition: Reach level 36 before reading Lost Legends or approaching any related dungeon. | Route warning needed: Warn before Lost Legends copies and before travel near Folgunthur, Saarthal, Geirmund's Hall, or Reachwater Rock.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000094-leveled-reward-cell-entry-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000111,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,"Folgunthur, Saarthal, Geirmund's Hall, and Reachwater Rock",cell_entry_lock,OBJ-002038,Clear Folgunthur,hard_gate,placed_in_main_guide,Potema Shield Of Solitude And Bone Wolf,"Safe entry condition: Reach level 36 before reading Lost Legends or approaching any related dungeon. | Route warning needed: Warn before Lost Legends copies and before travel near Folgunthur, Saarthal, Geirmund's Hall, or Reachwater Rock.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000094-leveled-reward-cell-entry-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000112,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,"Folgunthur, Saarthal, Geirmund's Hall, and Reachwater Rock",cell_entry_lock,OBJ-002049,Clear Geirmund's Hall,hard_gate,placed_in_main_guide,Gauldur Legend Finale,"Safe entry condition: Reach level 36 before reading Lost Legends or approaching any related dungeon. | Route warning needed: Warn before Lost Legends copies and before travel near Folgunthur, Saarthal, Geirmund's Hall, or Reachwater Rock.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000094-leveled-reward-cell-entry-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000113,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,"Folgunthur, Saarthal, Geirmund's Hall, and Reachwater Rock",cell_entry_lock,OBJ-002122,Clear Reachwater Rock,hard_gate,placed_in_main_guide,Gauldur Legend Finale | Peryite's Shrine And Bthardamz,"Safe entry condition: Reach level 36 before reading Lost Legends or approaching any related dungeon. | Route warning needed: Warn before Lost Legends copies and before travel near Folgunthur, Saarthal, Geirmund's Hall, or Reachwater Rock.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000094-leveled-reward-cell-entry-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000114,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,"Folgunthur, Saarthal, Geirmund's Hall, and Reachwater Rock",cell_entry_lock,OBJ-002136,Clear Saarthal,hard_gate,placed_in_main_guide,"Winterhold, College Entry, And Saarthal","Safe entry condition: Reach level 36 before reading Lost Legends or approaching any related dungeon. | Route warning needed: Warn before Lost Legends copies and before travel near Folgunthur, Saarthal, Geirmund's Hall, or Reachwater Rock.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000094-leveled-reward-cell-entry-locks.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000115,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,"Broken Oar Grotto, Cracked Tusk Keep, and Frostmere Crypt as Amulet of the Moon targets",cell_entry_lock,OBJ-000221,Amulet of the Moon,hard_gate,placed_in_main_guide,"Dawnstar, Pale Blade, And Heljarchen | Falkreath Land Lakeview Foundation And Glenmoril Coven | Retrospective redistributed regional sections; no player-facing Location Counter Sweep dump","Safe entry condition: Accept and resolve or reroll Kharjo's target before visiting these locations, or keep a save before accepting Amulet of the Moon. | Route warning needed: Before clearing or entering any of the three locations, warn that Kharjo's Amulet of the Moon can be invalidated if assigned there later.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000096-radiant-favor-first-visit-and-nonrespawn-target-risk.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000116,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,"Broken Oar Grotto, Cracked Tusk Keep, and Frostmere Crypt as Amulet of the Moon targets",cell_entry_lock,OBJ-001992,Clear Broken Oar Grotto,hard_gate,placed_in_main_guide,Haafingar Caves Volskygge And Night Hunter | Retrospective redistributed regional sections; no player-facing Location Counter Sweep dump | Solitude Coast Wild Horse And Wolfskull,"Safe entry condition: Accept and resolve or reroll Kharjo's target before visiting these locations, or keep a save before accepting Amulet of the Moon. | Route warning needed: Before clearing or entering any of the three locations, warn that Kharjo's Amulet of the Moon can be invalidated if assigned there later.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000096-radiant-favor-first-visit-and-nonrespawn-target-risk.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000117,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,"Broken Oar Grotto, Cracked Tusk Keep, and Frostmere Crypt as Amulet of the Moon targets",cell_entry_lock,OBJ-002006,Clear Cracked Tusk Keep,hard_gate,placed_in_main_guide,Falkreath Land Lakeview Foundation And Glenmoril Coven | Retrospective redistributed regional sections; no player-facing Location Counter Sweep dump,"Safe entry condition: Accept and resolve or reroll Kharjo's target before visiting these locations, or keep a save before accepting Amulet of the Moon. | Route warning needed: Before clearing or entering any of the three locations, warn that Kharjo's Amulet of the Moon can be invalidated if assigned there later.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000096-radiant-favor-first-visit-and-nonrespawn-target-risk.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
cell_entry,RPCON-000118,data/constraints/cell-entry-locks.md,Confirmed or Route-Relevant Entry Constraints,"Broken Oar Grotto, Cracked Tusk Keep, and Frostmere Crypt as Amulet of the Moon targets",cell_entry_lock,OBJ-002046,Clear Frostmere Crypt,hard_gate,placed_in_main_guide,"Dawnstar, Pale Blade, And Heljarchen","Safe entry condition: Accept and resolve or reroll Kharjo's target before visiting these locations, or keep a save before accepting Amulet of the Moon. | Route warning needed: Before clearing or entering any of the three locations, warn that Kharjo's Amulet of the Moon can be invalidated if assigned there later.",pass_constraint_accounted_in_main_guide,none,Objective is represented in the current main guide coverage ledger.,Source notes: SN-000096-radiant-favor-first-visit-and-nonrespawn-target-risk.md. TB-039 uses existing sourced constraint rows and current guide/coverage state; no broad gameplay research performed.
