objective_id,objective_name,category,subcategory,route_placement,final_coverage_status,internal_coverage_row_count,coverage_statuses,completion_statuses,guide_locations
OBJ-000063,Recipe for Disaster,quest,dark_brotherhood,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame"
OBJ-000064,To Kill an Empire,quest,dark_brotherhood,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame"
OBJ-000065,Death Incarnate,quest,dark_brotherhood,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame"
OBJ-000066,Hail Sithis!,quest,dark_brotherhood,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame"
OBJ-000067,Destroy the Dark Brotherhood!,quest,dark_brotherhood_branch,branch_route,branch_handled,1,branch_route_placed,branch_complete_then_reloaded,Cicero Aventus And The Sanctuary Door
OBJ-000068,Where You Hang Your Enemy's Head...,quest,dark_brotherhood,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Security, Shadowmere, And The Brotherhood Endgame"
OBJ-000069,Imperial Introductions,quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000070,Joining the Legion,quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000071,Get Outfitted,quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000072,The Jagged Crown (Imperial),quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000073,Message to Whiterun (Imperial),quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000074,Battle for Whiterun (Imperial),quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000075,Report to the Jarl of Whiterun,quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000076,Reunification of Skyrim,quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000077,A False Front (Imperial),quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000078,The Battle for Fort Dunstad (Imperial),quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000079,Compelling Tribute (Imperial),quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000080,The Battle for Fort Greenwall (Imperial),quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000081,Rescue from Fort Kastav,quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000082,The Battle for Fort Snowhawk (Imperial),quest,civil_war_imperial,main_route,placed_in_main_guide,1,conditional_not_routed,not_applicable_no_treaty_route,Imperial Civil War
OBJ-000083,The Battle for Fort Neugrad,quest,civil_war_imperial,main_route,placed_in_main_guide,1,conditional_not_routed,not_applicable_no_treaty_route,Imperial Civil War
OBJ-000084,The Battle for Fort Sungard (Imperial),quest,civil_war_imperial,main_route,placed_in_main_guide,1,conditional_not_routed,not_applicable_no_treaty_route,Imperial Civil War
OBJ-000085,The Battle for Fort Amol,quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000086,Battle for Windhelm,quest,civil_war_imperial,main_route,placed_in_main_guide,1,placed_in_guide,complete,Imperial Civil War
OBJ-000087,Joining the Stormcloaks,quest,civil_war_stormcloak,branch_route,branch_handled,1,branch_experienced,branch_complete,Civil War Stormcloak Branch
OBJ-000088,The Jagged Crown (Stormcloaks),quest,civil_war_stormcloak,branch_route,branch_handled,1,branch_experienced,branch_complete,Civil War Stormcloak Branch
OBJ-000089,Message to Whiterun (Stormcloaks),quest,civil_war_stormcloak,branch_route,branch_handled,1,branch_experienced,branch_complete,Civil War Stormcloak Branch
OBJ-000090,Battle for Whiterun (Stormcloaks),quest,civil_war_stormcloak,branch_route,branch_handled,1,branch_experienced,branch_complete,Civil War Stormcloak Branch
OBJ-000091,Liberation of Skyrim,quest,civil_war_stormcloak,branch_route,branch_handled,1,branch_experienced,branch_complete,Civil War Stormcloak Branch
OBJ-000092,Rescue from Fort Neugrad,quest,civil_war_stormcloak,branch_route,branch_handled,1,branch_experienced,branch_complete,Civil War Stormcloak Branch
OBJ-000093,Compelling Tribute (Stormcloaks),quest,civil_war_stormcloak,branch_route,branch_handled,1,branch_experienced,branch_complete,Civil War Stormcloak Branch
OBJ-000094,The Battle for Fort Sungard (Stormcloaks),quest,civil_war_stormcloak,branch_route,branch_handled,1,branch_experienced,branch_complete,Civil War Stormcloak Branch
OBJ-000095,A False Front (Stormcloaks),quest,civil_war_stormcloak,branch_route,branch_handled,1,branch_experienced,branch_complete,Civil War Stormcloak Branch
OBJ-000096,The Battle for Fort Snowhawk (Stormcloaks),quest,civil_war_stormcloak,branch_route,branch_handled,1,branch_experienced,branch_complete,Civil War Stormcloak Branch
OBJ-000097,The Battle for Fort Dunstad (Stormcloaks),quest,civil_war_stormcloak,branch_route,branch_handled,1,conditional_not_routed,not_applicable_no_treaty_branch,Civil War Stormcloak Branch
OBJ-000098,The Battle for Fort Kastav,quest,civil_war_stormcloak,branch_route,branch_handled,1,conditional_not_routed,not_applicable_no_treaty_branch,Civil War Stormcloak Branch
OBJ-000099,The Battle for Fort Greenwall (Stormcloaks),quest,civil_war_stormcloak,branch_route,branch_handled,1,conditional_not_routed,not_applicable_no_treaty_branch,Civil War Stormcloak Branch
OBJ-000100,The Battle for Fort Hraggstad,quest,civil_war_stormcloak,branch_route,branch_handled,1,branch_experienced,branch_complete,Civil War Stormcloak Branch
OBJ-000101,Battle for Solitude,quest,civil_war_stormcloak,branch_route,branch_handled,1,branch_experienced,branch_complete,Civil War Stormcloak Branch
OBJ-000102,Animal Extermination (A),radiant,companions_radiant,main_route,placed_in_main_guide,2,conditional_fallback_or_actual_assignment | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry
OBJ-000103,Animal Extermination (B),radiant,companions_radiant,main_route,placed_in_main_guide,2,conditional_fallback_or_actual_assignment | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry
OBJ-000104,Hired Muscle,radiant,companions_radiant,main_route,placed_in_main_guide,2,conditional_if_first_clean_farkas_contract | conditional_second_gate_if_assigned,conditional_complete_or_already_recorded_or_not_assigned | conditional_complete_or_seed_unavailable,Beast Blood And The Silver Hand | Companions Entry
OBJ-000105,Trouble in Skyrim,radiant,companions_radiant,main_route,placed_in_main_guide,2,conditional_if_assigned_and_clean | conditional_second_gate_if_assigned,conditional_complete_if_assigned | conditional_complete_or_reloaded_for_bug_recovery,Beast Blood And The Silver Hand | Companions Entry
OBJ-000106,Family Heirloom,radiant,companions_radiant,main_route,placed_in_main_guide,2,conditional_if_assigned | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry
OBJ-000107,Escaped Criminal,radiant,companions_radiant,main_route,placed_in_main_guide,2,conditional_if_assigned | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry
OBJ-000108,Rescue Mission,radiant,companions_radiant,main_route,placed_in_main_guide,2,conditional_if_assigned | conditional_second_gate_if_assigned,conditional_complete_if_assigned,Beast Blood And The Silver Hand | Companions Entry
OBJ-000109,Striking the Heart,radiant,companions_radiant_windowed,main_route,placed_in_main_guide,1,completed_if_assigned_in_two_aela_jobs,conditional_complete_or_not_offered,Beast Blood And The Silver Hand
OBJ-000110,Stealing Plans,radiant,companions_radiant_windowed,main_route,placed_in_main_guide,1,completed_if_assigned_in_two_aela_jobs,conditional_complete_or_one_save_limited,Beast Blood And The Silver Hand
OBJ-000111,Retrieval,radiant,companions_radiant_windowed,main_route,placed_in_main_guide,1,completed_if_assigned_in_two_aela_jobs,conditional_complete_or_one_save_limited,Beast Blood And The Silver Hand
OBJ-000112,Totems of Hircine,radiant,companions_post_quest,main_route,placed_in_main_guide,2,not_available_yet | placed_in_guide,complete | staged_for_post_glory_werewolf_route,"Beast Blood And The Silver Hand | Companions Finale, Totems, And Beast-Blood Preservation"
OBJ-000113,Purity (Companions),radiant,companions_post_quest,main_route,placed_in_main_guide,2,not_available_yet | placed_in_guide,complete | staged_for_post_glory_route,"Beast Blood And The Silver Hand | Companions Finale, Totems, And Beast-Blood Preservation"
OBJ-000114,Dragon Seekers,radiant,companions_post_quest,main_route,placed_in_main_guide,3,late_repeatable_support_for_legend | placed_in_guide,complete | repeatable_support_not_extra_scope,"Companions Finale, Totems, and Beast-Blood Preservation | Level 78 and Level 80 Gates"
OBJ-000115,Companions Radiant Representative Set,radiant,companions_representative_set,appendix,unresolved,3,needs_route_resolution_added | partially_represented_by_first_gate | progressed_by_required_gates,NEEDS ROUTE RESOLUTION | in_progress,Beast Blood And The Silver Hand | Companions Entry | TB-038R order and delayed-task repair register
OBJ-000116,Companions Finite Post-Quest Radiant Set,radiant,companions_finite_set,appendix,placed_in_main_guide,3,duplicate_covered_by_named_members | not_available_yet,complete | staged_for_post_glory,"Beast Blood And The Silver Hand | Companions Entry | Companions Finale, Totems, And Beast-Blood Preservation"
OBJ-000117,Arniel's Endeavor,quest,college_optional,main_route,placed_in_main_guide,5,audited_not_started_here | part_one_completed | placed_in_guide | started_part_one,complete | in_progress_part_one | in_progress_part_two_not_started | staged_for_college_arniel_bundle | staged_for_college_side_content,Arkngthamz And The First Aetherium Shards | College Errands Arniel Septimus And Aetherium | Fellglow Keep And Good Intentions | Labyrinthian And The Eye Of Magnus | Mzulft And The Winterhold Crisis
OBJ-000118,Brelyna's Practice,quest,college_optional,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal"
OBJ-000119,J'zargo's Experiment,quest,college_optional,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal"
OBJ-000120,Onmund's Request,quest,college_optional,main_route,placed_in_main_guide,6,audited_not_started_here | placed_in_guide,complete | staged_for_controlled_college_side_content | staged_for_controlled_nonrandom_or_high_speech_resolution | staged_for_nonrandom_or_high_speech_resolution | staged_for_post_under_new_management,"College Errands Arniel Septimus And Aetherium | Fellglow Keep And Good Intentions | Labyrinthian And The Eye Of Magnus | Mzulft And The Winterhold Crisis | Whiterun Property Western Caves Gray-Mane Rescue And Onmund | Winterhold, College Entry, And Saarthal"
OBJ-000121,Out of Balance,radiant,college_repeatable,main_route,placed_in_main_guide,1,placed_in_guide,complete,"Winterhold, College Entry, And Saarthal"
OBJ-000122,Enchanting Pick-Up,radiant,college_repeatable,main_route,placed_in_main_guide,2,audited_not_started_here | placed_in_guide,complete | staged_for_college_radiant_control_pass,"College Errands Arniel Septimus And Aetherium | Winterhold, College Entry, And Saarthal"
OBJ-000123,Restocking Soul Gems,radiant,college_repeatable,main_route,placed_in_main_guide,2,audited_not_started_here | placed_in_guide,complete | staged_for_empty_soul_gem_material_plan,"College Errands Arniel Septimus And Aetherium | Winterhold, College Entry, And Saarthal"
OBJ-000124,Aftershock,radiant,college_repeatable,main_route,placed_in_main_guide,1,placed_in_guide,complete,College Errands Arniel Septimus And Aetherium
OBJ-000125,Rejoining the College,radiant,college_repeatable,excluded,excluded,1,explicit_exclusion_reaffirmed,excluded,Internal exclusion coverage
OBJ-000126,Tolfdir the Absent-Minded,radiant,college_repeatable,main_route,placed_in_main_guide,2,audited_not_started_here | placed_in_guide,complete | staged_until_tolfdir_returns_from_saarthal,"Fellglow Keep And Good Intentions | Winterhold, College Entry, And Saarthal"
OBJ-000127,Fetch me that Book!,radiant,college_repeatable,main_route,unresolved,3,audited_not_started_here | needs_route_resolution_added,NEEDS ROUTE RESOLUTION | staged_for_college_radiant_control_pass | staged_for_late_random_radiant_control,"College Errands Arniel Septimus And Aetherium | TB-038R order and delayed-task repair register | Winterhold, College Entry, And Saarthal"
OBJ-000128,Shalidor's Insights,radiant,college_repeatable,main_route,unresolved,4,audited_not_started_here | needs_route_resolution_added,NEEDS ROUTE RESOLUTION | staged_for_college_radiant_control_pass | staged_for_late_random_radiant_control,"College Errands Arniel Septimus And Aetherium | Labyrinthian And The Eye Of Magnus | TB-038R order and delayed-task repair register | Winterhold, College Entry, And Saarthal"
OBJ-000129,Alteration Ritual Spell,quest,college_master_skill_quest,main_route,placed_in_main_guide,4,audited_not_started_here | conditional_acquisition_instruction | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | conditional | staged_for_skill_90_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium | Haafingar Caves Volskygge And Night Hunter
OBJ-000130,Conjuration Ritual Spell,quest,college_master_skill_quest,main_route,placed_in_main_guide,3,audited_not_started_here | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | staged_for_skill_90_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium
OBJ-000131,Destruction Ritual Spell,quest,college_master_skill_quest,main_route,placed_in_main_guide,3,audited_not_started_here | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | staged_for_skill_100_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium
OBJ-000132,Illusion Ritual Spell,quest,college_master_skill_quest,main_route,placed_in_main_guide,3,audited_not_started_here | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | staged_for_skill_100_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium
OBJ-000133,Restoration Ritual Spell,quest,college_master_skill_quest,main_route,placed_in_main_guide,3,audited_not_started_here | master_ritual_gate_completed | staged_for_all_perks_loop,complete_after_ritual_reward_and_vendor_check | staged_for_skill_90_plus | staged_for_skill_gate,All-Perks Loop | All-perks master ritual gate | College Errands Arniel Septimus And Aetherium
OBJ-000134,The Numbers Job,radiant,thieves_guild_job_type,main_route,placed_in_main_guide,2,ledger_type_listed_zero_jobs | placed_in_guide,complete | staged_for_post_nightingale_city_job_blocks,"Goldenglow Honningbrew Solitude And Snow Veil | Whispers, Solitude Jobs, And The Wedding Assassination"
OBJ-000135,The Fishing Job,radiant,thieves_guild_job_type,main_route,placed_in_main_guide,3,ledger_type_listed_zero_jobs | not_routed_here | placed_in_guide,complete | staged_for_late_thieves_job_type_coverage | staged_for_post_nightingale_city_job_blocks,"Goldenglow Honningbrew Solitude And Snow Veil | Guild Restoration And Amulet Of Articulation | Whispers, Solitude Jobs, And The Wedding Assassination"
OBJ-000136,The Bedlam Job,radiant,thieves_guild_job_type,main_route,placed_in_main_guide,3,ledger_type_listed_zero_jobs | not_routed_here | placed_in_guide,complete | staged_for_late_thieves_job_type_coverage | staged_for_post_nightingale_city_job_blocks,"Goldenglow Honningbrew Solitude And Snow Veil | Guild Restoration And Amulet Of Articulation | Whispers, Solitude Jobs, And The Wedding Assassination"
OBJ-000137,The Burglary Job,radiant,thieves_guild_job_type,main_route,placed_in_main_guide,2,ledger_type_listed_zero_jobs | placed_in_guide,complete | staged_for_post_nightingale_city_job_blocks,"Goldenglow Honningbrew Solitude And Snow Veil | Whispers, Solitude Jobs, And The Wedding Assassination"
OBJ-000138,The Shill Job,radiant,thieves_guild_job_type,main_route,placed_in_main_guide,2,ledger_type_listed_zero_jobs | placed_in_guide,complete | staged_for_post_nightingale_city_job_blocks,"Goldenglow Honningbrew Solitude And Snow Veil | Whispers, Solitude Jobs, And The Wedding Assassination"
OBJ-000139,The Sweep Job,radiant,thieves_guild_job_type,main_route,placed_in_main_guide,2,ledger_type_listed_zero_jobs | placed_in_guide,complete | staged_for_post_nightingale_city_job_blocks,"Goldenglow Honningbrew Solitude And Snow Veil | Whispers, Solitude Jobs, And The Wedding Assassination"
