audit_area,check_id,source_file,source_section,row_label,check_type,objective_id,objective_name,source_status,guide_locations,route_protection,audit_status,recommended_action,evidence,notes
survival_global_rule,TB040-SURV-003,data/constraints/survival-mode-constraints.md,Global Survival Rules,"Fatigue, sleep, and level-ups",survival_constraint,,,Global rule / TB-020 handoff.,main-guide-v1.md global or route-section prose,"TB-020 must align leveling, perk allocation, and crafting potion use with indoor sleep access.",pass_survival_constraint_represented,none,Found guide terms: fatigue; sleep; level-up,Source notes: SN-000115; SN-000117. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_global_rule,TB040-SURV-004,data/constraints/survival-mode-constraints.md,Global Survival Rules,"Cold, warmth, and freezing water",survival_constraint,,,Global rule.,main-guide-v1.md global or route-section prose,"Avoid unprepared northern, mountain, coastal, and freezing-water crossings; prefer bridges, ferries, horses, or route detours.",pass_survival_constraint_represented,none,Found guide terms: cold; hot food; warm,Source notes: SN-000115; SN-000118. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_global_rule,TB040-SURV-005,data/constraints/survival-mode-constraints.md,Global Survival Rules,Reduced carry capacity,survival_constraint,,,Global rule.,main-guide-v1.md global or route-section prose,"Large collectible, book, ingredient, ore, construction, and unique-item sweeps must be broken into loops rather than single hoarding runs.",pass_survival_constraint_represented,none,Found guide terms: carry weight; storage; sell ordinary,Source notes: SN-000115; SN-000117. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_global_rule,TB040-SURV-006,data/constraints/survival-mode-constraints.md,Global Survival Rules,No natural health regeneration and disease pressure,survival_constraint,,,Global rule / TB-020 handoff.,main-guide-v1.md global or route-section prose,Legendary combat route blocks must assume recovery resources are needed between fights and before remote dungeons.,pass_survival_constraint_represented,none,Found guide terms: healing; cure disease,Source notes: SN-000115. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_global_rule,TB040-SURV-007,data/constraints/survival-mode-constraints.md,Global Survival Rules,Shrines and blessings,survival_constraint,,,Route recommendation.,main-guide-v1.md global or route-section prose,"Blessing-dependent crafting, disease curing, or combat prep should be paired with sleep and shrine access.",pass_survival_constraint_represented,none,Found guide terms: shrine; sleep,Source notes: SN-000115; SN-000117. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_travel_network,TB040-SURV-008,data/constraints/survival-mode-constraints.md,Travel Network Constraints,Ordinary fast travel,survival_constraint,,,Global travel rule.,main-guide-v1.md global or route-section prose,The route skeleton must be geography-first and cannot assume checklist cleanup by teleporting between markers.,pass_survival_constraint_represented,none,Found guide terms: route discipline; carriage,Source notes: SN-000116. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_travel_network,TB040-SURV-009,data/constraints/survival-mode-constraints.md,Travel Network Constraints,Major city carriage network,survival_constraint,,,Infrastructure.,main-guide-v1.md global or route-section prose,"Use carriages for first access and cold avoidance, but avoid routing a minor-hold leg as if it has a carriage origin.",pass_survival_constraint_represented,none,Found guide terms: carriage; stables,Source notes: SN-000116. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_travel_network,TB040-SURV-010,data/constraints/survival-mode-constraints.md,Travel Network Constraints,Hearthfire homestead carriages,survival_constraint,,,Infrastructure / property handoff.,main-guide-v1.md global or route-section prose,"Homestead services are high-value Survival infrastructure and should be evaluated before broad village, mountain, or regional cleanup.",pass_survival_constraint_represented,none,Found guide terms: carriage driver; hearthfire,Source notes: SN-000116; SN-000117. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_travel_network,TB040-SURV-011,data/constraints/survival-mode-constraints.md,Travel Network Constraints,Ferries and boats,survival_constraint,,,Infrastructure.,main-guide-v1.md global or route-section prose,Coastal and Solstheim route blocks should be ferry-centered rather than treated as ordinary foot loops.,pass_survival_constraint_represented,none,Found guide terms: ferry; raven rock,Source notes: SN-000116; SN-000118. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_travel_network,TB040-SURV-012,data/constraints/survival-mode-constraints.md,Travel Network Constraints,Horses and mounts,survival_constraint,,,Route recommendation / mount handoff.,main-guide-v1.md global or route-section prose,"An owned horse is an early Survival priority, but named/unique mount collection timing should follow objective and difficulty constraints.",pass_survival_constraint_represented,none,Found guide terms: horse; mount,Source notes: SN-000116; SN-000117. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_travel_network,TB040-SURV-013,data/constraints/survival-mode-constraints.md,Travel Network Constraints,Dragon riding,survival_constraint,,,Late-route infrastructure.,main-guide-v1.md global or route-section prose,Do not use dragon riding to solve early or midgame geography; it can become a late cleanup accelerator only within its limits.,pass_survival_constraint_represented,none,Found guide terms: dragonrider; bend will,Source notes: SN-000116. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_travel_network,TB040-SURV-014,data/constraints/survival-mode-constraints.md,Travel Network Constraints,Dead Man's Dread map travel,survival_constraint,,,Infrastructure / AE home handoff.,main-guide-v1.md global or route-section prose,"Useful for late coastal/Solstheim shuttling, but it is one-way and acquisition timing still has AE quest/difficulty implications.",pass_survival_constraint_represented,none,Found guide terms: dead man's dread; one-way,Source notes: SN-000116; SN-000117. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_cold_region,TB040-SURV-015,data/constraints/survival-mode-constraints.md,Cold and Regional Sequencing,Early warm/temperate core,survival_constraint,,,Route recommendation.,main-guide-v1.md global or route-section prose,Use the early route to build infrastructure and avoid deep northern or Solstheim overextension.,pass_survival_constraint_represented,none,Found guide terms: early warm-core; riverwood,Source notes: SN-000115; SN-000117; SN-000118. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_cold_region,TB040-SURV-016,data/constraints/survival-mode-constraints.md,Cold and Regional Sequencing,"Northern coast, Pale, Winterhold",survival_constraint,,,Regional risk.,main-guide-v1.md global or route-section prose,Group northern objectives into prepared sweeps with known sleep endpoints; avoid casual detours at night or during bad weather.,pass_survival_constraint_represented,none,Found guide terms: cold-weather; dawnstar; hot food,Source notes: SN-000118; SN-000116. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_cold_region,TB040-SURV-017,data/constraints/survival-mode-constraints.md,Cold and Regional Sequencing,Mountains and high passes,survival_constraint,,,Regional risk.,main-guide-v1.md global or route-section prose,Delay or tightly stage mountain objectives unless quest progression requires them; start with a clear return/rest plan.,pass_survival_constraint_represented,none,Found guide terms: mountain; hot food,Source notes: SN-000118; SN-000117. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_cold_region,TB040-SURV-018,data/constraints/survival-mode-constraints.md,Cold and Regional Sequencing,Source-listed cold interiors,survival_constraint,,,Regional risk.,main-guide-v1.md global or route-section prose,"Do not assume cave/dungeon entry is safe shelter for Alftand, Bleakcoast Cave, Bonechill Passage, Hob's Fall Cave, Yngvild, Benkongerike, Frossel, and other listed cold interiors.",pass_survival_constraint_represented,none,Found guide terms: cold gear; cold northern ruin,Source notes: SN-000118. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_cold_region,TB040-SURV-019,data/constraints/survival-mode-constraints.md,Cold and Regional Sequencing,Solstheim,survival_constraint,,,Regional risk / Dragonborn handoff.,main-guide-v1.md global or route-section prose,Do not begin broad Solstheim cleanup until the route can support repeated Raven Rock returns and cold-region travel.,pass_survival_constraint_represented,none,Found guide terms: solstheim; raven rock; hot food,Source notes: SN-000118; SN-000117. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_cold_region,TB040-SURV-020,data/constraints/survival-mode-constraints.md,Cold and Regional Sequencing,Freezing water and coastal swims,survival_constraint,,,Regional risk.,main-guide-v1.md global or route-section prose,Route should not use cold-water shortcuts unless explicitly prepared and safer than the land/ferry alternative.,pass_survival_constraint_represented,none,Found guide terms: icy reservoirs; hot food,Source notes: SN-000115; SN-000118. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_cold_region,TB040-SURV-021,data/constraints/survival-mode-constraints.md,Cold and Regional Sequencing,Long dungeons and enclosed worldspaces,survival_constraint,,,Route recommendation.,main-guide-v1.md global or route-section prose,"Large clears, Blackreach-style sweeps, and multi-objective dungeon loops should be staged as deliberate expedition blocks.",pass_survival_constraint_represented,none,Found guide terms: long dungeon chains; food; carry,Source notes: SN-000115; SN-000117; SN-000118. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_infrastructure,TB040-SURV-022,data/constraints/survival-mode-constraints.md,"Storage, Food, and Base Infrastructure",Inns,survival_constraint,,,Infrastructure.,main-guide-v1.md global or route-section prose,"Inns become formal route anchors for sleep, food, bounty pickup, rumors, and cold recovery.",pass_survival_constraint_represented,none,Found guide terms: inn; food; bed,Source notes: SN-000115; SN-000117; SN-000118. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_infrastructure,TB040-SURV-023,data/constraints/survival-mode-constraints.md,"Storage, Food, and Base Infrastructure",First approved safe storage,survival_constraint,,,Default selected / warning handoff.,main-guide-v1.md global or route-section prose,"TB-031D selected the storage/base defaults; TB-032 records warning triggers; TB-034 must still place exact purchase, verification, and route steps.",pass_survival_constraint_represented,none,Found guide terms: owned storage; breezehome,Source notes: SN-000117. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_infrastructure,TB040-SURV-024,data/constraints/survival-mode-constraints.md,"Storage, Food, and Base Infrastructure",City and AE homes,survival_constraint,,,Infrastructure / property handoff.,main-guide-v1.md global or route-section prose,"Homes are regional logistics nodes, not just collectibles. Their timing should be evaluated for Survival value as well as completion scope.",pass_survival_constraint_represented,none,Found guide terms: owned-home; sleep/storage,Source notes: SN-000117. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_infrastructure,TB040-SURV-025,data/constraints/survival-mode-constraints.md,"Storage, Food, and Base Infrastructure",Goldenhills Plantation,survival_constraint,,,Infrastructure / property handoff.,main-guide-v1.md global or route-section prose,"Strong candidate for early-mid Survival stabilization, but exact crop, staffing, and route timing remain property/economy decisions.",pass_survival_constraint_represented,none,"Found guide terms: goldenhills; food, bed, and income base",Source notes: SN-000117. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_infrastructure,TB040-SURV-026,data/constraints/survival-mode-constraints.md,"Storage, Food, and Base Infrastructure",Hearthfire homesteads,survival_constraint,,,Infrastructure / property handoff.,main-guide-v1.md global or route-section prose,"Homesteads are long-term Survival hubs; build/service timing should support travel, Master Architect, adoption, and material logistics without overloading carry weight.",pass_survival_constraint_represented,none,Found guide terms: hearthfire; materials,Source notes: SN-000117; SN-000116. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_infrastructure,TB040-SURV-027,data/constraints/survival-mode-constraints.md,"Storage, Food, and Base Infrastructure",Camping Supplies,survival_constraint,,,Infrastructure.,main-guide-v1.md global or route-section prose,"Use camping as emergency/restoration support for remote sweeps, not as the standard route sleep plan.",pass_survival_constraint_represented,none,Found guide terms: camping supplies; emergency support,Source notes: SN-000117; SN-000115. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_infrastructure,TB040-SURV-028,data/constraints/survival-mode-constraints.md,"Storage, Food, and Base Infrastructure","Adventurer's Backpacks, followers, pets, and horses",survival_constraint,,,Route recommendation / pet-mount handoff.,main-guide-v1.md global or route-section prose,Carry relief should be routed early enough to matter but not used to justify unsafe hoarding or unique-item loss.,pass_carry_relief_with_explicit_backpack_resolution,none_existing_route_resolution,Guide routes horse/pet carry support and keeps the Adventurer's Backpack set as an explicit NEEDS ROUTE RESOLUTION row.,Source notes: SN-000117; SN-000116. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
survival_infrastructure,TB040-SURV-029,data/constraints/survival-mode-constraints.md,"Storage, Food, and Base Infrastructure",Representative favors and work activities,survival_constraint,,,Default selected / counter policy complete.,main-guide-v1.md global or route-section prose,TB-031F resolved exact action/counter mechanics and trophy fallback policy; TB-034 placed the prototype steps; TB-035 moved the first work action into the first Whiterun city loop.,pass_survival_constraint_represented,none,Found guide terms: hulda; hard worker,Source notes: SN-000117; SN-000115; SN-000089; SN-000132. TB-040 uses existing source-backed Survival constraints; no broad gameplay research performed.
guide_section_logistics,TB040-SECT-001,drafts/final-guide/main-guide-v1.md,Setup and Save Baseline,Setup and Save Baseline,guide_section_preparation_scan,,,current_guide,Setup and Save Baseline,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-002,drafts/final-guide/main-guide-v1.md,"Helgen, Riverwood, and First Survival Loop","Helgen, Riverwood, and First Survival Loop",guide_section_preparation_scan,,,current_guide,"Helgen, Riverwood, and First Survival Loop","Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-003,drafts/final-guide/main-guide-v1.md,First Day in Whiterun,First Day in Whiterun,guide_section_preparation_scan,,,current_guide,First Day in Whiterun,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-004,drafts/final-guide/main-guide-v1.md,Bleak Falls Barrow and First Dragon,Bleak Falls Barrow and First Dragon,guide_section_preparation_scan,,,current_guide,Bleak Falls Barrow and First Dragon,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-005,drafts/final-guide/main-guide-v1.md,"Saadia, First Horse, Falkreath Mead, and Western Road Support","Saadia, First Horse, Falkreath Mead, and Western Road Support",guide_section_preparation_scan,,,current_guide,"Saadia, First Horse, Falkreath Mead, and Western Road Support","Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-006,drafts/final-guide/main-guide-v1.md,Rising Dead Early Activation,Rising Dead Early Activation,guide_section_preparation_scan,,,current_guide,Rising Dead Early Activation,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-007,drafts/final-guide/main-guide-v1.md,Guardian Stones Cache and Whiterun Farm Loop,Guardian Stones Cache and Whiterun Farm Loop,guide_section_preparation_scan,,,current_guide,Guardian Stones Cache and Whiterun Farm Loop,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-008,drafts/final-guide/main-guide-v1.md,Halted Stream and Silent Moons Level Gate,Halted Stream and Silent Moons Level Gate,guide_section_preparation_scan,,,current_guide,Halted Stream and Silent Moons Level Gate,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-009,drafts/final-guide/main-guide-v1.md,Goldenhills Farm and Rorikstead,Goldenhills Farm and Rorikstead,guide_section_preparation_scan,,,current_guide,Goldenhills Farm and Rorikstead,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-010,drafts/final-guide/main-guide-v1.md,Companions Entry,Companions Entry,guide_section_preparation_scan,,,current_guide,Companions Entry,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-011,drafts/final-guide/main-guide-v1.md,Beast Blood and the Silver Hand,Beast Blood and the Silver Hand,guide_section_preparation_scan,,,current_guide,Beast Blood and the Silver Hand,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-012,drafts/final-guide/main-guide-v1.md,"Falkreath Land, Lakeview Foundation, and Glenmoril Coven","Falkreath Land, Lakeview Foundation, and Glenmoril Coven",guide_section_preparation_scan,,,current_guide,"Falkreath Land, Lakeview Foundation, and Glenmoril Coven","Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-013,drafts/final-guide/main-guide-v1.md,Southern Warm Corridor,Southern Warm Corridor,guide_section_preparation_scan,,,current_guide,Southern Warm Corridor,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-014,drafts/final-guide/main-guide-v1.md,Hircine and Bloated Man's Grotto,Hircine and Bloated Man's Grotto,guide_section_preparation_scan,,,current_guide,Hircine and Bloated Man's Grotto,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-015,drafts/final-guide/main-guide-v1.md,First Riften Visit and Guild Doorway,First Riften Visit and Guild Doorway,guide_section_preparation_scan,,,current_guide,First Riften Visit and Guild Doorway,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-016,drafts/final-guide/main-guide-v1.md,"Goldenglow, Honningbrew, Solitude, and Snow Veil","Goldenglow, Honningbrew, Solitude, and Snow Veil",guide_section_preparation_scan,,,current_guide,"Goldenglow, Honningbrew, Solitude, and Snow Veil","Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-017,drafts/final-guide/main-guide-v1.md,"Riften Thaneship, Frost, and Rift Roads","Riften Thaneship, Frost, and Rift Roads",guide_section_preparation_scan,,,current_guide,"Riften Thaneship, Frost, and Rift Roads","Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-018,drafts/final-guide/main-guide-v1.md,Nightingale Armor Readiness Check,Nightingale Armor Readiness Check,guide_section_preparation_scan,,,current_guide,Nightingale Armor Readiness Check,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-019,drafts/final-guide/main-guide-v1.md,"Markarth, Nchuand-Zel, and Old Hroldan","Markarth, Nchuand-Zel, and Old Hroldan",guide_section_preparation_scan,,,current_guide,"Markarth, Nchuand-Zel, and Old Hroldan","Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-020,drafts/final-guide/main-guide-v1.md,"Markarth Prison, Daedric Rites, and Reach Redoubts","Markarth Prison, Daedric Rites, and Reach Redoubts",guide_section_preparation_scan,,,current_guide,"Markarth Prison, Daedric Rites, and Reach Redoubts","Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-021,drafts/final-guide/main-guide-v1.md,Arkngthamz and the First Aetherium Shards,Arkngthamz and the First Aetherium Shards,guide_section_preparation_scan,,,current_guide,Arkngthamz and the First Aetherium Shards,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-022,drafts/final-guide/main-guide-v1.md,Peryite's Shrine and Bthardamz,Peryite's Shrine and Bthardamz,guide_section_preparation_scan,,,current_guide,Peryite's Shrine and Bthardamz,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; food_healing; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
guide_section_logistics,TB040-SECT-023,drafts/final-guide/main-guide-v1.md,Whiterun Mephala Interlude,Whiterun Mephala Interlude,guide_section_preparation_scan,,,current_guide,Whiterun Mephala Interlude,"Route sections with travel, combat, cold, dungeon, or branch pressure should include overt prep/support cues.",pass_section_has_survival_logistics_cues,none,Detected logistics cue categories: rest; carry_storage; travel; save,"Automated scan for explicit rest, food/healing, carry/storage, travel, or save cues; this is a QA locator, not a combat simulation."
