audit_area,check_id,source_file,source_section,row_label,check_type,guide_locations,audit_status,recommended_action,evidence,notes
section_walkthrough,TB042-SECTION-018,drafts/final-guide/main-guide-v1.md,Nightingale Armor Readiness Check,Nightingale Armor Readiness Check,section_executability,Nightingale Armor Readiness Check,pass_section_executable,none,7 numbered steps; support cues found: rotating manual save; rest; sleep; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-019,drafts/final-guide/main-guide-v1.md,"Markarth, Nchuand-Zel, and Old Hroldan","Markarth, Nchuand-Zel, and Old Hroldan",section_executability,"Markarth, Nchuand-Zel, and Old Hroldan",pass_section_executable,none,36 numbered steps; support cues found: rotating manual save; food; rest; sleep; inn; storage; sell ordinary; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-020,drafts/final-guide/main-guide-v1.md,"Markarth Prison, Daedric Rites, and Reach Redoubts","Markarth Prison, Daedric Rites, and Reach Redoubts",section_executability,"Markarth Prison, Daedric Rites, and Reach Redoubts",pass_section_executable,none,48 numbered steps; support cues found: rotating manual save; hard save; food; rest; sleep; bed; inn.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-021,drafts/final-guide/main-guide-v1.md,Arkngthamz and the First Aetherium Shards,Arkngthamz and the First Aetherium Shards,section_executability,Arkngthamz and the First Aetherium Shards,pass_section_executable,none,12 numbered steps; support cues found: rotating manual save; food; healing; storage; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-022,drafts/final-guide/main-guide-v1.md,Peryite's Shrine and Bthardamz,Peryite's Shrine and Bthardamz,section_executability,Peryite's Shrine and Bthardamz,pass_section_executable,none,21 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; sleep; bed; inn.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-023,drafts/final-guide/main-guide-v1.md,Whiterun Mephala Interlude,Whiterun Mephala Interlude,section_executability,Whiterun Mephala Interlude,pass_section_executable,none,9 numbered steps; support cues found: rotating manual save; hard save; rest; inn; store; sell ordinary; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-024,drafts/final-guide/main-guide-v1.md,Windhelm Murder Investigation and White Phial,Windhelm Murder Investigation and White Phial,section_executability,Windhelm Murder Investigation and White Phial,pass_section_executable,none,29 numbered steps; support cues found: rotating manual save; hard save; food; healing; sleep; bed; inn; sell ordinary.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-025,drafts/final-guide/main-guide-v1.md,"High Hrothgar, Ustengrav, Morthal, and the Embassy","High Hrothgar, Ustengrav, Morthal, and the Embassy",section_executability,"High Hrothgar, Ustengrav, Morthal, and the Embassy",pass_section_executable,none,51 numbered steps; support cues found: rotating manual save; food; healing; rest; sleep; bed; inn; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-026,drafts/final-guide/main-guide-v1.md,Windhelm Follow-Up and Eastmarch Roads,Windhelm Follow-Up and Eastmarch Roads,section_executability,Windhelm Follow-Up and Eastmarch Roads,pass_section_executable,none,76 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; sleep; bed; inn.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-027,drafts/final-guide/main-guide-v1.md,"Solitude Coast, Dragon Bridge, Wild Horse, and Wolfskull","Solitude Coast, Dragon Bridge, Wild Horse, and Wolfskull",section_executability,"Solitude Coast, Dragon Bridge, Wild Horse, and Wolfskull",pass_section_executable,none,29 numbered steps; support cues found: rotating manual save; food; rest; sleep; bed; store; storage; sell ordinary.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-028,drafts/final-guide/main-guide-v1.md,"Bards College, Lost Library, and Instrument Roads","Bards College, Lost Library, and Instrument Roads",section_executability,"Bards College, Lost Library, and Instrument Roads",pass_section_executable,none,37 numbered steps; support cues found: rotating manual save; food; rest; sleep; bed; inn; store; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-029,drafts/final-guide/main-guide-v1.md,"Potema, Shield of Solitude, and Bone Wolf","Potema, Shield of Solitude, and Bone Wolf",section_executability,"Potema, Shield of Solitude, and Bone Wolf",pass_section_executable,none,21 numbered steps; support cues found: rotating manual save; hard save; sleep; bed; inn; store; storage; sell ordinary.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-030,drafts/final-guide/main-guide-v1.md,"Haafingar Caves, Volskygge, and Night Hunter","Haafingar Caves, Volskygge, and Night Hunter",section_executability,"Haafingar Caves, Volskygge, and Night Hunter",pass_section_executable,none,25 numbered steps; support cues found: rotating manual save; hard save; food; rest; sleep; bed; inn; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-031,drafts/final-guide/main-guide-v1.md,"Cicero, Aventus, and the Sanctuary Door","Cicero, Aventus, and the Sanctuary Door",section_executability,"Cicero, Aventus, and the Sanctuary Door",pass_section_executable,none,17 numbered steps; support cues found: rotating manual save; hard save; sleep; bed; inn; store; storage; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-032,drafts/final-guide/main-guide-v1.md,First Brotherhood Contracts and Muiri's Revenge,First Brotherhood Contracts and Muiri's Revenge,section_executability,First Brotherhood Contracts and Muiri's Revenge,pass_section_executable,none,18 numbered steps; support cues found: rotating manual save; bed; inn; storage; support stop.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-033,drafts/final-guide/main-guide-v1.md,"Whispers, Solitude Jobs, Nazir Contracts, and the Wedding Assassination","Whispers, Solitude Jobs, Nazir Contracts, and the Wedding Assassination",section_executability,"Whispers, Solitude Jobs, Nazir Contracts, and the Wedding Assassination",pass_section_executable,none,45 numbered steps; support cues found: rotating manual save; hard save; rest; inn; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-034,drafts/final-guide/main-guide-v1.md,"Security, Shadowmere, and the Brotherhood Endgame","Security, Shadowmere, and the Brotherhood Endgame",section_executability,"Security, Shadowmere, and the Brotherhood Endgame",pass_section_executable,none,48 numbered steps; support cues found: rotating manual save; hard save; rest; bed; inn; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-035,drafts/final-guide/main-guide-v1.md,"Dawnstar, Vaermina, and Cold-Weather Setup","Dawnstar, Vaermina, and Cold-Weather Setup",section_executability,"Dawnstar, Vaermina, and Cold-Weather Setup",pass_section_executable,none,24 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; sleep; bed; inn.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-036,drafts/final-guide/main-guide-v1.md,"Winterhold, College Entry, and Saarthal","Winterhold, College Entry, and Saarthal",section_executability,"Winterhold, College Entry, and Saarthal",pass_section_executable,none,40 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; bed; store; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-037,drafts/final-guide/main-guide-v1.md,The Black Star and Ilinalta's Deep,The Black Star and Ilinalta's Deep,section_executability,The Black Star and Ilinalta's Deep,pass_section_executable,none,9 numbered steps; support cues found: rotating manual save; hard save; healing; rest; sleep; store; storage; sell ordinary.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-038,drafts/final-guide/main-guide-v1.md,"Dawnstar, Pale Blade, and Heljarchen","Dawnstar, Pale Blade, and Heljarchen",section_executability,"Dawnstar, Pale Blade, and Heljarchen",pass_section_executable,none,54 numbered steps; support cues found: rotating manual save; hard save; food; rest; sleep; bed; inn; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-039,drafts/final-guide/main-guide-v1.md,Fellglow Keep and Good Intentions,Fellglow Keep and Good Intentions,section_executability,Fellglow Keep and Good Intentions,pass_section_executable,none,19 numbered steps; support cues found: rotating manual save; food; healing; storage; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-040,drafts/final-guide/main-guide-v1.md,Mzulft and the Winterhold Crisis,Mzulft and the Winterhold Crisis,section_executability,Mzulft and the Winterhold Crisis,pass_section_executable,none,19 numbered steps; support cues found: rotating manual save; food; healing; store; carry; hot food.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-041,drafts/final-guide/main-guide-v1.md,Labyrinthian and the Eye of Magnus,Labyrinthian and the Eye of Magnus,section_executability,Labyrinthian and the Eye of Magnus,pass_section_executable,none,22 numbered steps; support cues found: rotating manual save; food; healing; rest; inn; store; carry; hot food.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-042,drafts/final-guide/main-guide-v1.md,Gauldur Legend Finale,Gauldur Legend Finale,section_executability,Gauldur Legend Finale,pass_section_executable,none,16 numbered steps; support cues found: rotating manual save; food; healing; rest; store; storage; carry; support stop.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-043,drafts/final-guide/main-guide-v1.md,"College Errands, Arniel, Septimus, and Aetherium","College Errands, Arniel, Septimus, and Aetherium",section_executability,"College Errands, Arniel, Septimus, and Aetherium",pass_section_executable,none,24 numbered steps; support cues found: rotating manual save; hard save; rest; store; storage; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-044,drafts/final-guide/main-guide-v1.md,"Karthspire, Sky Haven, and Dragonbane","Karthspire, Sky Haven, and Dragonbane",section_executability,"Karthspire, Sky Haven, and Dragonbane",pass_section_executable,none,17 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; inn; store; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-045,drafts/final-guide/main-guide-v1.md,Nightingale Rewards and the Skeleton Key,Nightingale Rewards and the Skeleton Key,section_executability,Nightingale Rewards and the Skeleton Key,pass_section_executable,none,27 numbered steps; support cues found: rotating manual save; food; healing; rest; inn; store; storage; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-046,drafts/final-guide/main-guide-v1.md,"Viriya Fishing, Bronze Water, and Wave Breaker","Viriya Fishing, Bronze Water, and Wave Breaker",section_executability,"Viriya Fishing, Bronze Water, and Wave Breaker",pass_section_executable,none,31 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; inn; store; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-047,drafts/final-guide/main-guide-v1.md,Guild Restoration and Amulet of Articulation,Guild Restoration and Amulet of Articulation,section_executability,Guild Restoration and Amulet of Articulation,pass_section_executable,none,25 numbered steps; support cues found: rotating manual save; hard save; rest; sleep; bed; inn; store; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-048,drafts/final-guide/main-guide-v1.md,"Whiterun Property, Western Caves, Gray-Mane Rescue, and Onmund","Whiterun Property, Western Caves, Gray-Mane Rescue, and Onmund",section_executability,"Whiterun Property, Western Caves, Gray-Mane Rescue, and Onmund",pass_section_executable,none,22 numbered steps; support cues found: rotating manual save; hard save; rest; bed; store; storage; sell ordinary.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-049,drafts/final-guide/main-guide-v1.md,Civil War Stormcloak Branch,Civil War Stormcloak Branch,section_executability,Civil War Stormcloak Branch,pass_section_executable,none,18 numbered steps; support cues found: hard save; bed; inn.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-050,drafts/final-guide/main-guide-v1.md,Imperial Civil War,Imperial Civil War,section_executability,Imperial Civil War,pass_section_executable,none,27 numbered steps; support cues found: rotating manual save; hard save; rest; bed; inn; store; storage; sell ordinary.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-051,drafts/final-guide/main-guide-v1.md,Gildergreen Renewal After the War,Gildergreen Renewal After the War,section_executability,Gildergreen Renewal After the War,pass_section_executable,none,9 numbered steps; support cues found: rotating manual save; food; healing; rest; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-052,drafts/final-guide/main-guide-v1.md,"Blades Research, Blackreach, and the Fallen","Blades Research, Blackreach, and the Fallen",section_executability,"Blades Research, Blackreach, and the Fallen",pass_section_executable,none,45 numbered steps; support cues found: rotating manual save; hard save; food; healing; rest; bed; inn; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-053,drafts/final-guide/main-guide-v1.md,Paarthurnax and Blades Branch,Paarthurnax and Blades Branch,section_executability,Paarthurnax and Blades Branch,pass_section_executable,none,7 numbered steps; support cues found: rotating manual save; hard save; rest; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-054,drafts/final-guide/main-guide-v1.md,Dawnguard Fork and Volkihar Branch,Dawnguard Fork and Volkihar Branch,section_executability,Dawnguard Fork and Volkihar Branch,pass_section_executable,none,23 numbered steps; support cues found: rotating manual save; hard save; healing; rest; sleep; store.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-055,drafts/final-guide/main-guide-v1.md,"Fort Dawnguard Recruits, Prophet, and Lost Relics","Fort Dawnguard Recruits, Prophet, and Lost Relics",section_executability,"Fort Dawnguard Recruits, Prophet, and Lost Relics",pass_section_executable,none,22 numbered steps; support cues found: rotating manual save; hard save; inn.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-056,drafts/final-guide/main-guide-v1.md,Dawnguard Worldspaces,Dawnguard Worldspaces,section_executability,Dawnguard Worldspaces,pass_section_executable,none,38 numbered steps; support cues found: rotating manual save; food; healing; rest; sleep; inn; sell ordinary.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-057,drafts/final-guide/main-guide-v1.md,Volkihar Finale Branch Continuation,Volkihar Finale Branch Continuation,section_executability,Volkihar Finale Branch Continuation,pass_section_executable,none,11 numbered steps; support cues found: hard save.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-058,drafts/final-guide/main-guide-v1.md,"Companions Finale, Totems, and Beast-Blood Preservation","Companions Finale, Totems, and Beast-Blood Preservation",section_executability,"Companions Finale, Totems, and Beast-Blood Preservation",pass_section_executable,none,27 numbered steps; support cues found: rotating manual save; hard save; food; healing; sleep; bed; store; carry.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-059,drafts/final-guide/main-guide-v1.md,"Solstheim Entry, Raven Rock Core, and Frostmoon Rings","Solstheim Entry, Raven Rock Core, and Frostmoon Rings",section_executability,"Solstheim Entry, Raven Rock Core, and Frostmoon Rings",pass_section_executable,none,47 numbered steps; support cues found: rotating manual save; hard save; food; rest; sleep; bed; store; storage.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
section_walkthrough,TB042-SECTION-060,drafts/final-guide/main-guide-v1.md,Post-Frostmoon Vampire Lord Window,Post-Frostmoon Vampire Lord Window,section_executability,Post-Frostmoon Vampire Lord Window,pass_section_executable,none,11 numbered steps; support cues found: rotating manual save; food; healing; sleep; store; storage; hot food; cold gear.,"Simulated playtest verifies the section has a clear player start, numbered route steps, and logistics cues when the section contains travel, dungeon, combat, cold, or branch language."
