selection_id,selection_type,source_record_id,objective_id,name,subcategory,route_block,selection_status,selected_source,source_location,source_detail,route_timing,prerequisites_or_inputs,avoid_until,validation_owner,source_note_refs,notes
PROGSEL-000020,skill_book_copy,BOOKLOC-000099,OBJ-000838,Warrior,Block,G08,selected_default_copy_pending_route_validation,Driftshade Refuge,Driftshade Refuge,"Driftshade Refuge (Winterhold), near the fireplace in the boss's chamber",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000021,skill_book_copy,BOOKLOC-000104,OBJ-000839,"2920, Frostfall, v10",Conjuration,G06,selected_default_copy_pending_route_validation,Belyn Hlaalu's House,Belyn Hlaalu's House,"Belyn Hlaalu's House (Windhelm), upstairs behind the dresser",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000022,skill_book_copy,BOOKLOC-000109,OBJ-000840,"2920, Hearth Fire, v9",Conjuration,G03,selected_default_copy_pending_route_validation,640 ft SE of Angi's Camp,640 ft SE of Angi's Camp,640 ft SE of Angi's Camp (Falkreath Hold),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000023,skill_book_copy,BOOKLOC-000115,OBJ-000841,Liminal Bridges,Conjuration,G05,selected_default_copy_pending_route_validation,Broken Tower Redoubt,Broken Tower Redoubt,"Broken Tower Redoubt (The Reach), the topmost tower (the Briarheart's room)",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000024,skill_book_copy,BOOKLOC-000119,OBJ-000842,The Doors of Oblivion,Conjuration,G02,selected_default_copy_pending_route_validation,Fellglow Keep,Fellglow Keep,"Fellglow Keep (Whiterun Hold), podium in far west room",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000025,skill_book_copy,BOOKLOC-000124,OBJ-000843,The Warrior's Charge,Conjuration,G03,selected_default_copy_pending_route_validation,Brittleshin Pass,Brittleshin Pass,"Brittleshin Pass (Falkreath Hold), near the Arcane Enchanter",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000026,skill_book_copy,BOOKLOC-000130,OBJ-000844,A Hypothetical Treachery,Destruction,G06,selected_default_copy_pending_route_validation,Aretino Residence,Aretino Residence,"Aretino Residence (Windhelm), behind the bookshelf",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000027,skill_book_copy,BOOKLOC-000137,OBJ-000845,Horror of Castle Xyr,Destruction,G04,selected_default_copy_pending_route_validation,210 ft WSW of Darklight Tower,210 ft WSW of Darklight Tower,210 ft WSW of Darklight Tower (The Rift),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000028,skill_book_copy,BOOKLOC-000142,OBJ-000846,"Mystery of Talara, v3",Destruction,G08,selected_default_copy_pending_route_validation,Birna's Oddments,Birna's Oddments,"Birna's Oddments (Winterhold), upstairs on a dresser",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000029,skill_book_copy,BOOKLOC-000147,OBJ-000847,Response to Bero's Speech,Destruction,G03,selected_default_copy_pending_route_validation,Haemar's Cavern,Haemar's Cavern,"Haemar's Cavern (Falkreath Hold), on a desk near two dead bandits",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000030,skill_book_copy,BOOKLOC-000154,OBJ-000848,The Art of War Magic,Destruction,G04,selected_default_copy_pending_route_validation,470 ft N of Fallowstone Cave,470 ft N of Fallowstone Cave,470 ft N of Fallowstone Cave (The Rift),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000031,skill_book_copy,BOOKLOC-000158,OBJ-000849,A Tragedy in Black,Enchanting,G05,selected_default_copy_pending_route_validation,Bruca's Leap Redoubt,Bruca's Leap Redoubt,"Bruca's Leap Redoubt (The Reach), on the bookshelf",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000032,skill_book_copy,BOOKLOC-000164,OBJ-000850,Catalogue of Armor Enchantments,Enchanting,G08,selected_default_copy_pending_route_validation,The Brinehammer Below Deck,The Brinehammer Below Deck,The Brinehammer Below Deck (The Pale),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000033,skill_book_copy,BOOKLOC-000169,OBJ-000851,Catalogue of Weapon Enchantments,Enchanting,G07,selected_default_copy_pending_route_validation,Castle Dour,Castle Dour,"Castle Dour, Emperor's Tower (Solitude)",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000034,skill_book_copy,BOOKLOC-000176,OBJ-000852,Enchanter's Primer,Enchanting,G02,selected_default_copy_pending_route_validation,Carlotta Valentia's House,Carlotta Valentia's House,"Carlotta Valentia's House (Whiterun), on the bedroom floor",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000035,skill_book_copy,BOOKLOC-000182,OBJ-000853,Twin Secrets,Enchanting,G05,selected_default_copy_pending_route_validation,Calcelmo's Laboratory,Calcelmo's Laboratory,Calcelmo's Laboratory (Markarth),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000036,skill_book_copy,BOOKLOC-000187,OBJ-000854,"2920, MidYear, v6",Heavy Armor,G14,selected_default_copy_pending_route_validation,Blackreach,Blackreach,"Blackreach, over a stone table in the south zone",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000037,skill_book_copy,BOOKLOC-000192,OBJ-000855,Chimarvamidium,Heavy Armor,G05,selected_default_copy_pending_route_validation,Calcelmo's Tower,Calcelmo's Tower,Calcelmo's Tower (Markarth),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000038,skill_book_copy,BOOKLOC-000202,OBJ-000856,Hallgerd's Tale,Heavy Armor,G04,selected_default_copy_pending_route_validation,530 ft NNW of Fallowstone Cave,530 ft NNW of Fallowstone Cave,530 ft NNW of Fallowstone Cave (The Rift),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000039,skill_book_copy,BOOKLOC-000208,OBJ-000857,Orsinium and the Orcs,Heavy Armor,G02,selected_default_copy_pending_route_validation,Darkshade,Darkshade,"Darkshade (Whiterun Hold), second room, lying near the water",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000040,skill_book_copy,BOOKLOC-000214,OBJ-000858,The Knights of the Nine,Heavy Armor,G02,selected_default_copy_pending_route_validation,Guldun Rock Cave,Guldun Rock Cave,Guldun Rock Cave (Whiterun Hold),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000041,skill_book_copy,BOOKLOC-000219,OBJ-000859,"2920, Sun's Dawn, v2",Illusion,G14,selected_default_copy_pending_route_validation,Ansilvund Burial Chambers,Ansilvund Burial Chambers,"Ansilvund Burial Chambers, in the second section, large room with the hanging cages, on a pressurized pedestal",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000042,skill_book_copy,BOOKLOC-000224,OBJ-000860,Before the Ages of Man,Illusion,G04,selected_default_copy_pending_route_validation,Angarvunde Ruins,Angarvunde Ruins,"Angarvunde Ruins (The Rift), on a table with embalming tools",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000043,skill_book_copy,BOOKLOC-000230,OBJ-000861,Incident at Necrom,Illusion,G03,selected_default_copy_pending_route_validation,Bloodlet Throne,Bloodlet Throne,"Bloodlet Throne (Falkreath Hold), in the jail cell",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000044,skill_book_copy,BOOKLOC-000235,OBJ-000862,"Mystery of Talara, Part 4",Illusion,G05,selected_default_copy_pending_route_validation,Blind Cliff Bastion,Blind Cliff Bastion,"Blind Cliff Bastion (The Reach), on the platform near the large chest",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000045,skill_book_copy,BOOKLOC-000240,OBJ-000863,The Black Arts On Trial,Illusion,G03,selected_default_copy_pending_route_validation,Falkreath Jail,Falkreath Jail,Falkreath Jail (Falkreath),Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000046,skill_book_copy,BOOKLOC-000246,OBJ-000864,Ice and Chitin,Light Armor,G05,selected_default_copy_pending_route_validation,Guard Tower,Guard Tower,"Guard Tower (Markarth), in the northeast corner on a wooden table",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000047,skill_book_copy,BOOKLOC-000251,OBJ-000865,Jornibret's Last Dance,Light Armor,G04,selected_default_copy_pending_route_validation,Autumnwatch Tower,Autumnwatch Tower,"Autumnwatch Tower (The Rift), top floor of the small tower",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000048,skill_book_copy,BOOKLOC-000256,OBJ-000866,Rislav The Righteous,Light Armor,G06,selected_default_copy_pending_route_validation,160 ft W of Abandoned Prison,160 ft W of Abandoned Prison,"160 ft W of Abandoned Prison (Eastmarch), in the debris surrounding a cabin crushed by a fallen tree",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000049,skill_book_copy,BOOKLOC-000261,OBJ-000867,The Rear Guard,Light Armor,G07,selected_default_copy_pending_route_validation,Castle Dour,Castle Dour,"Castle Dour (Solitude), downstairs",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000050,skill_book_copy,BOOKLOC-000267,OBJ-000868,The Refugees,Light Armor,G14,selected_default_copy_pending_route_validation,Blind Cliff Cave,Blind Cliff Cave,"Blind Cliff Cave, in the collapsed tower",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000051,skill_book_copy,BOOKLOC-000272,OBJ-000869,Advances in Lockpicking,Lockpicking,G04,selected_default_copy_pending_route_validation,390 ft ENE of Angarvunde,390 ft ENE of Angarvunde,"390 ft ENE of Angarvunde (The Rift), next to a dead Redguard",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
PROGSEL-000052,skill_book_copy,BOOKLOC-000278,OBJ-000870,Proper Lock Design,Lockpicking,G05,selected_default_copy_pending_route_validation,Cidhna Mine,Cidhna Mine,"Cidhna Mine (Markarth), next to the Evidence Chest",Collect selected copy when its route block is safe; read after Scholar's Insight and high-skill timing check.,,Do not read before Scholar's Insight unless final route explicitly documents the tradeoff.,TB-031G/TB-033 route-access and final skill-state validation,SN-000051-skill-books-and-reader.md,One title-level skill book objective needs one selected copy; duplicate copies remain non-required alternates.
