alchemy_record_id,objective_id,ingredient_name,ingredient_variant,ingredient_section,source_content,source_page,source_id,form_id,effect_1,effect_2,effect_3,effect_4,value,weight,merchant_availability,garden_planting,source_note,content_scope_note,discovery_policy,route_treatment,citations,notes
ALCHEMY-000011,OBJ-002537,Blisterwort,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 04da25,Damage Stamina,Frenzy,"Restore Health (0.6x, 0.57x)",Fortify Smithing,12,0.2,Uncommon,4,Harvested from Blisterwort mushrooms found in various caves.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000012,OBJ-002538,Blue Butterfly Wing,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0727de,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting,2,0.1,Uncommon,not_listed,Collected by catching Blue Butterflies. Often found during daylight hours near flowering plants.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000013,OBJ-002539,Blue Dartwing,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0e4f0c,Resist Shock,Fortify Pickpocket,Restore Health,Fear,1,0.1,None (Uncommon),not_listed,Collected by catching Dragonflies found near rivers and streams below the snow line.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000014,OBJ-002540,Blue Mountain Flower,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 077e1c,Restore Health,Fortify Conjuration,Fortify Health,Damage Magicka Regen,2,0.1,Common,3,"Harvested from the blue variety of Mountain Flower, found throughout Skyrim.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000015,OBJ-002541,Boar Tusk,,standard,dragonborn,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,xx 01cd6f,"Fortify Stamina (1.25x, 5x, 7.5x)","Fortify Health (5x, 5.9x)",Fortify Block,Frenzy,20,0.5,not_listed,not_listed,Collected from dead bristlebacks and rieklings.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000016,OBJ-002542,Bone Meal,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 034cdd,Damage Stamina,Resist Fire,Fortify Conjuration,Ravage Stamina,5,0.5,Common,not_listed,"Collected from undead such as skeletons, and Draugr.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000017,OBJ-002543,Briar Heart,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 03ad61,Restore Magicka,Fortify Block (0.5x),Paralysis,Fortify Magicka,20,0.5,Rare,not_listed,Collected from Forsworn Briarhearts.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000018,OBJ-002544,Burnt Spriggan Wood,,standard,dragonborn,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,xx 01cd6e,Weakness to Fire,Fortify Alteration,Damage Magicka Regen,Slow,20,0.5,not_listed,not_listed,Collected from dead burnt spriggans.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000019,OBJ-002545,Butterfly Wing,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0727e0,Restore Health,Fortify Barter,Lingering Damage Stamina,Damage Magicka,3,0.1,Uncommon,not_listed,Collected from catching Monarch Butterflies. Often found during daylight hours near flowering plants.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000020,OBJ-002546,Canis Root,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 06abcb,Damage Stamina,Fortify One-handed,Fortify Marksman,Paralysis,5,0.1,Uncommon,4,"Harvested from Canis Root, found in The Rift and Hjaalmarch.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000021,OBJ-002547,Charred Skeever Hide,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 052695,Restore Stamina,Cure Disease (0.36x),Resist Poison,Restore Health,1,0.5,Uncommon,not_listed,"Food, collected from dead Skeevers found on roasting spits.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000022,OBJ-002548,Chaurus Eggs,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 03ad56,Weakness to Poison,Fortify Stamina,Damage Magicka,Invisibility,10,0.2,Uncommon,not_listed,"Collected from Chaurus Egg Sacs, found in Falmer caves.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000023,OBJ-002549,Chaurus Hunter Antennae,,standard,dawnguard,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,xx 0183b7,Damage Stamina,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting,2,0.1,None,not_listed,Collected from dead Chaurus Hunters and Chaurus Hunter Fledglings.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000024,OBJ-002550,Chicken's Egg,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 023d77,Resist Magic,Damage Magicka Regen,Waterbreathing,Lingering Damage Stamina,2,0.5,Uncommon,not_listed,"Food, harvested from Chicken nests in various farms.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000025,OBJ-002551,Creep Cluster,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0b2183,Restore Magicka,Damage Stamina Regen,Fortify Carry Weight,Weakness to Magic,1,0.2,Uncommon,5,"Harvested from Creep Cluster, found in the volcanic tundra of Eastmarch.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000026,OBJ-002552,Crimson Nirnroot,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0b701a,Damage Health (3x),Damage Stamina (3x),Invisibility,Resist Magic,10,0.2,None,not_listed,"Harvested from Crimson Nirnroot, found in Blackreach, needed for the quest A Return To Your Roots.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000027,OBJ-002553,Cyrodilic Spadetail,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 106e19,Damage Stamina,Fortify Restoration,Fear,Ravage Health,15,0.25,Common,not_listed,Collected by catching Cyrodilic Spadetail fish.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000028,OBJ-002554,Daedra Heart,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 03ad5b,Restore Health,Damage Stamina Regen,Damage Magicka,Fear,250,0.5,Rare,not_listed,Collected from dead Dremora.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000029,OBJ-002555,Deathbell,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0516c8,Damage Health (1.5x),Ravage Stamina (2.1x),Slow,Weakness to Poison,4,0.1,Rare,3,"Harvested from Deathbell, found in Hjaalmarch. Needed for the quests Few and Far Between and The Only Cure.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000030,OBJ-002556,Dragon's Tongue,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0889a2,Resist Fire,Fortify Barter,Fortify Illusion,Fortify Two-handed,5,0.1,Common,4,"Harvested from Dragon's Tongue, found in the volcanic tundra of Eastmarch.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000031,OBJ-002557,Dwarven Oil,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0f11c0,Weakness to Magic,Fortify Illusion,Regenerate Magicka,Restore Magicka,15,0.25,Uncommon,not_listed,"Collected from destroyed Dwarven Automatons, found in Dwarven Ruins.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000032,OBJ-002558,Ectoplasm,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 03ad63,Restore Magicka,Fortify Destruction (0.8x),Fortify Magicka,Damage Health,25,0.1,Uncommon,not_listed,Collected from undead Ghosts.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000033,OBJ-002559,Elves Ear,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 034d31,Restore Magicka,Fortify Marksman,Weakness to Frost,Resist Fire,10,0.1,Common,not_listed,Harvested from Dried Elves Ear bunches found in homes and camps.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000034,OBJ-002560,Emperor Parasol Moss,,standard,dragonborn,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,xx 01ff75,Damage Health (1.5x),Fortify Magicka,Regenerate Health,Fortify Two-handed,1,0.25,not_listed,not_listed,Harvested from emperor parasol moss plants near Tel Mithryn.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000035,OBJ-002561,Eye of Sabre Cat,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 06bc07,Restore Stamina,Ravage Health,Damage Magicka,Restore Health,2,0.1,None (Uncommon),not_listed,Collected from dead Sabre Cats.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000036,OBJ-002562,Falmer Ear,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 03ad5d,Damage Health,Frenzy,Resist Poison,Fortify Lockpicking,10,0.2,Uncommon,not_listed,Collected from dead Falmer.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000037,OBJ-002563,Felsaad Tern Feathers,,standard,dragonborn,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,xx 03cd8e,Restore Health,Fortify Light Armor,Cure Disease,Resist Magic,15,0.1,not_listed,not_listed,Collected from dead Felsaad terns.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000038,OBJ-002564,Fire Salts,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 03ad5e,Weakness to Frost,Resist Fire,Restore Magicka,Regenerate Magicka,50,0.25,Rare,not_listed,"Collected from dead Flame Atronachs, a type of daedra. Needed for the quest Stoking the Flames.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000039,OBJ-002565,Fly Amanita,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 04da00,Resist Fire,Fortify Two-handed,Frenzy,Regenerate Stamina,2,0.1,Uncommon,4,"Harvested from Fly Amanita mushrooms, found in various caves.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000040,OBJ-002566,Frost Mirriam,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 034d32,Resist Frost,Fortify Sneak,Ravage Magicka,Damage Stamina Regen,1,0.1,Uncommon,not_listed,Harvested from Dried Frost Mirriam bunches found in homes and camps.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000041,OBJ-002567,Frost Salts,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 03ad5f,Weakness to Fire,Resist Frost,Restore Magicka,Fortify Conjuration,100,0.25,Rare,not_listed,"Collected from dead Frost Atronachs, a type of daedra. One is needed for the quest Dravynea's Frost Salts.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000042,OBJ-002568,Garlic,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 034d22,Resist Poison,Fortify Stamina,Regenerate Magicka,Regenerate Health,1,0.25,Common,not_listed,Food. Can also be harvested from Garlic Braids.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000043,OBJ-002569,Giant Lichen,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 07e8c1,Weakness to Shock,Ravage Health,Weakness to Poison,Restore Magicka,5,0.25,Uncommon,4,"Harvested from Giant Lichen, found in Hjaalmarch.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000044,OBJ-002570,Giant's Toe,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 03ad64,Damage Stamina,"Fortify Health (5x, 5.9x)",Fortify Carry Weight,Damage Stamina Regen,20,1,Rare,not_listed,"Collected from dead Giants, which can be found in Giant Camps.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000045,OBJ-002571,Gleamblossom,,standard,dawnguard,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,xx 00b097,Resist Magic,Fear,Regenerate Health,Paralysis,5,0.1,None,not_listed,Harvested from the plant of the same name.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000046,OBJ-002572,Glow Dust,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 03ad73,Damage Magicka,Damage Magicka Regen,Fortify Destruction,Resist Shock,20,0.5,Uncommon,not_listed,Collected from dead Wisps and Wispmothers.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000047,OBJ-002573,Glowing Mushroom,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 07ee01,Resist Shock,Fortify Destruction,Fortify Smithing,Fortify Health,5,0.2,None,5,"Harvested from Glowing Mushrooms, found in various caves.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000048,OBJ-002574,Grass Pod,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 083e64,Resist Poison,Ravage Magicka,Fortify Alteration,Restore Magicka,1,0.1,Uncommon,3,"Harvested from Spiky Grass, found in northern regions of Skyrim.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000049,OBJ-002575,Hagraven Claw,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 06b689,Resist Magic,Lingering Damage Magicka,Fortify Enchanting,Fortify Barter,20,0.25,Rare,not_listed,Collected from dead Hagravens.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000050,OBJ-002576,Hagraven Feathers,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 03ad66,Damage Magicka,Fortify Conjuration,Frenzy,Weakness to Shock,20,0.1,Rare,not_listed,Collected from dead Hagravens. Can also be found scattered around their sleeping areas.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000051,OBJ-002577,Hanging Moss,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 057f91,Damage Magicka,Fortify Health,Damage Magicka Regen,Fortify One-handed,1,0.25,Uncommon,not_listed,Harvested from Hanging Moss.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000052,OBJ-002578,Hawk Beak,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0e7ebc,Restore Stamina,Resist Frost,Fortify Carry Weight,Resist Shock,15,0.25,Uncommon,not_listed,Collected from dead Hawks.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000053,OBJ-002579,Hawk Feathers,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0e7ed0,Cure Disease (0.36x),Fortify Light Armor,Fortify One-handed,Fortify Sneak,15,0.1,Uncommon,not_listed,Collected from dead Hawks.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000054,OBJ-002580,Hawk's Egg,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,xx 00f1cc,Resist Magic,Damage Magicka Regen,Waterbreathing,Lingering Damage Stamina,5,0.5,None,not_listed,Harvested from Hawk nests.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000055,OBJ-002581,Histcarp,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 106e18,Restore Stamina,Fortify Magicka,Damage Stamina Regen,Waterbreathing,6,0.25,Common,not_listed,Collected by catching Histcarp fish.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000056,OBJ-002582,Honeycomb,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 0b08c5,Restore Stamina,Fortify Block (0.5x),Fortify Light Armor,Ravage Stamina,5,1,None (Common),not_listed,Food. Collected from beehives.,,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
ALCHEMY-000057,OBJ-002583,Human Flesh,,standard,base_game,https://en.uesp.net/wiki/Skyrim:Ingredients,SRC-000294,00 1016b3,Damage Health,Paralysis,Restore Magicka,Fortify Sneak,1,0.25,None,not_listed,"Cannot be harvested or collected; with the Dawnguard add-on installed, several respawning samples can be found in Volkihar Keep.",,discover_all_four_effects,source_listed_ingredient_effects,SN-000084-alchemy-ingredient-effect-discovery.md,"Source-listed ingredient effect record; exact acquisition copy, recipe sequence, and route timing deferred."
