merchant_investment_record_id,objective_id,merchant_name,store_name,town_or_route,hold,source_content,merchant_type,base_gold,invest_status,master_trader_status,investment_policy,availability_notes,source_page,source_id,citations,notes
MERINV-000023,OBJ-002734,Balimund (Asbjorn Fire-Tamer),The Scorched Hammer,Riften,The Rift,base_game,Blacksmith,1000,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000024,OBJ-002735,Bersi Honey-Hand (Drifa),Pawned Prawn,Riften,The Rift,base_game,General,750,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000025,,Brand-Shei,Marketplace Stall,Riften,The Rift,base_game,General,750,bugged_unofficial_patch_only,available,excluded_unofficial_patch_only,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000026,OBJ-002736,Elgrim; Hafjorg,Elgrim's Elixirs,Riften,The Rift,base_game,Apothecary,500,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000027,,Grelka,Marketplace Stall,Riften,The Rift,base_game,General,750,bugged_unofficial_patch_only,available,excluded_unofficial_patch_only,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000028,,Madesi,Marketplace Stall,Riften,The Rift,base_game,Jeweler,750,bugged_unofficial_patch_only,not_investable,excluded_unofficial_patch_only,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000029,,Marise Aravel,Marketplace Stall,Riften,The Rift,base_game,General,50,bugged_unofficial_patch_only,not_investable,excluded_unofficial_patch_only,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000030,OBJ-002737,Wylandriah,in Mistveil Keep,Riften,The Rift,base_game,Spells,1000,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000031,,Filnjar,Filnjar's House,Shor's Stone,The Rift,base_game,Blacksmith,500,bugged_unofficial_patch_only,available,excluded_unofficial_patch_only,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000032,OBJ-002738,Florentius Baenius DG,,Fort Dawnguard DG,The Rift,dawnguard,"Apothecary, Spells",500,available,available,main_route_investment,Hostile to vampires,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000033,OBJ-002739,Glover Mallory,Glover Mallory's House,Raven Rock,Solstheim,dragonborn,Blacksmith,2000,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000034,,Blacksmith CC,Ashfall's Tear CC,Ashfall's Tear CC,Solstheim,ae_creation,Blacksmith,2130,unknown_needs_validation,available,needs_validation_unknown_ae,Only appears if you side with the Tribunal Temple during Her Word Against Theirs,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment status as unknown; validate official PS4 AE behavior before routing.
MERINV-000035,,Caretaker Ineril CC,Ashfall's Tear CC,Ashfall's Tear CC,Solstheim,ae_creation,General,1500,unknown_needs_validation,available,needs_validation_unknown_ae,Only appears after you give one of the translated Propaganda Letters to Geldis Sadri during Her Word Against Theirs,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment status as unknown; validate official PS4 AE behavior before routing.
MERINV-000036,,Curate Melita CC,Ashfall's Tear CC,Ashfall's Tear CC,Solstheim,ae_creation,Apothecary,2000,unknown_needs_validation,available,needs_validation_unknown_ae,Only available if you set her free during Careless Curation,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment status as unknown; validate official PS4 AE behavior before routing.
MERINV-000037,,Priest Drureth CC,Ashfall's Tear CC,Ashfall's Tear CC,Solstheim,ae_creation,Apothecary,2000,unknown_needs_validation,available,needs_validation_unknown_ae,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment status as unknown; validate official PS4 AE behavior before routing.
MERINV-000038,OBJ-002740,Alvor,Alvor and Sigrid's House,Riverwood,Whiterun Hold,base_game,Blacksmith,500,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000039,OBJ-002741,Lucan Valerius (Camilla Valerius),Riverwood Trader,Riverwood,Whiterun Hold,base_game,"General; sells Blue Mage Robes , several Spell Tomes",750,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000040,OBJ-002742,Adrianne Avenicci (Outside),Warmaiden's,Whiterun,Whiterun Hold,base_game,Blacksmith,1000,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000041,OBJ-002743,Adrianne Avenicci; Ulfberth War-Bear,Warmaiden's,Whiterun,Whiterun Hold,base_game,Blacksmith,1000,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000042,,Anoriath,Marketplace Stall,Whiterun,Whiterun Hold,base_game,Innkeeper,50,bugged_unofficial_patch_only,available,excluded_unofficial_patch_only,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000043,OBJ-002744,Arcadia,Arcadia's Cauldron,Whiterun,Whiterun Hold,base_game,Apothecary,500,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000044,OBJ-002745,Belethor,Belethor's General Goods,Whiterun,Whiterun Hold,base_game,General,750,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000045,,Elrindir,The Drunken Huntsman,Whiterun,Whiterun Hold,base_game,"Armor , Arrows , Food , Tools , Weapons",750,bugged_unofficial_patch_only,available,excluded_unofficial_patch_only,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source table marks investment as bugged without the Unofficial Patch; do not route under official PS4 AE policy.
MERINV-000046,OBJ-002746,Farengar Secret-Fire,Dragonsreach,Whiterun,Whiterun Hold,base_game,Spells,500,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000047,OBJ-002747,Birna,Birna's Oddments,Winterhold,Winterhold,base_game,General,750,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000048,OBJ-002748,Ahkari,Dawnstar or Riften,Dawnstar or Riften,Not Specific to One Hold,base_game,General; Sells Moon Sugar and Skooma,750,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000049,OBJ-002749,Ma'dran,Solitude or Windhelm,Solitude or Windhelm,Not Specific to One Hold,base_game,General; Sells Moon Sugar and Skooma,750,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
MERINV-000050,OBJ-002750,Ri'saad,Markarth or Whiterun,Markarth or Whiterun,Not Specific to One Hold,base_game,General; Sells Moon Sugar and Skooma,750,available,available,main_route_investment,,https://en.uesp.net/wiki/Skyrim:Merchants,SRC-000296,SN-000085-merchant-investment-scope.md,Source-listed checked Invest row; final route timing and NPC safety validation deferred.
