property_detail_id,parent_objective_id,property_name,property_group,detail_type,detail_name,source_content,worldspace,region,hold,location,prerequisite_or_trigger,acquisition_or_build_method,cost_or_materials,service_or_npc_dependency,feature_summary,safe_storage_status,display_or_collection_relevance,family_support,survival_mode_relevance,route_treatment,source_id,citations,notes
PROPDET-000011,OBJ-001920,Breezehome,city_home,purchasable_upgrade,Loft decorations,base_game,Skyrim,Whiterun Hold,Whiterun,Whiterun | Breezehome,,Purchase from Proventus Avenicci or Brill when available,200 gold,City steward: Proventus Avenicci or Brill,"Adds chairs, cupboard, table, weapon plaque, wall decorations, and rug.",source_lists_storage,Weapon plaque,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000012,OBJ-001920,Breezehome,city_home,purchasable_upgrade,Child's Bedroom,base_game,Skyrim,Whiterun Hold,Whiterun,Whiterun | Breezehome,,Purchase from Proventus Avenicci or Brill when available,250 gold,City steward: Proventus Avenicci or Brill,"Hearthfire-only option; replaces the alchemy laboratory and adds two child beds, chests, shelf, practice dummy, decorations, and rug.",source_lists_storage,,Supports two adopted children if chosen.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",mutually_exclusive_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000013,OBJ-001920,Breezehome,city_home,purchasable_upgrade,Housecarl's Quarters,base_game,Skyrim,Whiterun Hold,Whiterun,Whiterun | Breezehome,,Purchase from Proventus Avenicci or Brill when available,Become Thane of Whiterun,City steward: Proventus Avenicci or Brill,"Adds owned single bed, dresser, end table, and rug.",source_lists_storage,,Housecarl room for Lydia.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",thane_service_unlock,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000014,OBJ-001921,Honeyside,city_home,purchasable_upgrade,Bedroom,base_game,Skyrim,The Rift,Riften,Riften | Honeyside,,Purchase from Anuriel or Hemming Black-Briar when available,600 gold,City steward: Anuriel or Hemming Black-Briar,"Adds bed, wardrobe, chest, table, end tables, bookshelf, weapon plaque, mounted decorations, and rugs.",source_lists_storage,Bookshelf; weapon plaque,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000015,OBJ-001921,Honeyside,city_home,purchasable_upgrade,Kitchen,base_game,Skyrim,The Rift,Riften,Riften | Honeyside,,Purchase from Anuriel or Hemming Black-Briar when available,500 gold,City steward: Anuriel or Hemming Black-Briar,"Adds cooking pot, storage furniture, shield plaque, mounted decorations, harvestables, fish, and animals.",source_lists_storage,Shield plaque,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000016,OBJ-001921,Honeyside,city_home,purchasable_upgrade,Alchemy Laboratory,base_game,Skyrim,The Rift,Riften,Riften | Honeyside,,Purchase from Anuriel or Hemming Black-Briar when available,1000 gold,City steward: Anuriel or Hemming Black-Briar,"Adds alchemy lab, bookshelf, shelves, table, wall shelf, planter, and rugs.",source_lists_storage,Bookshelf,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000017,OBJ-001921,Honeyside,city_home,purchasable_upgrade,Enchanting Area,base_game,Skyrim,The Rift,Riften,Riften | Honeyside,,Purchase from Anuriel or Hemming Black-Briar when available,1000 gold,City steward: Anuriel or Hemming Black-Briar,"Adds arcane enchanter, weapon rack, weapon plaques, mannequins, table, wall shelf, banners, and rugs.",source_lists_storage,Weapon rack; weapon plaques; mannequins,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",mutually_exclusive_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000018,OBJ-001921,Honeyside,city_home,purchasable_upgrade,Garden,base_game,Skyrim,The Rift,Riften,Riften | Honeyside,,Purchase from Anuriel or Hemming Black-Briar when available,800 gold,City steward: Anuriel or Hemming Black-Briar,"Adds chickens, wheelbarrow, and harvestable plants.",needs_validation_later,,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000019,OBJ-001921,Honeyside,city_home,purchasable_upgrade,Porch,base_game,Skyrim,The Rift,Riften,Riften | Honeyside,,Purchase from Anuriel or Hemming Black-Briar when available,400 gold,City steward: Anuriel or Hemming Black-Briar,"Adds tanning rack, Fishing Supplies CC, fishing boat, rods, rugs, chairs, table, fish barrels, and harvestable salmon.",needs_validation_later,,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000020,OBJ-001921,Honeyside,city_home,purchasable_upgrade,Child's Bedroom,base_game,Skyrim,The Rift,Riften,Riften | Honeyside,,Purchase from Anuriel or Hemming Black-Briar when available,550 gold,City steward: Anuriel or Hemming Black-Briar,Hearthfire-only option; replaces the enchanting laboratory; UESP notes it can be switched back and forth at will.,source_lists_storage,,Supports two adopted children if chosen.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",mutually_exclusive_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000021,OBJ-001921,Honeyside,city_home,purchasable_upgrade,Housecarl's Quarters,base_game,Skyrim,The Rift,Riften,Riften | Honeyside,,Purchase from Anuriel or Hemming Black-Briar when available,Become Thane of the Rift,City steward: Anuriel or Hemming Black-Briar,"Adds owned bed, wardrobe, dresser, end table, chair, table, wall shelf, and rugs.",source_lists_storage,,Housecarl room for Iona.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",thane_service_unlock,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000022,OBJ-001922,Vlindrel Hall,city_home,purchasable_upgrade,Bedroom furnishings,base_game,Skyrim,The Reach,Markarth,Markarth | Vlindrel Hall,,Purchase from Raerek or Reburrus Quintilius when available,800 gold,City steward: Raerek or Reburrus Quintilius,"Adds double bed, chest, cupboards, wardrobes, shelf stands, shield plaque, dagger-rack display cases, table, chairs, dresser, wall shelf, and rugs.",source_lists_storage,Shield plaque; dagger-rack display cases,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000023,OBJ-001922,Vlindrel Hall,city_home,purchasable_upgrade,Living room furnishings,base_game,Skyrim,The Reach,Markarth,Markarth | Vlindrel Hall,,Purchase from Raerek or Reburrus Quintilius when available,900 gold,City steward: Raerek or Reburrus Quintilius,"Adds chairs, tables, dresser, cupboard, bookshelves, shelf stands, dagger-rack display case, and rugs.",source_lists_storage,Bookshelves; dagger-rack display case,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000024,OBJ-001922,Vlindrel Hall,city_home,purchasable_upgrade,Alchemy laboratory,base_game,Skyrim,The Reach,Markarth,Markarth | Vlindrel Hall,,Purchase from Raerek or Reburrus Quintilius when available,1000 gold,City steward: Raerek or Reburrus Quintilius,"Adds alchemy lab, wall shelves, chair, stool, rug, barrels, harvestable plants, and animals; replaced by Child's Bedroom under Hearthfire.",source_lists_storage,,No child beds with this option.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",mutually_exclusive_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000025,OBJ-001922,Vlindrel Hall,city_home,purchasable_upgrade,Enchanting laboratory,base_game,Skyrim,The Reach,Markarth,Markarth | Vlindrel Hall,,Purchase from Raerek or Reburrus Quintilius when available,1000 gold,City steward: Raerek or Reburrus Quintilius,"Adds arcane enchanter, weapon plaques, wall shelf, shelf stands, weapon racks, shield plaques, mannequin, and rug.",source_lists_storage,Weapon plaques; weapon racks; shield plaques; mannequin,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000026,OBJ-001922,Vlindrel Hall,city_home,purchasable_upgrade,Entrance hall,base_game,Skyrim,The Reach,Markarth,Markarth | Vlindrel Hall,,Purchase from Raerek or Reburrus Quintilius when available,500 gold,City steward: Raerek or Reburrus Quintilius,Adds rugs and harvestable plants.,needs_validation_later,,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000027,OBJ-001922,Vlindrel Hall,city_home,purchasable_upgrade,Child's Bedroom,base_game,Skyrim,The Reach,Markarth,Markarth | Vlindrel Hall,,Purchase from Raerek or Reburrus Quintilius when available,700 gold,City steward: Raerek or Reburrus Quintilius,Hearthfire-only option; replaces the Alchemy Lab and is repeatably reversible.,source_lists_storage,,Supports two adopted children if chosen.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",mutually_exclusive_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000028,OBJ-001922,Vlindrel Hall,city_home,purchasable_upgrade,Housecarl's Quarters,base_game,Skyrim,The Reach,Markarth,Markarth | Vlindrel Hall,,Purchase from Raerek or Reburrus Quintilius when available,Become Thane of the Reach,City steward: Raerek or Reburrus Quintilius,"Adds bed, table, chair, dresser, cupboard, and rugs.",source_lists_storage,,Housecarl room for Argis the Bulwark.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",thane_service_unlock,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000029,OBJ-001923,Hjerim,city_home,purchasable_upgrade,Bedroom furnishings,base_game,Skyrim,Eastmarch,Windhelm,Windhelm | Hjerim,,Purchase from Jorleif when available,1000 gold,City steward: Jorleif,"Adds bed, chairs, table, wardrobes, chest, end tables, bookshelf, shelf stands, display cases, and shield plaque.",source_lists_storage,Bookshelf; display cases; shield plaque,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000030,OBJ-001923,Hjerim,city_home,purchasable_upgrade,Kitchen furnishings,base_game,Skyrim,Eastmarch,Windhelm,Windhelm | Hjerim,,Purchase from Jorleif when available,1000 gold,City steward: Jorleif,"Adds cooking pot, shelves, bookshelves, shelf stands, harvestable plants, and animals.",source_lists_storage,Bookshelf,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000031,OBJ-001923,Hjerim,city_home,purchasable_upgrade,Living room,base_game,Skyrim,Eastmarch,Windhelm,Windhelm | Hjerim,,Purchase from Jorleif when available,1500 gold,City steward: Jorleif,"Adds bookshelf, wardrobes, tables, chairs, barrel, benches, and shelf stands.",source_lists_storage,Bookshelf,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000032,OBJ-001923,Hjerim,city_home,purchasable_upgrade,Alchemy laboratory,base_game,Skyrim,Eastmarch,Windhelm,Windhelm | Hjerim,,Purchase from Jorleif when available,1500 gold,City steward: Jorleif,Adds alchemy lab and shelf stand.,source_lists_storage,,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000033,OBJ-001923,Hjerim,city_home,purchasable_upgrade,Enchanting laboratory,base_game,Skyrim,Eastmarch,Windhelm,Windhelm | Hjerim,,Purchase from Jorleif when available,1500 gold,City steward: Jorleif,"Adds arcane enchanter, weapon plaques, bookshelf, and shelf stands.",source_lists_storage,Weapon plaques; bookshelf,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000034,OBJ-001923,Hjerim,city_home,purchasable_upgrade,Armory,base_game,Skyrim,Eastmarch,Windhelm,Windhelm | Hjerim,,Purchase from Jorleif when available,2000 gold,City steward: Jorleif,"Adds display cases, mannequins, weapon rack, weapon plaques, and shield plaque.",source_lists_storage,Display cases; mannequins; weapon rack; weapon plaques; shield plaque,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000035,OBJ-001923,Hjerim,city_home,purchasable_upgrade,Clean up that murderer's mess,base_game,Skyrim,Eastmarch,Windhelm,Windhelm | Hjerim,,Purchase from Jorleif when available,500 gold,City steward: Jorleif,"Removes bones, blood stains, a chest, and sacrificial altar; UESP notes this must be considered before living room furnishing.",not_applicable,,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",warning_deferred,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000036,OBJ-001923,Hjerim,city_home,purchasable_upgrade,Child's Bedroom,base_game,Skyrim,Eastmarch,Windhelm,Windhelm | Hjerim,,Purchase from Jorleif when available,1250 gold,City steward: Jorleif,Hearthfire-only option; creates a room in the hall outside the hidden enchanting/alchemy room.,source_lists_storage,,Supports two adopted children if chosen.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000037,OBJ-001923,Hjerim,city_home,purchasable_upgrade,Housecarl's Quarters,base_game,Skyrim,Eastmarch,Windhelm,Windhelm | Hjerim,,Purchase from Jorleif when available,Become Thane of Eastmarch,City steward: Jorleif,"Adds bed, dresser, wardrobe, chair, table, and rug.",source_lists_storage,,Housecarl room for Calder.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",thane_service_unlock,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000038,OBJ-001924,Proudspire Manor,city_home,purchasable_upgrade,Bedroom furnishings,base_game,Skyrim,Haafingar,Solitude,Solitude | Proudspire Manor,,Purchase from Falk Firebeard when available,2000 gold,City steward: Falk Firebeard,"Adds wardrobes, weapon rack, end table, bed, chest, safe, bookshelf, and chair.",source_lists_storage,Weapon rack; bookshelf; Stone of Barenziah route synchronization,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000039,OBJ-001924,Proudspire Manor,city_home,purchasable_upgrade,Kitchen furnishings,base_game,Skyrim,Haafingar,Solitude,Solitude | Proudspire Manor,,Purchase from Falk Firebeard when available,1500 gold,City steward: Falk Firebeard,"Adds cupboard, bookshelf, cooking pot, and chairs.",source_lists_storage,Bookshelf,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000040,OBJ-001924,Proudspire Manor,city_home,purchasable_upgrade,Living room,base_game,Skyrim,Haafingar,Solitude,Solitude | Proudspire Manor,,Purchase from Falk Firebeard when available,2000 gold,City steward: Falk Firebeard,"Adds shelves, cupboard, chairs, bench, upstairs chairs, bookshelf, and storage shelves.",source_lists_storage,Bookshelf,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000041,OBJ-001924,Proudspire Manor,city_home,purchasable_upgrade,Alchemy station,base_game,Skyrim,Haafingar,Solitude,Solitude | Proudspire Manor,,Purchase from Falk Firebeard when available,2500 gold,City steward: Falk Firebeard,"Adds alchemy lab, bookshelf, shelving units, table, firepit, ingredient rack, wall shelf, and rugs.",source_lists_storage,Bookshelf,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000042,OBJ-001924,Proudspire Manor,city_home,purchasable_upgrade,Enchanting station,base_game,Skyrim,Haafingar,Solitude,Solitude | Proudspire Manor,,Purchase from Falk Firebeard when available,2500 gold,City steward: Falk Firebeard,"Adds arcane enchanter, weapon plaques, shield plaques, mannequins, bookshelf, wall shelf, soul gem holders, chairs, and potted plant.",source_lists_storage,Weapon plaques; shield plaques; mannequins; bookshelf,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000043,OBJ-001924,Proudspire Manor,city_home,purchasable_upgrade,Patio furnishings,base_game,Skyrim,Haafingar,Solitude,Solitude | Proudspire Manor,,Purchase from Falk Firebeard when available,500 gold,City steward: Falk Firebeard,Adds chairs and potted plant.,not_applicable,,,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
PROPDET-000044,OBJ-001924,Proudspire Manor,city_home,purchasable_upgrade,Child's Bedroom,base_game,Skyrim,Haafingar,Solitude,Solitude | Proudspire Manor,,Purchase from Falk Firebeard when available,3000 gold,City steward: Falk Firebeard,Hearthfire-only option; creates a room next to the master bedroom.,source_lists_storage,,Supports two adopted children if chosen.,"City-home furnishing may affect storage, crafting, family beds, and regional rest points.",purchasable_upgrade,SRC-000063,SN-000074-property-city-and-severin-detail-expansion.md,Exact purchase timing and any bug mitigation remain deferred to property/economy/conflict passes.
