objective_id,objective_name,category,route_placement,routing_rigidity,route_block,disposition,source_corridor,candidate_status,route_index_status,prototype_status,gate_status,constraint_count,constraint_types,hard_level_gate,leveled_reward_threshold,threshold_trigger,parent_objective_id,parent_objective_name,parent_route_block,deferred_to,reason,notes
OBJ-000011,The Throat of the World,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000012,Elder Knowledge,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,constraint_backed_needs_review,dependency_anchor_pending,hard_gate,1,trophy_dependency,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000013,Alduin's Bane,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000014,The Fallen,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_hard_save,1,trophy_dependency,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000015,The World-Eater's Eyrie,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000016,Sovngarde,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000017,Dragonslayer,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,constraint_backed_needs_review,dependency_anchor_pending,hard_gate,1,trophy_dependency,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000018,Season Unending,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,ready_for_route_pass,anchored_window,none,0,,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000019,Paarthurnax,quest,branch_route,branch_only,,branch_deferred,,no_route_candidate_data,constraint_backed_needs_review,held_branch_deferred,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-034/TB-037,Branch-exclusive row; use the TB-029 branch prototype; TB-034 places branch steps and TB-037 validates reload/canonical restoration.,Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000020,Take Up Arms,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,hard_gate,1,trophy_dependency,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000021,Proving Honor,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,ready_for_route_pass,anchored_window,none,0,,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000022,The Silver Hand,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,hard_gate,1,trophy_dependency,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000023,Blood's Honor,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,ready_for_route_pass,anchored_window,none,0,,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000024,Purity of Revenge,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,ready_for_route_pass,anchored_window,none,0,,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000025,Glory of the Dead,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,hard_gate,1,trophy_dependency,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000026,Companions Required Radiant Gates,radiant,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,planning,1,radiant_boundary,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000027,College Objective Quest,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000028,First Lessons,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,constraint_backed_needs_review,dependency_anchor_pending,hard_gate,1,trophy_dependency,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000029,Under Saarthal,quest,main_route,fixed_late,G09,route_block,,no_route_candidate_data,ready_for_route_pass,held_hard_gate,leveled_reward,0,,,Level 36+,read_or_exterior_spawn,OBJ-000029,Under Saarthal,G09,level_36_linked_dungeon_loop,Level/reward-governed row; preserve the mapped threshold and trigger before final route prose.,Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000030,Hitting the Books,quest,main_route,fixed_late,G08,route_block,,no_route_candidate_data,ready_for_route_pass,held_hard_gate,none,0,,,,,,,,college_winterhold_depth,"Fixed-late row; preserve level, reward, cell, quest-state, or progression gate.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000031,Good Intentions,quest,main_route,fixed_late,G08,route_block,,no_route_candidate_data,ready_for_route_pass,held_hard_gate,leveled_reward,0,,,Level 25+,accept_reward,OBJ-000031,Good Intentions,G08,level_25_mages_circlet,Level/reward-governed row; preserve the mapped threshold and trigger before final route prose.,Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000032,Revealing the Unseen,quest,main_route,fixed_late,G08,route_block,,no_route_candidate_data,constraint_backed_needs_review,held_hard_gate,hard_gate,1,trophy_dependency,,,,,,,college_winterhold_depth,"Fixed-late row; preserve level, reward, cell, quest-state, or progression gate.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000033,Containment,quest,main_route,fixed_late,G08,route_block,,no_route_candidate_data,ready_for_route_pass,held_hard_gate,none,0,,,,,,,,college_winterhold_depth,"Fixed-late row; preserve level, reward, cell, quest-state, or progression gate.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000034,The Staff of Magnus,quest,main_route,fixed_late,G08,route_block,,no_route_candidate_data,ready_for_route_pass,held_hard_gate,none,0,,,,,,,,college_winterhold_depth,"Fixed-late row; preserve level, reward, cell, quest-state, or progression gate.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000035,The Eye of Magnus,quest,main_route,fixed_late,G08,route_block,,no_route_candidate_data,constraint_backed_needs_review,held_hard_gate,hard_gate,1,trophy_dependency,,,,,,,college_winterhold_depth,"Fixed-late row; preserve level, reward, cell, quest-state, or progression gate.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000036,A Chance Arrangement,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000037,Taking Care of Business,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,constraint_backed_needs_review,dependency_anchor_pending,hard_gate,1,trophy_dependency,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000038,Loud and Clear,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000039,Dampened Spirits,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000040,Scoundrel's Folly,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000041,Speaking With Silence,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,ready_for_route_pass,dependency_anchor_pending,none,0,,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000042,Hard Answers,quest,main_route,fixed_late,G10,route_block,,no_route_candidate_data,ready_for_route_pass,held_hard_gate,leveled_reward,0,,,Level 46+,accept_reward,OBJ-000042,Hard Answers,G10,level_46_classic_reward_loop,Level/reward-governed row; preserve the mapped threshold and trigger before final route prose.,Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000043,The Pursuit,quest,main_route,fixed_late,G10,route_block,,no_route_candidate_data,ready_for_route_pass,held_hard_gate,leveled_reward,0,,,Level 46+,first_enter_cell,OBJ-000043,The Pursuit,G10,level_46_classic_reward_loop,Level/reward-governed row; preserve the mapped threshold and trigger before final route prose.,Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000044,Trinity Restored,quest,main_route,fixed_late,G04,route_block,,no_route_candidate_data,ready_for_route_pass,held_hard_gate,leveled_reward,0,,,Level 32+,start_quest,OBJ-000044,Trinity Restored,G04,level_32_nightingale_armor_window,Level/reward-governed row; preserve the mapped threshold and trigger before final route prose.,Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000045,Blindsighted,quest,main_route,fixed_late,G10,route_block,,no_route_candidate_data,ready_for_route_pass,held_hard_gate,leveled_reward,0,,,Level 46+,reward_handoff,OBJ-000045,Blindsighted,G10,level_46_classic_reward_loop,Level/reward-governed row; preserve the mapped threshold and trigger before final route prose.,Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000046,Darkness Returns,quest,main_route,fixed_late,,later_pass,,no_route_candidate_data,constraint_backed_needs_review,held_hard_gate,hard_gate,1,trophy_dependency,,,,,,,fixed_late_anchor,"Fixed-late row; preserve level, reward, cell, quest-state, or progression gate.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000047,Under New Management,quest,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,constraint_backed_needs_review,dependency_anchor_pending,branch_or_hard_save | hard_gate | warning,3,bug_mitigation | npc_dependency | trophy_dependency,,,,,,,TB-034,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000048,Thieves Guild City Influence and Side Job Counter,radiant,main_route,dependency_flexible,,dependency_anchor,,no_route_candidate_data,constraint_backed_needs_review,dependency_anchor_pending,planning | warning,2,radiant_boundary,,,,,,,TB-031F,"No route candidate data; place with parent quest, dependency, support table, or later checklist/default pass.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000049,Silver Lining,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,ready_for_route_pass,anchored_window,none,0,,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000050,The Dainty Sload,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_hard_save | warning,2,bug_mitigation | npc_dependency,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000051,Imitation Amnesty,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,ready_for_route_pass,anchored_window,none,0,,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000052,Summerset Shadows,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,ready_for_route_pass,anchored_window,none,0,,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000053,Delayed Burial,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000054,Innocence Lost,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000055,With Friends Like These...,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch | trophy_dependency,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000056,Sanctuary,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000057,Mourning Never Comes,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000058,Whispers in the Dark,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000059,The Silence Has Been Broken,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000060,Bound Until Death,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,5,bug_mitigation | npc_dependency | quest_conflict_or_branch | trophy_dependency,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000061,Breaching Security,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000062,The Cure for Madness,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000063,Recipe for Disaster,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000064,To Kill an Empire,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000065,Death Incarnate,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000066,Hail Sithis!,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch | trophy_dependency,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000067,Destroy the Dark Brotherhood!,quest,branch_route,branch_only,,branch_deferred,,no_route_candidate_data,constraint_backed_needs_review,held_branch_deferred,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-034/TB-037,Branch-exclusive row; use the TB-029 branch prototype; TB-034 places branch steps and TB-037 validates reload/canonical restoration.,Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000068,Where You Hang Your Enemy's Head...,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,1,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000069,Imperial Introductions,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,ready_for_route_pass,anchored_window,none,0,,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000070,Joining the Legion,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_hard_save,1,trophy_dependency,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000071,Get Outfitted,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,ready_for_route_pass,anchored_window,none,0,,,,,,,,route_anchor_window,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000072,The Jagged Crown (Imperial),quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000073,Message to Whiterun (Imperial),quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000074,Battle for Whiterun (Imperial),quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000075,Report to the Jarl of Whiterun,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000076,Reunification of Skyrim,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000077,A False Front (Imperial),quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000078,The Battle for Fort Dunstad (Imperial),quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000079,Compelling Tribute (Imperial),quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000080,The Battle for Fort Greenwall (Imperial),quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,3,quest_conflict_or_branch | trophy_dependency,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000081,Rescue from Fort Kastav,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000082,The Battle for Fort Snowhawk (Imperial),quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
OBJ-000083,The Battle for Fort Neugrad,quest,main_route,windowed,,anchored_window,,no_route_candidate_data,constraint_backed_needs_review,anchored_window,branch_or_conflict,2,quest_conflict_or_branch,,,,,,,TB-028/TB-032,"Windowed row; anchor, hard-save, faction, quest-state, or warning timing controls placement.",Generated TB-026 prototype assignment; source objective and constraint tables remain canonical.
