constraint_id,objective_id,objective_name,constraint_type,constraint_source_file,source_section,row_label,constraint_summary,routing_rule,hard_save_name,source_notes,status,severity,route_phase_owner,notes
RPCON-000011,OBJ-000487,Stendarr's Hammer,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000487,Parent objective: OBJ-000487 | Creation: Stendarr's Hammer | Start trigger / acquisition: Weapon can be stolen from the Dwemer Museum in Markarth | Hard gate: None found in TB-011. | Region / start area: The Reach / Markarth,"Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000012,OBJ-000488,Dwarven Armored Mudcrab,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000488,Parent objective: OBJ-000488 | Creation: Dwarven Armored Mudcrab | Start trigger / acquisition: Pet can be purchased from Calcelmo in Markarth. | Hard gate: None found in TB-011. | Region / start area: The Reach / Markarth,"Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000013,OBJ-000489,Lord's Mail,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000489,"Parent objective: OBJ-000489 | Creation: Lord's Mail | Start trigger / acquisition: Quest ""Gift of Kynareth"" starts by reading ""Letter to General Tullius"" at Castle Dour in Solitude. | Hard gate: None found in TB-011. | Region / start area: Haafingar / Solitude","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000014,OBJ-000490,Adventurer's Backpack,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000490,Parent objective: OBJ-000490 | Creation: Adventurer's Backpack | Start trigger / acquisition: Backpacks can be purchased at vendors and crafted via Forge. | Hard gate: None found in TB-011. | Region / start area: Multiple / vendors and forge,"Route constraint: Available through vendors, containers, or crafting after AE install; insert during merchant/crafting passes, not as a standalone route anchor.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000015,OBJ-000491,Camping,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000491,Parent objective: OBJ-000491 | Creation: Camping | Start trigger / acquisition: Creation craftable via Forge | Hard gate: None found in TB-011. | Region / start area: Multiple / forge,"Route constraint: Available through vendors, containers, or crafting after AE install; insert during merchant/crafting passes, not as a standalone route anchor.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000016,OBJ-000492,Nix-Hound,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000492,Parent objective: OBJ-000492 | Creation: Nix-Hound | Start trigger / acquisition: Pet can be purchased from Revus Sarvani near Tel Mithryn or Geldis Sadri at The Retching Netch Corner Club in Raven Rock if the former is deceased. Hostile Nix-Hounds can be found in the Solstheim wilderness. | Hard gate: None found in TB-011. | Region / start area: Solstheim / Tel Mithryn or Raven Rock,Route constraint: Requires Solstheim access; defer route placement to Dragonborn/Solstheim or an explicit earlier travel decision.,,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000017,OBJ-000493,Shadowrend,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000493,"Parent objective: OBJ-000493 | Creation: Shadowrend | Start trigger / acquisition: Quest ""Through a Glass, Darkly"" starts by claiming the weapon in the hot springs near the Atronach Stone. | Hard gate: None found in TB-011. | Region / start area: Eastmarch / sulfur pools near Atronach Stone","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000018,OBJ-000494,Tundra Homestead,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000494,Parent objective: OBJ-000494 | Creation: Tundra Homestead | Start trigger / acquisition: House outside the city is purchased from the Jarl's Steward in Dragonsreach. | Hard gate: None found in TB-011. | Region / start area: Whiterun Hold / Dragonsreach steward,"Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000019,OBJ-000495,Myrwatch,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000495,"Parent objective: OBJ-000495 | Creation: Myrwatch | Start trigger / acquisition: Quest ""Myrwatch"" starts by traveling to the tower east of Morthal, and reading ""Hans's Journal"" nearby. | Hard gate: None found in TB-011. | Region / start area: Hjaalmarch / east of Morthal","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000020,OBJ-000496,Nordic Jewelry,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000496,"Parent objective: OBJ-000496 | Creation: Nordic Jewelry | Start trigger / acquisition: Quest ""Nordic Jewelry"" starts by reading the Certificate of Authenticity obtained if you buy Nordic jewelry from Madesi, Bersi Honey-Hand, Endarie, or Belethor. | Hard gate: None found in TB-011. | Region / start area: Riften, Solitude, Whiterun / jewelry vendors","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000021,OBJ-000497,Pets of Skyrim,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000497,"Parent objective: OBJ-000497 | Creation: Pets of Skyrim | Start trigger / acquisition: Quest ""Pets of Skyrim"" starts by reading the note For Sale in The Bannered Mare. | Hard gate: None found in TB-011. | Region / start area: Whiterun / Bannered Mare; multiple pet locations","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000022,OBJ-000498,Rare Curios,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000498,Parent objective: OBJ-000498 | Creation: Rare Curios | Start trigger / acquisition: Items added to Khajiit merchant vendors. | Hard gate: None found in TB-011. | Region / start area: Khajiit caravans,"Route constraint: Available through vendors, containers, or crafting after AE install; insert during merchant/crafting passes, not as a standalone route anchor.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000023,OBJ-000499,Bone Wolf,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000499,"Parent objective: OBJ-000499 | Creation: Bone Wolf | Start trigger / acquisition: Quest ""Let Sleeping Wolves Lie"" starts by reading the Letter from Bolgeir Bearclaw delivered by courier after completion of ""The Wolf Queen Awakened"". | Hard gate: Requires completion of The Wolf Queen Awakened before normal courier letter. | Region / start area: Haafingar-Hjaalmarch coast after Solitude prerequisite",Route constraint: Do not place before the listed hard/prerequisite gate. Exact courier bug handling is deferred to TB-017.,,SN-000090-ae-creation-start-trigger-constraint-index.md | SN-000091-ae-creation-hard-and-prerequisite-gated-starts.md,needs_review,warning,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000024,OBJ-000500,Staff of Hasedoki,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000500,"Parent objective: OBJ-000500 | Creation: Staff of Hasedoki | Start trigger / acquisition: Quest ""The Staff of Hasedoki"" starts by reading the Smuggler's Trade Notes at the bandit camp west of Dragonsreach. | Hard gate: None found in TB-011. | Region / start area: Whiterun Hold / bandit camp west of Dragonsreach","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000025,OBJ-000501,Wild Horses,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000501,Parent objective: OBJ-000501 | Creation: Wild Horses | Start trigger / acquisition: Quest Creature of Legend starts by reading Soran's Journal at the Arcanaeum. A map to other horses may be purchased at any hostler. | Hard gate: None found in TB-011. | Region / start area: Winterhold College; hostlers; Skyrim wilderness,Route constraint: Available through stable hostlers once a suitable active horse route exists; exact mount/storage handling deferred to TB-031D.,,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000026,OBJ-000502,Civil War Champions,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000502,"Parent objective: OBJ-000502 | Creation: Civil War Champions | Start trigger / acquisition: Quest ""Battle of the Champions"" starts by reading Battle of Champions at The Drunken Huntsman in Whiterun or waiting for a letter from a commanding officer. | Hard gate: None found in TB-011. | Region / start area: Whiterun / Drunken Huntsman or Civil War commander",Route constraint: Civil War branch and reward handling deferred to TB-014 before route placement.,,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,branch_or_hard_save,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000027,OBJ-000503,Elite Crossbows,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000503,"Parent objective: OBJ-000503 | Creation: Elite Crossbows | Start trigger / acquisition: Quest ""Night Hunter"" starts by reading Kragrash's Letter at Ironback Hideout northwest of Solitude. | Hard gate: None found in TB-011. | Region / start area: Haafingar / Ironback Hideout","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000028,OBJ-000504,Forgotten Seasons,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000504,Parent objective: OBJ-000504 | Creation: Forgotten Seasons | Start trigger / acquisition: Search for the Runoff Caverns west of Lost Valley Redoubt. | Hard gate: None found in TB-011. | Region / start area: The Reach / Runoff Caverns,"Route constraint: No hard level gate found in TB-011, but dungeon/combat difficulty should be considered in Phase 5/8 route planning.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000029,OBJ-000505,Saturalia Holiday Pack,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000505,"Parent objective: OBJ-000505 | Creation: Saturalia Holiday Pack | Start trigger / acquisition: Outfit and mount obtained from Agrane Peryval, west of Dawnstar. | Hard gate: None found in TB-011. | Region / start area: The Pale / west of Dawnstar","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000030,OBJ-000506,Sunder & Wraithguard,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000506,"Parent objective: OBJ-000506 | Creation: Sunder & Wraithguard | Start trigger / acquisition: Quest ""Legends Lost"" starts by reading the Lost Caravan Guard's Note at the New Gnisis Cornerclub in Windhelm. | Hard gate: None found in TB-011. | Region / start area: Eastmarch / Windhelm","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000031,OBJ-000507,Vigil Enforcer Armor Set,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000507,"Parent objective: OBJ-000507 | Creation: Vigil Enforcer Armor Set | Start trigger / acquisition: Quest ""Unholy Vigil"" starts by reading the Letter to Keeper Carcette in the Hall of the Vigilant south of Dawnstar. | Hard gate: None found in TB-011. | Region / start area: The Pale / Hall of the Vigilant",Route constraint: Hall of the Vigilant timing and bug/conflict risks deferred to TB-014/TB-017.,,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000032,OBJ-000508,Arms of Chaos,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000508,"Parent objective: OBJ-000508 | Creation: Arms of Chaos | Start trigger / acquisition: Quest ""The Arms of Chaos"" starts by reading Hyenril's Journal at Skytemple Ruins, north of the College of Winterhold. | Hard gate: None found in TB-011. | Region / start area: Winterhold / Skytemple Ruins","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000033,OBJ-000509,Shadowfoot Sanctum,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000509,Parent objective: OBJ-000509 | Creation: Shadowfoot Sanctum | Start trigger / acquisition: House can be purchased from Vekel the Man in the Ragged Flagon in the Riften Ratway. | Hard gate: None found in TB-011. | Region / start area: The Rift / Riften Ratway,"Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000034,OBJ-000510,Spell Knight Armor,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000510,"Parent objective: OBJ-000510 | Creation: Spell Knight Armor | Start trigger / acquisition: Quest ""Crypt of the Heart"" starts by reading Crypt of the Heart - Draft at the Silver-Blood Inn in Markarth. | Hard gate: None found in TB-011. | Region / start area: The Reach / Markarth","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000035,OBJ-000511,Umbra,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000511,"Parent objective: OBJ-000511 | Creation: Umbra | Start trigger / acquisition: Quest ""Vile Whispers"" starts by reading the Vigilant's Report in Champion's Rest, found in the mountains north-northeast of Riften. | Hard gate: None found in TB-011. | Region / start area: The Rift / Champion's Rest","Route constraint: No hard level gate found in TB-011, but dungeon/combat difficulty should be considered in Phase 5/8 route planning.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000036,OBJ-000512,Alternative Armors - Dwarven Mail,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000512,"Parent objective: OBJ-000512 | Creation: Alternative Armors - Dwarven Mail | Start trigger / acquisition: Quest ""Fan Favorite"" starts by reading Arena Fan's Note at a camp southeast of Ivarstead. | Hard gate: None found in TB-011. | Region / start area: The Rift / southeast of Ivarstead","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000037,OBJ-000513,Alternative Armors - Stalhrim Fur,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000513,"Parent objective: OBJ-000513 | Creation: Alternative Armors - Stalhrim Fur | Start trigger / acquisition: Quest ""Ancient Ice"" starts by reading Skjol's Journal at the camp south-southwest of Skaal Village. | Hard gate: None found in TB-011. | Region / start area: Solstheim / south of Skaal Village",Route constraint: Requires Solstheim access; defer route placement to Dragonborn/Solstheim or an explicit earlier travel decision.,,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000038,OBJ-000514,Dawnfang & Duskfang,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000514,"Parent objective: OBJ-000514 | Creation: Dawnfang & Duskfang | Start trigger / acquisition: Quest ""A Soul Divided"" starts by exploring the Riften Ratway | Hard gate: None found in TB-011. | Region / start area: The Rift / Riften Ratway","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000039,OBJ-000515,Expanded Crossbow Pack,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000515,Parent objective: OBJ-000515 | Creation: Expanded Crossbow Pack | Start trigger / acquisition: Crossbows bought from Fletcher in Solitude; crafting unlocked once acquired | Hard gate: None found in TB-011. | Region / start area: Haafingar / Solitude Fletcher,"Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000040,OBJ-000516,Netch Leather Armor,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000516,"Parent objective: OBJ-000516 | Creation: Netch Leather Armor | Start trigger / acquisition: Quest ""More Than You Can Chew"" starts by reading the Peddler's Journal on a body of a Dark Elf north-northwest of Skaal Village, and southeast of Haknir's Shoal. | Hard gate: None found in TB-011. | Region / start area: Solstheim / north-northwest of Skaal Village",Route constraint: Requires Solstheim access; defer route placement to Dragonborn/Solstheim or an explicit earlier travel decision.,,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000041,OBJ-000517,Alternative Armors - Daedric Mail,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000517,"Parent objective: OBJ-000517 | Creation: Alternative Armors - Daedric Mail | Start trigger / acquisition: Quest ""Missing Merchant"" starts by speaking to the innkeeper of Candlehearth Hall in Windhelm. | Hard gate: None found in TB-011. | Region / start area: Eastmarch / Windhelm","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000042,OBJ-000518,Alternative Armors - Dragonscale,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000518,"Parent objective: OBJ-000518 | Creation: Alternative Armors - Dragonscale | Start trigger / acquisition: Quest ""Tilted Scales"" starts by reading The Crimson Dirks, v4 in Candlehearth Hall in Windhelm. | Hard gate: None found in TB-011. | Region / start area: Eastmarch / Windhelm","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000043,OBJ-000519,Alternative Armors - Elven Hunter,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000519,"Parent objective: OBJ-000519 | Creation: Alternative Armors - Elven Hunter | Start trigger / acquisition: Quest ""Once a Hunter"" starts by reading Guard Dossier: Aesrael in the Falkreath Barracks. | Hard gate: None found in TB-011. | Region / start area: Falkreath / Falkreath Barracks","Route constraint: No hard level gate found in TB-011; place later by region, difficulty, reward value, and downstream constraint tables.",,SN-000090-ae-creation-start-trigger-constraint-index.md,needs_review,review,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
RPCON-000044,OBJ-000520,Alternative Armors - Ebony Plate,ae_start_trigger,data/constraints/ae-creation-start-triggers.md,Constraint Table,OBJ-000520,"Parent objective: OBJ-000520 | Creation: Alternative Armors - Ebony Plate | Start trigger / acquisition: Quest ""Heart of Crimson"" starts by reading the Letter from Tyra Blood-Fire delivered by courier upon reaching level 32. | Hard gate: Level 32 courier letter. | Region / start area: Courier start; Eastmarch / Windhelm",Route constraint: Do not place before the listed hard/prerequisite gate. Exact courier bug handling is deferred to TB-017.,,SN-000090-ae-creation-start-trigger-constraint-index.md | SN-000091-ae-creation-hard-and-prerequisite-gated-starts.md,needs_review,warning,TB-022/TB-024,Generated from the reviewed Markdown constraint tables; inspect the source row before writing final route prose.
